variable,mean,count,school_lab,year_group_lab,gender_lab,fsm_lab,sen_lab
accept_score,10.2,45.0,School A,Year 10,All,All,All
school_belong_score,3.272727272727273,44.0,School A,Year 10,All,All,All
staff_relationship_score,12.142857142857142,49.0,School A,Year 10,All,All,All
home_relationship_score,11.694444444444445,36.0,School A,Year 10,All,All,All
home_happy_score,5.086956521739131,46.0,School A,Year 10,All,All,All
local_env_score,14.758620689655173,29.0,School A,Year 10,All,All,All
discrim_score,1.0384615384615385,52.0,School A,Year 10,All,All,All
belong_local_score,2.306122448979592,49.0,School A,Year 10,All,All,All
wealth_score,0.35135135135135137,37.0,School A,Year 10,All,All,All
future_score,7.16,25.0,School A,Year 10,All,All,All
climate_score,2.4901960784313726,51.0,School A,Year 10,All,All,All
social_score,11.628571428571428,35.0,School A,Year 10,All,All,All
bully_score,7.76,50.0,School A,Year 10,All,All,All
autonomy_score,NULL,NULL,School A,All,Girl,All,All
life_satisfaction_score,5.125,16.0,School A,All,Girl,All,All
optimism_score,12.176470588235293,17.0,School A,All,Girl,All,All
wellbeing_score,20.916666666666668,12.0,School A,All,Girl,All,All
esteem_score,12.133333333333333,15.0,School A,All,Girl,All,All
stress_score,6.461538461538462,13.0,School A,All,Girl,All,All
appearance_score,4.0,15.0,School A,All,Girl,All,All
negative_score,NULL,NULL,School A,All,Girl,All,All
lonely_score,3.1176470588235294,17.0,School A,All,Girl,All,All
support_score,4.705882352941177,17.0,School A,All,Girl,All,All
sleep_score,0.4375,16.0,School A,All,Girl,All,All
physical_score,195.88235294117646,17.0,School A,All,Girl,All,All
free_like_score,3.5,16.0,School A,All,Girl,All,All
media_score,3.3529411764705883,17.0,School A,All,Girl,All,All
places_score,2.1176470588235294,17.0,School A,All,Girl,All,All
staff_talk_score,2.466666666666667,15.0,School A,All,Girl,All,All
home_talk_score,2.6875,16.0,School A,All,Girl,All,All
peer_talk_score,3.066666666666667,15.0,School A,All,Girl,All,All
talk_score,7.979166666666667,12.0,School A,All,Girl,All,All
accept_score,10.466666666666667,15.0,School A,All,Girl,All,All
school_belong_score,2.8,15.0,School A,All,Girl,All,All
staff_relationship_score,12.666666666666666,15.0,School A,All,Girl,All,All
home_relationship_score,11.23076923076923,13.0,School A,All,Girl,All,All
home_happy_score,6.142857142857143,14.0,School A,All,Girl,All,All
local_env_score,NULL,NULL,School A,All,Girl,All,All
discrim_score,1.0588235294117647,17.0,School A,All,Girl,All,All
belong_local_score,2.6,15.0,School A,All,Girl,All,All
wealth_score,0.4,10.0,School A,All,Girl,All,All
future_score,7.1,10.0,School A,All,Girl,All,All
climate_score,2.7058823529411766,17.0,School A,All,Girl,All,All
social_score,12.5,12.0,School A,All,Girl,All,All
bully_score,7.571428571428571,14.0,School A,All,Girl,All,All
autonomy_score,16.444444444444443,18.0,School A,All,Boy,All,All
life_satisfaction_score,4.68,25.0,School A,All,Boy,All,All
optimism_score,11.590909090909092,22.0,School A,All,Boy,All,All
wellbeing_score,22.1875,16.0,School A,All,Boy,All,All
esteem_score,13.846153846153847,13.0,School A,All,Boy,All,All
stress_score,7.894736842105263,19.0,School A,All,Boy,All,All
appearance_score,5.6,20.0,School A,All,Boy,All,All
negative_score,10.333333333333334,15.0,School A,All,Boy,All,All
lonely_score,3.3461538461538463,26.0,School A,All,Boy,All,All
support_score,4.590909090909091,22.0,School A,All,Boy,All,All
sleep_score,0.4166666666666667,24.0,School A,All,Boy,All,All
physical_score,215.0,24.0,School A,All,Boy,All,All
free_like_score,3.0434782608695654,23.0,School A,All,Boy,All,All
media_score,4.384615384615385,26.0,School A,All,Boy,All,All
places_score,2.3846153846153846,26.0,School A,All,Boy,All,All
staff_talk_score,2.369565217391304,23.0,School A,All,Boy,All,All
home_talk_score,2.5952380952380953,21.0,School A,All,Boy,All,All
peer_talk_score,2.869047619047619,21.0,School A,All,Boy,All,All
talk_score,8.160714285714286,14.0,School A,All,Boy,All,All
accept_score,10.0,20.0,School A,All,Boy,All,All
school_belong_score,2.727272727272727,22.0,School A,All,Boy,All,All
staff_relationship_score,11.92,25.0,School A,All,Boy,All,All
home_relationship_score,12.727272727272727,22.0,School A,All,Boy,All,All
home_happy_score,4.956521739130435,23.0,School A,All,Boy,All,All
local_env_score,16.12820512820513,13.0,School A,All,Boy,All,All
discrim_score,1.0384615384615385,26.0,School A,All,Boy,All,All
belong_local_score,2.32,25.0,School A,All,Boy,All,All
wealth_score,0.35,20.0,School A,All,Boy,All,All
future_score,NULL,NULL,School A,All,Boy,All,All
climate_score,2.6153846153846154,26.0,School A,All,Boy,All,All
social_score,11.0,15.0,School A,All,Boy,All,All
bully_score,8.083333333333334,24.0,School A,All,Boy,All,All
autonomy_score,18.266666666666666,30.0,School A,All,All,FSM,All
life_satisfaction_score,4.63265306122449,49.0,School A,All,All,FSM,All
optimism_score,11.53061224489796,49.0,School A,All,All,FSM,All
wellbeing_score,21.2,40.0,School A,All,All,FSM,All
esteem_score,12.516129032258064,31.0,School A,All,All,FSM,All
stress_score,7.138888888888889,36.0,School A,All,All,FSM,All
appearance_score,4.8431372549019605,51.0,School A,All,All,FSM,All
negative_score,9.84,25.0,School A,All,All,FSM,All
lonely_score,3.2962962962962963,54.0,School A,All,All,FSM,All
support_score,4.62,50.0,School A,All,All,FSM,All
sleep_score,0.5,48.0,School A,All,All,FSM,All
physical_score,224.04255319148936,47.0,School A,All,All,FSM,All
free_like_score,2.94,50.0,School A,All,All,FSM,All
media_score,3.9245283018867925,53.0,School A,All,All,FSM,All
places_score,2.30188679245283,53.0,School A,All,All,FSM,All
staff_talk_score,2.6666666666666665,45.0,School A,All,All,FSM,All
home_talk_score,2.566666666666667,45.0,School A,All,All,FSM,All
peer_talk_score,2.630434782608696,46.0,School A,All,All,FSM,All
talk_score,7.862903225806452,31.0,School A,All,All,FSM,All
accept_score,9.613636363636363,44.0,School A,All,All,FSM,All
school_belong_score,2.9375,48.0,School A,All,All,FSM,All
staff_relationship_score,12.020408163265307,49.0,School A,All,All,FSM,All
home_relationship_score,12.13888888888889,36.0,School A,All,All,FSM,All
home_happy_score,5.673913043478261,46.0,School A,All,All,FSM,All
local_env_score,14.708333333333334,24.0,School A,All,All,FSM,All
discrim_score,1.037037037037037,54.0,School A,All,All,FSM,All
belong_local_score,2.36,50.0,School A,All,All,FSM,All
wealth_score,0.4473684210526316,38.0,School A,All,All,FSM,All
future_score,6.854166666666667,24.0,School A,All,All,FSM,All
climate_score,2.6666666666666665,51.0,School A,All,All,FSM,All
social_score,11.710526315789474,38.0,School A,All,All,FSM,All
bully_score,7.673469387755102,49.0,School A,All,All,FSM,All
autonomy_score,16.257142857142856,35.0,School A,All,All,Non-FSM,All
life_satisfaction_score,5.5,58.0,School A,All,All,Non-FSM,All
optimism_score,12.686274509803921,51.0,School A,All,All,Non-FSM,All
wellbeing_score,20.70731707317073,41.0,School A,All,All,Non-FSM,All
esteem_score,12.454545454545455,33.0,School A,All,All,Non-FSM,All
stress_score,7.733333333333333,45.0,School A,All,All,Non-FSM,All
appearance_score,5.09433962264151,53.0,School A,All,All,Non-FSM,All
negative_score,10.074074074074074,27.0,School A,All,All,Non-FSM,All
lonely_score,3.210526315789474,57.0,School A,All,All,Non-FSM,All
support_score,4.947368421052632,57.0,School A,All,All,Non-FSM,All
sleep_score,0.43636363636363634,55.0,School A,All,All,Non-FSM,All
physical_score,229.8,50.0,School A,All,All,Non-FSM,All
free_like_score,3.0727272727272728,55.0,School A,All,All,Non-FSM,All
media_score,3.6779661016949152,59.0,School A,All,All,Non-FSM,All
places_score,2.5689655172413794,58.0,School A,All,All,Non-FSM,All
staff_talk_score,2.4681818181818183,55.0,School A,All,All,Non-FSM,All
home_talk_score,2.4166666666666665,51.0,School A,All,All,Non-FSM,All
peer_talk_score,2.550925925925926,54.0,School A,All,All,Non-FSM,All
talk_score,7.411111111111111,45.0,School A,All,All,Non-FSM,All
accept_score,10.244897959183673,49.0,School A,All,All,Non-FSM,All
school_belong_score,3.314814814814815,54.0,School A,All,All,Non-FSM,All
staff_relationship_score,12.150943396226415,53.0,School A,All,All,Non-FSM,All
home_relationship_score,11.693877551020408,49.0,School A,All,All,Non-FSM,All
home_happy_score,4.732142857142857,56.0,School A,All,All,Non-FSM,All
local_env_score,14.75,28.0,School A,All,All,Non-FSM,All
discrim_score,1.0169491525423728,59.0,School A,All,All,Non-FSM,All
belong_local_score,2.1666666666666665,54.0,School A,All,All,Non-FSM,All
wealth_score,0.3333333333333333,39.0,School A,All,All,Non-FSM,All
future_score,6.916666666666667,18.0,School A,All,All,Non-FSM,All
climate_score,2.457627118644068,59.0,School A,All,All,Non-FSM,All
social_score,11.538461538461538,39.0,School A,All,All,Non-FSM,All
bully_score,7.912280701754386,57.0,School A,All,All,Non-FSM,All
autonomy_score,18.060606060606062,33.0,School A,All,All,All,SEN
life_satisfaction_score,5.262295081967213,61.0,School A,All,All,All,SEN
optimism_score,12.12280701754386,57.0,School A,All,All,All,SEN
wellbeing_score,20.88888888888889,45.0,School A,All,All,All,SEN
esteem_score,12.205128205128204,39.0,School A,All,All,All,SEN
stress_score,7.521739130434782,46.0,School A,All,All,All,SEN
appearance_score,5.166666666666667,60.0,School A,All,All,All,SEN
negative_score,9.848484848484848,33.0,School A,All,All,All,SEN
lonely_score,3.193548387096774,62.0,School A,All,All,All,SEN
support_score,5.016393442622951,61.0,School A,All,All,All,SEN
sleep_score,0.5689655172413793,58.0,School A,All,All,All,SEN
physical_score,237.16981132075472,53.0,School A,All,All,All,SEN
free_like_score,2.870967741935484,62.0,School A,All,All,All,SEN
media_score,3.984375,64.0,School A,All,All,All,SEN
places_score,2.5,62.0,School A,All,All,All,SEN
staff_talk_score,2.5905172413793105,58.0,School A,All,All,All,SEN
home_talk_score,2.486842105263158,57.0,School A,All,All,All,SEN
peer_talk_score,2.80327868852459,61.0,School A,All,All,All,SEN
talk_score,7.770833333333333,48.0,School A,All,All,All,SEN
accept_score,10.351851851851851,54.0,School A,All,All,All,SEN
school_belong_score,3.189655172413793,58.0,School A,All,All,All,SEN
staff_relationship_score,12.316666666666666,60.0,School A,All,All,All,SEN
home_relationship_score,11.64,50.0,School A,All,All,All,SEN
home_happy_score,5.224137931034483,58.0,School A,All,All,All,SEN
local_env_score,14.65625,32.0,School A,All,All,All,SEN
discrim_score,1.0,64.0,School A,All,All,All,SEN
belong_local_score,2.2586206896551726,58.0,School A,All,All,All,SEN
wealth_score,0.48,50.0,School A,All,All,All,SEN
future_score,7.291666666666667,24.0,School A,All,All,All,SEN
climate_score,2.532258064516129,62.0,School A,All,All,All,SEN
social_score,12.022727272727273,44.0,School A,All,All,All,SEN
bully_score,7.633333333333334,60.0,School A,All,All,All,SEN
autonomy_score,16.92105263157895,38.0,School A,All,All,All,Non-SEN
life_satisfaction_score,4.923076923076923,52.0,School A,All,All,All,Non-SEN
optimism_score,11.83673469387755,49.0,School A,All,All,All,Non-SEN
wellbeing_score,21.65909090909091,44.0,School A,All,All,All,Non-SEN
esteem_score,12.878787878787879,33.0,School A,All,All,All,Non-SEN
stress_score,7.809523809523809,42.0,School A,All,All,All,Non-SEN
appearance_score,5.117647058823529,51.0,School A,All,All,All,Non-SEN
negative_score,9.962962962962964,27.0,School A,All,All,All,Non-SEN
lonely_score,3.0701754385964914,57.0,School A,All,All,All,Non-SEN
support_score,4.618181818181818,55.0,School A,All,All,All,Non-SEN
sleep_score,0.37735849056603776,53.0,School A,All,All,All,Non-SEN
physical_score,237.64705882352942,51.0,School A,All,All,All,Non-SEN
free_like_score,3.196078431372549,51.0,School A,All,All,All,Non-SEN
media_score,3.732142857142857,56.0,School A,All,All,All,Non-SEN
places_score,2.2982456140350878,57.0,School A,All,All,All,Non-SEN
staff_talk_score,2.356382978723404,47.0,School A,All,All,All,Non-SEN
home_talk_score,2.4489795918367347,49.0,School A,All,All,All,Non-SEN
peer_talk_score,2.2944444444444443,45.0,School A,All,All,All,Non-SEN
talk_score,7.1893939393939394,33.0,School A,All,All,All,Non-SEN
accept_score,9.522727272727273,44.0,School A,All,All,All,Non-SEN
school_belong_score,2.9411764705882355,51.0,School A,All,All,All,Non-SEN
staff_relationship_score,12.02,50.0,School A,All,All,All,Non-SEN
home_relationship_score,12.255813953488373,43.0,School A,All,All,All,Non-SEN
home_happy_score,5.25531914893617,47.0,School A,All,All,All,Non-SEN
local_env_score,15.038461538461538,26.0,School A,All,All,All,Non-SEN
discrim_score,1.0526315789473684,57.0,School A,All,All,All,Non-SEN
belong_local_score,2.3333333333333335,54.0,School A,All,All,All,Non-SEN
wealth_score,0.20588235294117646,34.0,School A,All,All,All,Non-SEN
future_score,6.96,25.0,School A,All,All,All,Non-SEN
climate_score,2.4642857142857144,56.0,School A,All,All,All,Non-SEN
social_score,11.619047619047619,42.0,School A,All,All,All,Non-SEN
bully_score,7.666666666666667,54.0,School A,All,All,All,Non-SEN
autonomy_score,17.62962962962963,81.0,School B,All,All,All,All
life_satisfaction_score,5.80672268907563,119.0,School B,All,All,All,All
optimism_score,12.016528925619834,121.0,School B,All,All,All,All
wellbeing_score,20.626373626373628,91.0,School B,All,All,All,All
esteem_score,13.066666666666666,90.0,School B,All,All,All,All
stress_score,8.125,104.0,School B,All,All,All,All
appearance_score,5.622950819672131,122.0,School B,All,All,All,All
negative_score,9.75,76.0,School B,All,All,All,All
lonely_score,3.24031007751938,129.0,School B,All,All,All,All
support_score,4.868852459016393,122.0,School B,All,All,All,All
sleep_score,0.496,125.0,School B,All,All,All,All
physical_score,223.109243697479,119.0,School B,All,All,All,All
free_like_score,2.968,125.0,School B,All,All,All,All
media_score,4.213740458015267,131.0,School B,All,All,All,All
places_score,2.5736434108527133,129.0,School B,All,All,All,All
staff_talk_score,2.266509433962264,106.0,School B,All,All,All,All
home_talk_score,2.493478260869565,115.0,School B,All,All,All,All
peer_talk_score,2.458695652173913,115.0,School B,All,All,All,All
talk_score,7.287974683544304,79.0,School B,All,All,All,All
accept_score,9.868421052631579,114.0,School B,All,All,All,All
school_belong_score,3.210526315789474,114.0,School B,All,All,All,All
staff_relationship_score,11.837837837837839,111.0,School B,All,All,All,All
home_relationship_score,11.956989247311828,93.0,School B,All,All,All,All
home_happy_score,5.133333333333334,120.0,School B,All,All,All,All
local_env_score,14.647887323943662,71.0,School B,All,All,All,All
discrim_score,1.0151515151515151,132.0,School B,All,All,All,All
belong_local_score,2.28099173553719,121.0,School B,All,All,All,All
wealth_score,0.35555555555555557,90.0,School B,All,All,All,All
future_score,7.033333333333333,45.0,School B,All,All,All,All
climate_score,2.4682539682539684,126.0,School B,All,All,All,All
social_score,11.646341463414634,82.0,School B,All,All,All,All
bully_score,7.674603174603175,126.0,School B,All,All,All,All
autonomy_score,18.0,41.0,School B,Year 8,All,All,All
life_satisfaction_score,5.984126984126984,63.0,School B,Year 8,All,All,All
optimism_score,11.746031746031745,63.0,School B,Year 8,All,All,All
wellbeing_score,21.686274509803923,51.0,School B,Year 8,All,All,All
esteem_score,13.096153846153847,52.0,School B,Year 8,All,All,All
stress_score,8.037735849056604,53.0,School B,Year 8,All,All,All
appearance_score,5.969230769230769,65.0,School B,Year 8,All,All,All
negative_score,9.522727272727273,44.0,School B,Year 8,All,All,All
lonely_score,3.3823529411764706,68.0,School B,Year 8,All,All,All
support_score,4.753846153846154,65.0,School B,Year 8,All,All,All
sleep_score,0.4925373134328358,67.0,School B,Year 8,All,All,All
physical_score,222.0,65.0,School B,Year 8,All,All,All
free_like_score,3.0303030303030303,66.0,School B,Year 8,All,All,All
media_score,4.159420289855072,69.0,School B,Year 8,All,All,All
places_score,2.588235294117647,68.0,School B,Year 8,All,All,All
staff_talk_score,2.267543859649123,57.0,School B,Year 8,All,All,All
home_talk_score,2.5296610169491527,59.0,School B,Year 8,All,All,All
peer_talk_score,2.540983606557377,61.0,School B,Year 8,All,All,All
talk_score,7.560975609756097,41.0,School B,Year 8,All,All,All
accept_score,9.596774193548388,62.0,School B,Year 8,All,All,All
school_belong_score,3.2666666666666666,60.0,School B,Year 8,All,All,All
staff_relationship_score,12.105263157894736,57.0,School B,Year 8,All,All,All
home_relationship_score,11.354166666666666,48.0,School B,Year 8,All,All,All
home_happy_score,4.815384615384615,65.0,School B,Year 8,All,All,All
local_env_score,14.594594594594595,37.0,School B,Year 8,All,All,All
discrim_score,1.0285714285714285,70.0,School B,Year 8,All,All,All
belong_local_score,2.34375,64.0,School B,Year 8,All,All,All
wealth_score,0.3953488372093023,43.0,School B,Year 8,All,All,All
future_score,6.925,20.0,School B,Year 8,All,All,All
climate_score,2.3823529411764706,68.0,School B,Year 8,All,All,All
social_score,11.571428571428571,42.0,School B,Year 8,All,All,All
bully_score,7.757575757575758,66.0,School B,Year 8,All,All,All
autonomy_score,17.323529411764707,34.0,School B,Year 10,All,All,All
life_satisfaction_score,5.51063829787234,47.0,School B,Year 10,All,All,All
optimism_score,12.416666666666666,48.0,School B,Year 10,All,All,All
wellbeing_score,19.161290322580644,31.0,School B,Year 10,All,All,All
esteem_score,13.09375,32.0,School B,Year 10,All,All,All
stress_score,8.024390243902438,41.0,School B,Year 10,All,All,All
appearance_score,5.4375,48.0,School B,Year 10,All,All,All
negative_score,10.37037037037037,27.0,School B,Year 10,All,All,All
lonely_score,3.156862745098039,51.0,School B,Year 10,All,All,All
support_score,5.127659574468085,47.0,School B,Year 10,All,All,All
sleep_score,0.4583333333333333,48.0,School B,Year 10,All,All,All
physical_score,228.91304347826087,46.0,School B,Year 10,All,All,All
free_like_score,3.0,49.0,School B,Year 10,All,All,All
media_score,4.288461538461538,52.0,School B,Year 10,All,All,All
places_score,2.450980392156863,51.0,School B,Year 10,All,All,All
staff_talk_score,2.2875,40.0,School B,Year 10,All,All,All
home_talk_score,2.49468085106383,47.0,School B,Year 10,All,All,All
peer_talk_score,2.4055555555555554,45.0,School B,Year 10,All,All,All
talk_score,7.161290322580645,31.0,School B,Year 10,All,All,All
accept_score,9.953488372093023,43.0,School B,Year 10,All,All,All
school_belong_score,3.2222222222222223,45.0,School B,Year 10,All,All,All
staff_relationship_score,11.71111111111111,45.0,School B,Year 10,All,All,All
home_relationship_score,12.717948717948717,39.0,School B,Year 10,All,All,All
home_happy_score,5.260869565217392,46.0,School B,Year 10,All,All,All
local_env_score,15.035714285714286,28.0,School B,Year 10,All,All,All
discrim_score,1.0,52.0,School B,Year 10,All,All,All
belong_local_score,2.2291666666666665,48.0,School B,Year 10,All,All,All
wealth_score,0.3076923076923077,39.0,School B,Year 10,All,All,All
future_score,6.8,20.0,School B,Year 10,All,All,All
climate_score,2.5208333333333335,48.0,School B,Year 10,All,All,All
social_score,11.88888888888889,36.0,School B,Year 10,All,All,All
bully_score,7.52,50.0,School B,Year 10,All,All,All
autonomy_score,19.75,12.0,School B,All,Girl,All,All
life_satisfaction_score,5.588235294117647,17.0,School B,All,Girl,All,All
optimism_score,12.166666666666666,18.0,School B,All,Girl,All,All
wellbeing_score,20.076923076923077,13.0,School B,All,Girl,All,All
esteem_score,12.142857142857142,14.0,School B,All,Girl,All,All
stress_score,7.266666666666667,15.0,School B,All,Girl,All,All
appearance_score,7.0588235294117645,17.0,School B,All,Girl,All,All
negative_score,8.8,10.0,School B,All,Girl,All,All
lonely_score,3.3157894736842106,19.0,School B,All,Girl,All,All
support_score,5.4375,16.0,School B,All,Girl,All,All
sleep_score,0.4375,16.0,School B,All,Girl,All,All
physical_score,330.0,14.0,School B,All,Girl,All,All
free_like_score,2.6842105263157894,19.0,School B,All,Girl,All,All
media_score,3.8947368421052633,19.0,School B,All,Girl,All,All
places_score,2.823529411764706,17.0,School B,All,Girl,All,All
staff_talk_score,2.2205882352941178,17.0,School B,All,Girl,All,All
home_talk_score,2.703125,16.0,School B,All,Girl,All,All
peer_talk_score,2.28125,16.0,School B,All,Girl,All,All
talk_score,7.208333333333333,12.0,School B,All,Girl,All,All
accept_score,9.75,16.0,School B,All,Girl,All,All
school_belong_score,3.3125,16.0,School B,All,Girl,All,All
staff_relationship_score,11.941176470588236,17.0,School B,All,Girl,All,All
home_relationship_score,12.5,12.0,School B,All,Girl,All,All
home_happy_score,5.222222222222222,18.0,School B,All,Girl,All,All
local_env_score,14.76923076923077,13.0,School B,All,Girl,All,All
discrim_score,1.105263157894737,19.0,School B,All,Girl,All,All
belong_local_score,2.2222222222222223,18.0,School B,All,Girl,All,All
wealth_score,0.6,15.0,School B,All,Girl,All,All
future_score,NULL,NULL,School B,All,Girl,All,All
climate_score,3.0,19.0,School B,All,Girl,All,All
social_score,11.8,10.0,School B,All,Girl,All,All
bully_score,7.315789473684211,19.0,School B,All,Girl,All,All
autonomy_score,NULL,NULL,School B,All,Boy,All,All
life_satisfaction_score,5.125,16.0,School B,All,Boy,All,All
optimism_score,12.428571428571429,14.0,School B,All,Boy,All,All
wellbeing_score,21.545454545454547,11.0,School B,All,Boy,All,All
esteem_score,12.833333333333334,12.0,School B,All,Boy,All,All
stress_score,9.636363636363637,11.0,School B,All,Boy,All,All
appearance_score,5.875,16.0,School B,All,Boy,All,All
negative_score,10.181818181818182,11.0,School B,All,Boy,All,All
lonely_score,3.5625,16.0,School B,All,Boy,All,All
support_score,4.5625,16.0,School B,All,Boy,All,All
sleep_score,0.625,16.0,School B,All,Boy,All,All
physical_score,206.0,15.0,School B,All,Boy,All,All
free_like_score,3.0,16.0,School B,All,Boy,All,All
media_score,3.9375,16.0,School B,All,Boy,All,All
places_score,2.4,15.0,School B,All,Boy,All,All
staff_talk_score,2.5357142857142856,14.0,School B,All,Boy,All,All
home_talk_score,2.8125,12.0,School B,All,Boy,All,All
peer_talk_score,2.3125,16.0,School B,All,Boy,All,All
talk_score,7.65,10.0,School B,All,Boy,All,All
accept_score,10.357142857142858,14.0,School B,All,Boy,All,All
school_belong_score,3.230769230769231,13.0,School B,All,Boy,All,All
staff_relationship_score,11.9,10.0,School B,All,Boy,All,All
home_relationship_score,11.6,10.0,School B,All,Boy,All,All
home_happy_score,4.571428571428571,14.0,School B,All,Boy,All,All
local_env_score,14.694444444444445,12.0,School B,All,Boy,All,All
discrim_score,1.0,16.0,School B,All,Boy,All,All
belong_local_score,2.3076923076923075,13.0,School B,All,Boy,All,All
wealth_score,NULL,NULL,School B,All,Boy,All,All
future_score,NULL,NULL,School B,All,Boy,All,All
climate_score,2.1875,16.0,School B,All,Boy,All,All
social_score,11.3,10.0,School B,All,Boy,All,All
bully_score,7.666666666666667,15.0,School B,All,Boy,All,All
autonomy_score,18.11111111111111,36.0,School B,All,All,FSM,All
life_satisfaction_score,5.74,50.0,School B,All,All,FSM,All
optimism_score,12.38,50.0,School B,All,All,FSM,All
