cat,cat_lab,count,percentage,measure,n_responses,school_lab,school_group,school_group_lab,plot_group,measure_lab
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[44, 50, 34, 4]","[33.33333333333333, 37.878787878787875, 25.757575757575758, 3.0303030303030303]",birth_parent2,132.0,School B,1,Your school,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[39, 39, 47, 7]","[29.545454545454547, 29.545454545454547, 35.60606060606061, 5.303030303030303]",birth_you,132.0,School B,1,Your school,birth,Were you born outside the UK?
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'No response']","[5, 10, 8, 8, 8, 12, 7, 7, 9, 12, 11, 8, 9, 10, 4, 2, 2]","[3.787878787878788, 7.575757575757576, 6.0606060606060606, 6.0606060606060606, 6.0606060606060606, 9.090909090909092, 5.303030303030303, 5.303030303030303, 6.8181818181818175, 9.090909090909092, 8.333333333333332, 6.0606060606060606, 6.8181818181818175, 7.575757575757576, 3.0303030303030303, 1.5151515151515151, 1.5151515151515151]",birth_you_age,132.0,School B,1,Your school,birth,How old were you when you arrived in the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[64, 65, 3]","[48.484848484848484, 49.24242424242424, 2.272727272727273]",young_carer,132.0,School B,1,Your school,young_carer,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[48, 29, 38, 17]","[36.36363636363637, 21.96969696969697, 28.78787878787879, 12.878787878787879]",care_experience,132.0,School B,1,Your school,care_experience,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[71, 51, 10]","[53.78787878787878, 38.63636363636363, 7.575757575757576]",year_group,132.0,School B,1,Your school,most_of_council,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[57, 56, 19]","[43.18181818181818, 42.42424242424242, 14.393939393939394]",fsm,132.0,School B,1,Your school,most_of_council,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[127, 0, 5]","[96.21212121212122, 0.0, 3.787878787878788]",sen,132.0,School B,1,Your school,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[62, 69, 1]","[46.96969696969697, 52.27272727272727, 0.7575757575757576]",ethnicity,132.0,School B,1,Your school,most_of_council,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[56, 68, 8]","[42.42424242424242, 51.515151515151516, 6.0606060606060606]",english_additional,132.0,School B,1,Your school,most_of_council,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[89, 124, 81, 98, 96, 108, 72]","[13.323353293413174, 18.562874251497004, 12.125748502994012, 14.67065868263473, 14.37125748502994, 16.16766467065868, 10.778443113772456]",gender,668.0,School B,0,Other schools,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[132, 125, 130, 142, 128, 11]","[19.760479041916167, 18.7125748502994, 19.46107784431138, 21.25748502994012, 19.16167664670659, 1.6467065868263475]",transgender,668.0,School B,0,Other schools,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[102, 118, 95, 129, 120, 102, 2]","[15.269461077844312, 17.664670658682635, 14.221556886227546, 19.311377245508982, 17.964071856287426, 15.269461077844312, 0.29940119760479045]",sexual_orientation,668.0,School B,0,Other schools,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[212, 179, 202, 75]","[31.736526946107784, 26.79640718562874, 30.239520958083833, 11.22754491017964]",neurodivergent,668.0,School B,0,Other schools,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[213, 219, 212, 24]","[31.886227544910177, 32.78443113772455, 31.736526946107784, 3.592814371257485]",birth_parent1,668.0,School B,0,Other schools,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[229, 208, 204, 27]","[34.2814371257485, 31.137724550898206, 30.538922155688624, 4.04191616766467]",birth_parent2,668.0,School B,0,Other schools,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[195, 238, 214, 21]","[29.191616766467064, 35.62874251497006, 32.035928143712574, 3.143712574850299]",birth_you,668.0,School B,0,Other schools,birth,Were you born outside the UK?
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'No response']","[35, 56, 45, 34, 40, 50, 33, 53, 33, 33, 35, 38, 41, 39, 38, 50, 15]","[5.239520958083832, 8.383233532934131, 6.736526946107785, 5.089820359281437, 5.9880239520958085, 7.48502994011976, 4.940119760479042, 7.934131736526946, 4.940119760479042, 4.940119760479042, 5.239520958083832, 5.688622754491018, 6.137724550898203, 5.838323353293413, 5.688622754491018, 7.48502994011976, 2.245508982035928]",birth_you_age,668.0,School B,0,Other schools,birth,How old were you when you arrived in the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[311, 326, 31]","[46.55688622754491, 48.80239520958084, 4.640718562874251]",young_carer,668.0,School B,0,Other schools,young_carer,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[206, 185, 205, 72]","[30.83832335329341, 27.694610778443113, 30.688622754491018, 10.778443113772456]",care_experience,668.0,School B,0,Other schools,care_experience,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[344, 262, 62]","[51.49700598802395, 39.221556886227546, 9.281437125748502]",year_group,668.0,School B,0,Other schools,most_of_council,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[261, 335, 72]","[39.07185628742515, 50.1497005988024, 10.778443113772456]",fsm,668.0,School B,0,Other schools,most_of_council,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[313, 320, 35]","[46.8562874251497, 47.90419161676647, 5.239520958083832]",sen,668.0,School B,0,Other schools,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[321, 321, 26]","[48.05389221556886, 48.05389221556886, 3.8922155688622757]",ethnicity,668.0,School B,0,Other schools,most_of_council,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[304, 289, 75]","[45.50898203592814, 43.26347305389221, 11.22754491017964]",english_additional,668.0,School B,0,Other schools,most_of_council,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[16, 14, 14, 17, 16, 17, 17]","[14.414414414414415, 12.612612612612612, 12.612612612612612, 15.315315315315313, 14.414414414414415, 15.315315315315313, 15.315315315315313]",gender,111.0,School C,1,Your school,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[23, 20, 26, 25, 15, 2]","[20.72072072072072, 18.01801801801802, 23.423423423423422, 22.52252252252252, 13.513513513513514, 1.8018018018018018]",transgender,111.0,School C,1,Your school,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[13, 23, 17, 30, 14, 14, 0]","[11.711711711711711, 20.72072072072072, 15.315315315315313, 27.027027027027028, 12.612612612612612, 12.612612612612612, 0.0]",sexual_orientation,111.0,School C,1,Your school,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[35, 23, 33, 20]","[31.53153153153153, 20.72072072072072, 29.72972972972973, 18.01801801801802]",neurodivergent,111.0,School C,1,Your school,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[32, 41, 33, 5]","[28.82882882882883, 36.93693693693694, 29.72972972972973, 4.504504504504505]",birth_parent1,111.0,School C,1,Your school,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[34, 36, 35, 6]","[30.630630630630627, 32.432432432432435, 31.53153153153153, 5.405405405405405]",birth_parent2,111.0,School C,1,Your school,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[30, 48, 33, 0]","[27.027027027027028, 43.24324324324324, 29.72972972972973, 0.0]",birth_you,111.0,School C,1,Your school,birth,Were you born outside the UK?
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'No response']","[2, 10, 10, 3, 7, 5, 7, 10, 5, 5, 7, 7, 9, 6, 7, 10, 1]","[1.8018018018018018, 9.00900900900901, 9.00900900900901, 2.7027027027027026, 6.306306306306306, 4.504504504504505, 6.306306306306306, 9.00900900900901, 4.504504504504505, 4.504504504504505, 6.306306306306306, 6.306306306306306, 8.108108108108109, 5.405405405405405, 6.306306306306306, 9.00900900900901, 0.9009009009009009]",birth_you_age,111.0,School C,1,Your school,birth,How old were you when you arrived in the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[58, 50, 3]","[52.25225225225225, 45.04504504504504, 2.7027027027027026]",young_carer,111.0,School C,1,Your school,young_carer,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[29, 34, 37, 11]","[26.126126126126124, 30.630630630630627, 33.33333333333333, 9.90990990990991]",care_experience,111.0,School C,1,Your school,care_experience,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[39, 65, 7]","[35.13513513513514, 58.55855855855856, 6.306306306306306]",year_group,111.0,School C,1,Your school,most_of_council,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[48, 54, 9]","[43.24324324324324, 48.64864864864865, 8.108108108108109]",fsm,111.0,School C,1,Your school,most_of_council,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[56, 48, 7]","[50.45045045045045, 43.24324324324324, 6.306306306306306]",sen,111.0,School C,1,Your school,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[59, 49, 3]","[53.153153153153156, 44.14414414414414, 2.7027027027027026]",ethnicity,111.0,School C,1,Your school,most_of_council,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[49, 49, 13]","[44.14414414414414, 44.14414414414414, 11.711711711711711]",english_additional,111.0,School C,1,Your school,most_of_council,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[93, 127, 88, 104, 101, 112, 64]","[13.497822931785198, 18.432510885341074, 12.772133526850507, 15.09433962264151, 14.658925979680696, 16.25544267053701, 9.288824383164005]",gender,689.0,School C,0,Other schools,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[133, 128, 133, 142, 141, 12]","[19.3033381712627, 18.57764876632801, 19.3033381712627, 20.609579100145137, 20.4644412191582, 1.741654571843251]",transgender,689.0,School C,0,Other schools,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[108, 115, 114, 115, 119, 115, 3]","[15.674891146589259, 16.69085631349782, 16.545718432510885, 16.69085631349782, 17.271407837445572, 16.69085631349782, 0.43541364296081275]",sexual_orientation,689.0,School C,0,Other schools,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[216, 183, 216, 74]","[31.349782293178517, 26.56023222060958, 31.349782293178517, 10.740203193033382]",neurodivergent,689.0,School C,0,Other schools,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[223, 223, 213, 30]","[32.365747460087086, 32.365747460087086, 30.914368650217703, 4.354136429608127]",birth_parent1,689.0,School C,0,Other schools,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[239, 222, 203, 25]","[34.68795355587808, 32.22060957910015, 29.46298984034833, 3.6284470246734397]",birth_parent2,689.0,School C,0,Other schools,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[204, 229, 228, 28]","[29.60812772133527, 33.236574746008706, 33.09143686502177, 4.063860667634253]",birth_you,689.0,School C,0,Other schools,birth,Were you born outside the UK?
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, nan]","['Under 1 year old', '1 year old', '2 years old', '3 years old', '4 years old', '5 years old', '6 years old', '7 years old', '8 years old', '9 years old', '10 years old', '11 years old', '12 years old', '13 years old', '14 years old', '15 years old', 'No response']","[38, 56, 43, 39, 41, 57, 33, 50, 37, 40, 39, 39, 41, 43, 35, 42, 16]","[5.515239477503629, 8.127721335268506, 6.2409288824383164, 5.660377358490567, 5.950653120464441, 8.272859216255442, 4.78955007256894, 7.256894049346879, 5.370101596516691, 5.805515239477503, 5.660377358490567, 5.660377358490567, 5.950653120464441, 6.2409288824383164, 5.079825834542816, 6.095791001451379, 2.3222060957910013]",birth_you_age,689.0,School C,0,Other schools,birth,How old were you when you arrived in the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[317, 341, 31]","[46.00870827285922, 49.49201741654572, 4.499274310595065]",young_carer,689.0,School C,0,Other schools,young_carer,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[225, 180, 206, 78]","[32.65602322206096, 26.124818577648767, 29.898403483309146, 11.320754716981133]",care_experience,689.0,School C,0,Other schools,care_experience,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[376, 248, 65]","[54.57184325108854, 35.99419448476052, 9.433962264150944]",year_group,689.0,School C,0,Other schools,most_of_council,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[270, 337, 82]","[39.18722786647315, 48.91146589259797, 11.901306240928882]",fsm,689.0,School C,0,Other schools,most_of_council,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[384, 272, 33]","[55.73294629898403, 39.477503628447025, 4.78955007256894]",sen,689.0,School C,0,Other schools,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[324, 341, 24]","[47.02467343976778, 49.49201741654572, 3.483309143686502]",ethnicity,689.0,School C,0,Other schools,most_of_council,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[311, 308, 70]","[45.13788098693759, 44.70246734397678, 10.159651669085632]",english_additional,689.0,School C,0,Other schools,most_of_council,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[14, 22, 6, 16, 16, 20, 13]","[13.084112149532709, 20.5607476635514, 5.607476635514018, 14.953271028037381, 14.953271028037381, 18.69158878504673, 12.149532710280374]",gender,107.0,School D,1,Your school,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[22, 18, 19, 24, 22, 2]","[20.5607476635514, 16.822429906542055, 17.75700934579439, 22.429906542056074, 20.5607476635514, 1.8691588785046727]",transgender,107.0,School D,1,Your school,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[23, 14, 12, 18, 20, 20, 0]","[21.49532710280374, 13.084112149532709, 11.214953271028037, 16.822429906542055, 18.69158878504673, 18.69158878504673, 0.0]",sexual_orientation,107.0,School D,1,Your school,sexual_orientation,Sexual orientation
