gender,transgender,sexual_orientation,neurodivergent,birth_parent1,birth_parent2,birth_you,birth_you_age,autonomy_pressure,autonomy_express,autonomy_decide,autonomy_told,autonomy_myself,autonomy_choice,life_satisfaction,optimism_future,optimism_best,optimism_good,optimism_work,wellbeing_optimistic,wellbeing_useful,wellbeing_relaxed,wellbeing_problems,wellbeing_thinking,wellbeing_close,wellbeing_mind,esteem_satisfied,esteem_qualities,esteem_well,esteem_value,esteem_good,stress_control,stress_overcome,stress_confident,stress_way,appearance_happy,appearance_feel,negative_lonely,negative_unhappy,negative_like,negative_cry,negative_school,negative_worry,negative_sleep,negative_wake,negative_shy,negative_scared,lonely,support_ways,support_look,sleep,physical_days,physical_hours,free_like,media_hours,media_interact,media_browse,media_total,places_freq,places_barriers___1,places_barriers___2,places_barriers___3,places_barriers___4,places_barriers___5,places_barriers___6,places_barriers___7,places_barriers___8,places_barriers___9,school_belong,staff_interest,staff_believe,staff_best,staff_listen,staff_talk,staff_talk_listen,staff_talk_helpful,staff_talk_if,accept_staff,home_interest,home_believe,home_best,home_listen,home_talk,home_talk_listen,home_talk_helpful,home_talk_if,accept_home,home_happy,young_carer,care_experience,local_safe,local_support,local_trust,local_neighbours,local_places,discrim_race,discrim_gender,discrim_orientation,discrim_disability,discrim_faith,belong_local,accept_local,wealth,future_options,future_interest,future_support,climate,social_along,social_time,social_support,social_hard,bully_physical,bully_other,bully_cyber,peer_talk,peer_talk_listen,peer_talk_helpful,peer_talk_if,accept_peer,year_group,fsm,sen,ethnicity,english_additional,school,autonomy_score,life_satisfaction_score,optimism_score,wellbeing_score,esteem_score,stress_score,appearance_score,negative_score,lonely_score,support_score,sleep_score,physical_score,free_like_score,media_score,places_score,staff_talk_score,home_talk_score,peer_talk_score,talk_score,accept_score,school_belong_score,staff_relationship_score,home_relationship_score,home_happy_score,local_env_score,discrim_score,belong_local_score,wealth_score,future_score,climate_score,social_score,bully_score,gender_lab,transgender_lab,sexual_orientation_lab,neurodivergent_lab,birth_parent1_lab,birth_parent2_lab,birth_you_lab,birth_you_age_lab,autonomy_pressure_lab,autonomy_express_lab,autonomy_decide_lab,autonomy_told_lab,autonomy_myself_lab,autonomy_choice_lab,life_satisfaction_lab,optimism_future_lab,optimism_best_lab,optimism_good_lab,optimism_work_lab,wellbeing_optimistic_lab,wellbeing_useful_lab,wellbeing_relaxed_lab,wellbeing_problems_lab,wellbeing_thinking_lab,wellbeing_close_lab,wellbeing_mind_lab,esteem_satisfied_lab,esteem_qualities_lab,esteem_well_lab,esteem_value_lab,esteem_good_lab,stress_control_lab,stress_overcome_lab,stress_confident_lab,stress_way_lab,appearance_happy_lab,appearance_feel_lab,negative_lonely_lab,negative_unhappy_lab,negative_like_lab,negative_cry_lab,negative_school_lab,negative_worry_lab,negative_sleep_lab,negative_wake_lab,negative_shy_lab,negative_scared_lab,lonely_lab,support_ways_lab,support_look_lab,sleep_lab,physical_days_lab,physical_hours_lab,free_like_lab,media_hours_lab,places_freq_lab,places_barriers___1_lab,places_barriers___2_lab,places_barriers___3_lab,places_barriers___4_lab,places_barriers___5_lab,places_barriers___6_lab,places_barriers___7_lab,places_barriers___8_lab,places_barriers___9_lab,school_belong_lab,staff_interest_lab,staff_believe_lab,staff_best_lab,staff_listen_lab,staff_talk_lab,staff_talk_listen_lab,staff_talk_helpful_lab,staff_talk_if_lab,accept_staff_lab,home_interest_lab,home_believe_lab,home_best_lab,home_listen_lab,home_talk_lab,home_talk_listen_lab,home_talk_helpful_lab,home_talk_if_lab,accept_home_lab,home_happy_lab,young_carer_lab,care_experience_lab,local_safe_lab,local_support_lab,local_trust_lab,local_neighbours_lab,local_places_lab,discrim_race_lab,discrim_gender_lab,discrim_orientation_lab,discrim_disability_lab,discrim_faith_lab,belong_local_lab,accept_local_lab,wealth_lab,future_options_lab,future_interest_lab,future_support_lab,climate_lab,social_along_lab,social_time_lab,social_support_lab,social_hard_lab,bully_physical_lab,bully_other_lab,bully_cyber_lab,peer_talk_lab,peer_talk_listen_lab,peer_talk_helpful_lab,peer_talk_if_lab,accept_peer_lab,year_group_lab,fsm_lab,sen_lab,ethnicity_lab,english_additional_lab,school_lab
2,4,1,1,1,2,3,11,4,2,4,2,3,5,3,5,1,2,1,,3,4,4,1,2,3,,1,,1,1,3,4,3,3,11,2,2,3,1,2,2,3,1,2,3,3,5,4,4,0,3,30,3,6,5,6,7,1,0,0,1,0,0,1,1,0,0,3,2,5,1,1,,,,,2,5,4,4,2,1,3,3,,1,9,1,0,1,1,1,3,2,2,5,2,4,3,3,,3,1,2,5,1,5,3,3,1,2,2,3,0,,,4,3,10,1,1,2,0,1,20,3,9,,,7,,8,5,2,0,90,3,3,1,,3.5,4,,,3,9,15,9,22,1,2,1,,1,12,8,Boy,I describe myself in another way,Bi/pansexual,Yes,Yes,No,I don't know,10 years old,4,2,4,2,3,5 - Completely true,3,Always,Not at all like me,A little like me,Not at all like me,,Some of the time,Often,Often,None of the time,Rarely,Some of the time,,Strongly agree,,Strongly agree,Strongly agree,Sometimes,Fairly Often,Sometimes,Sometimes,Prefer not to say,Agree,Sometimes,Always,Never,Sometimes,Sometimes,Always,Never,Sometimes,Always,Always,Never,Strongly disagree,Strongly disagree,No,3 days,Around 30 minutes,Sometimes,4 to 5 hours,None ,No,No,Yes,No,No,Yes,Yes,No,No,Somewhat,2,5 - Always,1 - Never,1 - Never,,,,,Slightly,5 - Always,4,4,2,Yes,Mostly,Very helpful,,Not at all,9,Yes,No,Very safe,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Some of the time,Never,Some of the time,Hardly ever,Occasionally,Disagree,,About the same,Not many,A little interested,Unsure,Often,A lot,Somewhat,Somewhat,Not at all,1-3 times in last 6 months,1-3 times in last 6 months,4+ times in last 6 months,No,,,Very comfortable,Mostly,Year 10,FSM,SEN,White British,No,School A
2,5,2,2,3,2,,1,5,1,4,2,2,5,2,2,2,3,2,4,1,1,,3,2,3,4,3,2,3,3,1,1,2,1,0,3,3,2,1,1,2,3,2,3,1,3,5,1,4,0,0,90,4,1,1,1,3,1,0,1,0,1,1,0,1,1,1,1,3,3,4,4,0,,,4,4,5,1,5,,1,1,3,,4,8,1,1,2,3,1,3,3,1,3,2,4,3,3,1,2,3,5,3,4,5,1,1,,3,1,3,0,,,2,4,8,,0,,0,6,17,2,9,,10,9,0,9,5,5,0,0,2,8,1,4,2.5,2,8.5,13,1,14,,8,17.6666666666667,1,2,0,,4,,8,Boy,Not sure,Gay/lesbian,No,I don't know,No,,Under 1 year old,5 - Completely true,1 - Completely not true,4,2,2,5 - Completely true,2,Sometimes,A little like me,Somewhat like me,A little like me,Often,None of the time,None of the time,,Some of the time,Rarely,Some of the time,Strongly disagree,Disagree,Agree,Disagree,Disagree,Never,Never,Almost Never,Never,0 - Very unhappy,Disagree,Always,Sometimes,Never,Never,Sometimes,Always,Sometimes,Always,Never,Always,Never,Strongly agree,Strongly disagree,No,0 days,Around 1.5 hours,Not often,None,None ,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Not at all,3,3,4,4,No,,,Very comfortable,Fully,5 - Always,1 - Never,5 - Always,,Yes,Not at all,Very helpful,,Fully,8,Yes,Yes,Fairly safe,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Often or always,Occasionally,Some of the time,Hardly ever,Occasionally,Disagree,Not at all,Poorer,A lot,Unsure,Mostly,Never,A lot,Not at all,Not at all,,4+ times in last 6 months,Not at all,4+ times in last 6 months,No,,,Uncomfortable,Fully,Year 8,,Non-SEN,,No,School F
1,5,3,3,3,1,1,11,5,2,5,4,1,5,6,4,4,2,5,4,4,3,2,4,1,2,2,4,2,2,2,5,2,1,4,0,5,1,2,2,2,2,3,2,3,3,3,2,4,2,1,6,30,1,6,,,2,2,0,0,0,0,0,0,0,1,0,4,1,2,1,,1,4,1,,2,1,5,3,1,1,3,2,,4,10,1,2,1,,5,2,5,3,1,3,5,2,,4,2,1,1,2,2,3,3,2,3,3,1,3,0,,,1,1,10,0,0,2,0,1,16,6,15,20,13,6,0,7,2,4,1,180,5,3,2,2.5,2.75,1,6.25,11,4,,10,10,,1,,0,4,2,11,8,Girl,Not sure,Heterosexual/straight,Unsure,I don't know,Yes,Yes,10 years old,5 - Completely true,2,5 - Completely true,4,1 - Completely not true,5 - Completely true,6,Very often,Mostly like me,A little like me,Very much like me,Often,Often,Some of the time,Rarely,Often,None of the time,Rarely,Agree,Strongly disagree,Agree,Agree,Agree,Very Often,Almost Never,Never,Fairly Often,0 - Very unhappy,Prefer not to say,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,Some of the time,Strongly disagree,Agree,Yes,6 days,Around 30 minutes,Almost always,4 to 5 hours,Limited,No,No,No,No,No,No,No,Yes,No,Quite a bit,1 - Never,2,1 - Never,,Yes,Fully,Not helpful,,Slightly,1 - Never,5 - Always,3,1 - Never,Yes,Mostly,Somewhat helpful,,Fully,10 - Very happy,Yes,Unsure,Very safe,,Strongly disagree,Agree,Strongly disagree,Occasionally,Often or always,Occasionally,Never,Some of the time,,Fully,Poorer,Not many,Not interested,Slightly,Sometimes,Somewhat,Somewhat,A little,Somewhat,4+ times in last 6 months,Not at all,4+ times in last 6 months,No,,,Very uncomfortable,Not at all,Year 10,Non-FSM,Non-SEN,White British,No,School A
2,5,4,,3,3,3,5,,5,1,4,2,4,5,4,5,1,3,1,5,1,4,4,5,5,2,1,4,4,2,5,1,,5,6,,3,3,1,3,,3,2,3,1,2,2,1,4,0,6,30,3,6,1,4,6,2,0,0,0,0,0,1,1,0,1,3,3,5,5,,1,1,2,,1,,4,3,4,1,2,,,2,2,1,1,1,5,4,4,3,4,3,2,1,1,4,,,4,5,4,3,3,2,5,3,4,2,4,0,,,3,2,8,1,0,2,0,2,,5,13,25,12,,6,,2,5,0,180,3,3,2,1.75,,3,,,3,,,2,13,1,1,,,3,13,5,Boy,Not sure,I describe myself in another way,,I don't know,I don't know,I don't know,4 years old,,5 - Completely true,1 - Completely not true,4,2,4,5,Very often,Very much like me,Not at all like me,Somewhat like me,None of the time,All of the time,None of the time,Often,Often,All of the time,All of the time,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Very Often,Never,,Very Often,6,,Always,Always,Never,Always,,Always,Sometimes,Always,Never,Sometimes,Some of the time,Strongly agree,Strongly disagree,No,6 days,Around 30 minutes,Sometimes,4 to 5 hours,Limited,No,No,No,No,No,Yes,Yes,No,Yes,Somewhat,3,5 - Always,5 - Always,,Yes,Not at all,Somewhat helpful,,Not at all,,4,3,4,Yes,Slightly,,,Slightly,2,Yes,Yes,Very safe,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Hardly ever,Occasionally,Some of the time,Often or always,Often or always,Strongly disagree,,,Unsure,Unsure,Fully,Rarely,Somewhat,A little,A lot,Somewhat,A few times a week,1-3 times in last 6 months,A few times a week,No,,,Comfortable,Slightly,Year 8,FSM,Non-SEN,White British,No,School B
1,2,2,2,3,3,3,7,4,2,4,3,4,1,1,5,5,1,5,2,1,1,1,5,5,1,1,3,2,3,4,2,5,2,5,10,1,3,2,1,3,3,2,1,2,2,2,3,3,3,0,7,30,3,3,5,2,4,3,0,1,0,0,0,1,0,1,1,5,1,2,4,5,,,,,1,4,5,4,,1,4,1,,4,5,1,0,1,,,4,4,1,2,1,5,2,2,2,4,2,,3,1,5,5,1,5,1,4,3,1,1,1,,1,10,1,0,2,1,4,16,1,16,16,12,8,10,9,3,4,0,210,3,6,3,,2.5,1,,8,5,12,,5,,1,3,,,1,16,7,Girl,No,Gay/lesbian,No,I don't know,I don't know,I don't know,6 years old,4,2,4,3,4,1 - Completely not true,1,Always,Very much like me,Not at all like me,Very much like me,Rarely,None of the time,None of the time,None of the time,All of the time,All of the time,None of the time,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,Almost Never,Very Often,Almost Never,Very Often,10 - Very happy,Strongly agree,Always,Sometimes,Never,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Occasionally,Disagree,Disagree,No,7 days,Around 30 minutes,Sometimes,1 to 2 hours,Several,No,Yes,No,No,No,Yes,No,Yes,Yes,A lot,1 - Never,2,4,5 - Always,,,,,Not at all,4,5 - Always,4,,Yes,Fully,Not helpful,,Fully,5 - Not happy or unhappy,Yes,No,Very safe,,,Disagree,Disagree,Often or always,Some of the time,Often or always,Never,Some of the time,Agree,Slightly,Don't know,Quite a few,,Mostly,Often,A lot,A lot,Not at all,A lot,Not at all,A few times a week,4+ times in last 6 months,Yes,Not at all,Not helpful,,Not at all,Year 10,FSM,Non-SEN,White British,Yes,School D
2,2,6,1,2,2,3,6,,1,,1,5,1,4,2,2,4,4,5,3,1,2,1,4,1,4,3,1,4,2,5,4,5,2,6,,3,2,3,2,,3,1,,1,2,3,3,1,1,2,60,,1,9,5,,4,1,0,0,0,0,0,1,1,1,2,5,1,1,3,1,3,3,,1,1,5,3,1,1,1,3,,2,2,1,1,5,2,2,2,4,5,2,2,3,4,4,2,2,,,4,4,3,5,4,3,4,1,2,1,3,3,,4,10,1,1,2,0,1,,4,12,17,11,6,6,,3,6,1,120,,8,4,3.5,2.5,3.5,9.5,9,2,10,10,2,,1,1,0,,4,15,8,Boy,No,Prefer not to say,Yes,No,No,I don't know,5 years old,,1 - Completely not true,,1 - Completely not true,5 - Completely true,1 - Completely not true,4,Sometimes,A little like me,Mostly like me,Mostly like me,All of the time,Some of the time,None of the time,Rarely,None of the time,Often,None of the time,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Agree,Very Often,Fairly Often,Very Often,Almost Never,6,,Always,Sometimes,Always,Sometimes,,Always,Never,,Never,Sometimes,Occasionally,Disagree,Strongly agree,Yes,2 days,Around 1 hour,,None,Lots,Yes,No,No,No,No,No,Yes,Yes,Yes,A little,5 - Always,1 - Never,1 - Never,3,Yes,Mostly,Very helpful,,Not at all,1 - Never,5 - Always,3,1 - Never,Yes,Not at all,Very helpful,,Slightly,2,Yes,Yes,Don't know,Agree,Agree,Agree,Disagree,Never,Some of the time,Some of the time,Occasionally,Hardly ever,Strongly disagree,Slightly,Poorer,,,Fully,Never,Somewhat,A lot,Quite a bit,Somewhat,A few times a week,Not at all,1-3 times in last 6 months,Yes,Mostly,Very helpful,,Fully,Year 10,FSM,SEN,White British,No,School A
4,4,1,1,2,3,2,13,,4,2,3,4,3,8,5,5,4,5,5,5,3,5,5,2,1,3,,4,1,4,4,,4,2,7,4,2,2,3,,1,2,2,3,3,3,2,1,1,,2,,4,3,6,2,6,4,1,0,0,1,0,0,0,1,0,2,2,3,2,4,1,4,3,,2,5,3,3,4,0,,,,3,5,1,2,2,4,4,4,2,3,4,4,5,1,4,1,2,1,2,1,3,4,2,,5,1,1,1,0,,,1,3,10,0,1,2,1,1,,8,19,26,,,7,,2,8,,,2,6,4,4,,1,,9,2,11,15,5,13.6666666666667,1,1,0,4,3,,12,I describe myself in another way,I describe myself in another way,Bi/pansexual,Yes,No,I don't know,No,12 years old,,4,2,3,4,3,8,Always,Very much like me,Mostly like me,Very much like me,All of the time,All of the time,Some of the time,All of the time,All of the time,Rarely,None of the time,Disagree,,Strongly disagree,Strongly agree,Strongly disagree,Fairly Often,,Fairly Often,Almost Never,7,Strongly disagree,Sometimes,Sometimes,Always,,Never,Sometimes,Sometimes,Always,Always,Always,Some of the time,Strongly agree,Strongly agree,,2 days,,Not often,1 to 2 hours,Lots,Yes,No,No,Yes,No,No,No,Yes,No,A little,2,3,2,4,Yes,Fully,Very helpful,,Slightly,5 - Always,3,3,4,No,,,,Mostly,5 - Not happy or unhappy,Yes,Unsure,Fairly safe,Disagree,Disagree,Disagree,Agree,Occasionally,Hardly ever,Hardly ever,Never,Often or always,Strongly disagree,Not at all,Poorer,Not many,A little interested,Not at all,Rarely,Quite a bit,A little,,A lot,Not at all,Not at all,Not at all,No,,,Very uncomfortable,Mostly,Year 10,Non-FSM,SEN,White British,Yes,School A
3,4,2,3,3,2,1,13,4,2,4,,5,2,9,1,1,5,5,4,4,2,2,3,4,3,1,2,3,4,,4,4,2,1,5,5,1,2,2,2,3,2,3,1,2,3,2,2,3,1,3,90,1,4,1,6,6,1,1,0,0,0,1,0,0,0,0,1,1,4,,1,1,1,3,,1,,2,2,5,0,,,1,2,9,,1,4,4,2,5,2,1,1,4,3,5,1,3,3,3,,,2,5,2,5,5,3,2,2,0,,,2,2,8,0,0,1,1,5,,9,12,22,,3,5,9,2,5,1,270,5,5,1,2.5,1,2,5.5,8,1,,,9,12,1,4,1,,2,17,8,Non-binary,I describe myself in another way,Gay/lesbian,Unsure,I don't know,No,Yes,12 years old,4,2,4,,5 - Completely true,2,9,Almost never,Not at all like me,Very much like me,Very much like me,Often,Often,Rarely,Rarely,Some of the time,Often,Some of the time,Strongly agree,Agree,Disagree,Strongly disagree,,Fairly Often,Fairly Often,Almost Never,Never,5 - Not happy or unhappy,Prefer not to say,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Never,Sometimes,Always,Some of the time,Agree,Disagree,Yes,3 days,Around 1.5 hours,Almost always,2 to 3 hours,None ,Yes,No,No,No,Yes,No,No,No,No,Not at all,1 - Never,4,,1 - Never,Yes,Not at all,Very helpful,,Not at all,,2,2,5 - Always,No,,,Very uncomfortable,Slightly,9,,Yes,Very unsafe,Disagree,Agree,Strongly disagree,Agree,Often or always,Often or always,Hardly ever,Occasionally,Never,Strongly agree,Mostly,About the same,A lot,,,Sometimes,A lot,A little,A lot,A lot,4+ times in last 6 months,1-3 times in last 6 months,1-3 times in last 6 months,No,,,Uncomfortable,Slightly,Year 8,Non-FSM,Non-SEN,Ethnic minority,Yes,School E
3,5,4,3,3,2,,1,5,4,,2,5,1,7,4,3,5,1,3,1,1,4,2,5,5,2,,,2,4,3,4,,,3,1,1,1,1,3,1,2,1,1,3,1,2,4,2,0,7,60,2,5,2,,6,4,0,0,0,1,1,0,1,1,0,5,3,2,2,2,0,,,2,3,4,1,3,1,0,,,1,3,4,1,0,1,3,2,5,4,4,1,,1,4,2,1,4,3,5,1,1,1,3,1,4,3,4,3,0,,,1,4,8,1,1,1,0,3,,7,13,21,,,3,15,2,4,0,420,4,4,4,2,1,1,4,11,5,9,9,4,15,1,3,,,1,9,5,Non-binary,Not sure,I describe myself in another way,Unsure,I don't know,No,,Under 1 year old,5 - Completely true,4,,2,5 - Completely true,1 - Completely not true,7,Very often,Somewhat like me,Very much like me,Not at all like me,Some of the time,None of the time,None of the time,Often,Rarely,All of the time,All of the time,Agree,,,Agree,Strongly disagree,Sometimes,Fairly Often,,,3,Strongly agree,Never,Never,Never,Always,Never,Sometimes,Never,Never,Always,Never,Some of the time,Strongly disagree,Agree,No,7 days,Around 1 hour,Often,3 to 4 hours,Lots,No,No,No,Yes,Yes,No,Yes,Yes,No,A lot,3,2,2,2,No,,,Uncomfortable,Mostly,4,1 - Never,3,1 - Never,No,,,Very uncomfortable,Mostly,4,Yes,No,Very safe,Neither agree nor disagree,Agree,Strongly disagree,Disagree,Hardly ever,Often or always,,Often or always,Hardly ever,Agree,Not at all,Don't know,A lot,Unsure,Not at all,Often,Not at all,Somewhat,Not at all,Quite a bit,4+ times in last 6 months,A few times a week,4+ times in last 6 months,No,,,Very uncomfortable,Fully,Year 8,FSM,SEN,Ethnic minority,No,School C
2,1,2,2,2,2,1,12,4,2,,1,3,3,6,4,3,1,5,1,3,5,1,4,1,3,3,3,4,2,,4,3,1,5,5,1,,2,3,2,2,3,1,2,2,3,5,,1,0,3,,1,3,6,9,9,3,0,0,0,1,0,0,0,1,1,3,3,4,3,3,0,,,4,2,3,4,1,5,0,,,4,3,4,1,0,5,3,2,5,3,3,3,3,5,2,3,2,1,1,2,5,4,4,4,2,3,1,2,3,1,3,3,,2,8,1,1,1,0,3,,6,13,18,,7,5,,5,,0,,5,6,3,4,4,3.5,11.5,9,3,13,13,4,,1,2,0,,4,13,9,Boy,Yes,Gay/lesbian,No,No,No,Yes,11 years old,4,2,,1 - Completely not true,3,3,6,Very often,Somewhat like me,Not at all like me,Very much like me,None of the time,Some of the time,All of the time,None of the time,Often,None of the time,Some of the time,Disagree,Disagree,Strongly disagree,Agree,,Fairly Often,Sometimes,Never,Very Often,5 - Not happy or unhappy,Strongly agree,,Sometimes,Always,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Always,Never,,Strongly agree,No,3 days,,Almost always,1 to 2 hours,Several,No,No,No,Yes,No,No,No,Yes,Yes,Somewhat,3,4,3,3,No,,,Very comfortable,Slightly,3,4,1 - Never,5 - Always,No,,,Very comfortable,Mostly,4,Yes,No,Don't know,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Occasionally,Occasionally,Occasionally,Never,Some of the time,Disagree,Slightly,Richer,Not many,A little interested,Unsure,Never,Quite a bit,Quite a bit,A little,Somewhat,Not at all,1-3 times in last 6 months,4+ times in last 6 months,Yes,Mostly,Very helpful,,Slightly,Year 8,FSM,SEN,Ethnic minority,No,School C
2,1,5,3,3,1,2,15,3,3,4,5,,2,9,2,2,3,4,1,3,2,5,3,1,3,2,3,4,3,3,4,4,3,2,0,4,2,3,1,3,3,2,2,1,1,3,1,4,2,0,2,,3,4,4,,4,1,1,0,0,0,1,1,1,0,1,3,3,1,,5,0,,,4,3,4,3,5,2,1,4,1,,3,4,1,2,2,3,5,,4,3,4,1,1,2,3,2,1,2,2,5,2,4,5,4,1,3,,1,1,1,2,,3,8,1,0,2,0,7,,9,11,18,10,5,0,9,1,4,0,,3,5,1,4,2.5,1.75,8.25,11,3,,14,4,,1,2,0,,2,14,,Boy,Yes,Currently unsure,Unsure,I don't know,Yes,No,14 years old,3,3,4,5 - Completely true,,2,9,Sometimes,A little like me,Somewhat like me,Mostly like me,None of the time,Some of the time,Rarely,All of the time,Some of the time,None of the time,Some of the time,Agree,Disagree,Strongly disagree,Disagree,Disagree,Fairly Often,Fairly Often,Sometimes,Almost Never,0 - Very unhappy,Strongly disagree,Sometimes,Always,Never,Always,Always,Sometimes,Sometimes,Never,Never,Always,Often or always,Strongly disagree,Agree,No,2 days,,Sometimes,2 to 3 hours,None ,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Somewhat,3,1 - Never,,5 - Always,No,,,Very comfortable,Mostly,4,3,5 - Always,2,Yes,Fully,Not helpful,,Mostly,4,Yes,Unsure,Fairly safe,Neither agree nor disagree,Strongly disagree,,Disagree,Occasionally,Hardly ever,Often or always,Often or always,Some of the time,Disagree,Slightly,Richer,Quite a few,A little interested,Unsure,Sometimes,Quite a bit,A lot,Quite a bit,Not at all,4+ times in last 6 months,,Not at all,Yes,Not at all,Somewhat helpful,,Mostly,Year 8,FSM,Non-SEN,White British,No,School G
6,4,3,1,1,1,1,3,1,2,4,1,4,2,9,3,2,5,1,4,5,4,5,4,,1,,4,4,4,3,2,4,,5,3,1,3,2,,2,1,1,3,2,3,1,1,1,3,0,4,30,3,3,,5,8,2,1,1,1,1,0,1,1,1,1,2,1,3,5,4,0,,,1,1,1,5,,5,1,1,2,,1,0,1,2,,2,5,2,2,2,5,5,1,2,4,4,2,2,4,5,3,,3,2,1,1,4,3,1,4,2,,,8,0,1,1,1,4,22,9,11,,,,3,,1,6,0,120,3,6,2,1,1.75,3.25,6,,2,13,,0,,1,1,0,,3,,7,Prefer not to say,I describe myself in another way,Heterosexual/straight,Yes,Yes,Yes,Yes,2 years old,1 - Completely not true,2,4,1 - Completely not true,4,2,9,Often,A little like me,Very much like me,Not at all like me,Often,All of the time,Often,All of the time,Often,,None of the time,,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Almost Never,Fairly Often,,Very Often,3,Strongly agree,Always,Sometimes,,Sometimes,Never,Never,Always,Sometimes,Always,Never,Often or always,Strongly agree,Disagree,No,4 days,Around 30 minutes,Sometimes,1 to 2 hours,Limited,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,A little,1 - Never,3,5 - Always,4,No,,,Very uncomfortable,Not at all,1 - Never,5 - Always,,5 - Always,Yes,Not at all,Somewhat helpful,,Not at all,0 - Very unhappy,Yes,Unsure,,Agree,Strongly disagree,Agree,Agree,Some of the time,Never,Never,Often or always,Some of the time,Strongly disagree,Fully,Poorer,Quite a few,Very interested,Unsure,Rarely,,Somewhat,A little,Not at all,Not at all,A few times a week,4+ times in last 6 months,Yes,Fully,Somewhat helpful,,,Year 8,Non-FSM,SEN,Ethnic minority,Yes,School D
4,5,4,3,2,2,3,13,1,2,3,2,4,3,1,,2,5,,5,3,5,3,2,1,5,,2,4,4,2,2,3,4,3,6,2,3,2,1,2,1,3,1,1,3,3,5,4,4,0,2,120,2,8,2,7,2,1,0,1,0,0,0,1,1,0,0,3,4,5,3,2,0,,,4,2,5,1,2,3,1,4,2,,2,4,1,2,3,4,2,4,4,5,4,5,1,5,4,1,1,4,1,3,3,5,1,2,2,4,3,1,,,,,4,10,0,1,1,1,7,21,1,,24,,10,6,10,5,2,0,240,4,1,1,4,3.25,,,9,3,14,11,4,12.3333333333333,1,1,0,,3,10,7,I describe myself in another way,Not sure,I describe myself in another way,Unsure,No,No,I don't know,12 years old,1 - Completely not true,2,3,2,4,3,1,,A little like me,Very much like me,,All of the time,Some of the time,All of the time,Some of the time,Rarely,None of the time,All of the time,,Agree,Strongly disagree,Strongly disagree,Agree,Almost Never,Sometimes,Fairly Often,Sometimes,6,Agree,Always,Sometimes,Never,Sometimes,Never,Always,Never,Never,Always,Always,Never,Strongly disagree,Strongly disagree,No,2 days,Around 2 hours or more,Often,6 to 7 hours,None ,No,Yes,No,No,No,Yes,Yes,No,No,Somewhat,4,5 - Always,3,2,No,,,Very comfortable,Slightly,5 - Always,1 - Never,2,3,Yes,Fully,Somewhat helpful,,Slightly,4,Yes,Unsure,Fairly unsafe,Disagree,Agree,Disagree,Disagree,Never,Hardly ever,Never,Often or always,Never,Strongly disagree,Not at all,Richer,Unsure,Not interested,Mostly,Rarely,A lot,Not at all,A little,A little,A few times a week,4+ times in last 6 months,Not at all,,,,,Fully,Year 10,Non-FSM,SEN,Ethnic minority,Yes,School G
