gender,transgender,sexual_orientation,neurodivergent,birth_parent1,birth_parent2,birth_you,birth_you_age,autonomy_pressure,autonomy_express,autonomy_decide,autonomy_told,autonomy_myself,autonomy_choice,life_satisfaction,optimism_future,optimism_best,optimism_good,optimism_work,wellbeing_optimistic,wellbeing_useful,wellbeing_relaxed,wellbeing_problems,wellbeing_thinking,wellbeing_close,wellbeing_mind,esteem_satisfied,esteem_qualities,esteem_well,esteem_value,esteem_good,stress_control,stress_overcome,stress_confident,stress_way,appearance_happy,appearance_feel,negative_lonely,negative_unhappy,negative_like,negative_cry,negative_school,negative_worry,negative_sleep,negative_wake,negative_shy,negative_scared,lonely,support_ways,support_look,sleep,physical_days,physical_hours,free_like,media_hours,media_interact,media_browse,media_total,places_freq,places_barriers___1,places_barriers___2,places_barriers___3,places_barriers___4,places_barriers___5,places_barriers___6,places_barriers___7,places_barriers___8,places_barriers___9,school_belong,staff_interest,staff_believe,staff_best,staff_listen,staff_talk,staff_talk_listen,staff_talk_helpful,staff_talk_if,accept_staff,home_interest,home_believe,home_best,home_listen,home_talk,home_talk_listen,home_talk_helpful,home_talk_if,accept_home,home_happy,young_carer,care_experience,local_safe,local_support,local_trust,local_neighbours,local_places,discrim_race,discrim_gender,discrim_orientation,discrim_disability,discrim_faith,belong_local,accept_local,wealth,future_options,future_interest,future_support,climate,social_along,social_time,social_support,social_hard,bully_physical,bully_other,bully_cyber,peer_talk,peer_talk_listen,peer_talk_helpful,peer_talk_if,accept_peer,year_group,fsm,sen,ethnicity,english_additional,school,msoa,autonomy_score,life_satisfaction_score,optimism_score,wellbeing_score,esteem_score,stress_score,appearance_score,negative_score,lonely_score,support_score,sleep_score,physical_score,free_like_score,media_score,places_score,staff_talk_score,home_talk_score,peer_talk_score,talk_score,accept_score,school_belong_score,staff_relationship_score,home_relationship_score,home_happy_score,local_env_score,discrim_score,belong_local_score,wealth_score,future_score,climate_score,social_score,bully_score,gender_lab,transgender_lab,sexual_orientation_lab,neurodivergent_lab,birth_parent1_lab,birth_parent2_lab,birth_you_lab,birth_you_age_lab,autonomy_pressure_lab,autonomy_express_lab,autonomy_decide_lab,autonomy_told_lab,autonomy_myself_lab,autonomy_choice_lab,life_satisfaction_lab,optimism_future_lab,optimism_best_lab,optimism_good_lab,optimism_work_lab,wellbeing_optimistic_lab,wellbeing_useful_lab,wellbeing_relaxed_lab,wellbeing_problems_lab,wellbeing_thinking_lab,wellbeing_close_lab,wellbeing_mind_lab,esteem_satisfied_lab,esteem_qualities_lab,esteem_well_lab,esteem_value_lab,esteem_good_lab,stress_control_lab,stress_overcome_lab,stress_confident_lab,stress_way_lab,appearance_happy_lab,appearance_feel_lab,negative_lonely_lab,negative_unhappy_lab,negative_like_lab,negative_cry_lab,negative_school_lab,negative_worry_lab,negative_sleep_lab,negative_wake_lab,negative_shy_lab,negative_scared_lab,lonely_lab,support_ways_lab,support_look_lab,sleep_lab,physical_days_lab,physical_hours_lab,free_like_lab,media_hours_lab,places_freq_lab,places_barriers___1_lab,places_barriers___2_lab,places_barriers___3_lab,places_barriers___4_lab,places_barriers___5_lab,places_barriers___6_lab,places_barriers___7_lab,places_barriers___8_lab,places_barriers___9_lab,school_belong_lab,staff_interest_lab,staff_believe_lab,staff_best_lab,staff_listen_lab,staff_talk_lab,staff_talk_listen_lab,staff_talk_helpful_lab,staff_talk_if_lab,accept_staff_lab,home_interest_lab,home_believe_lab,home_best_lab,home_listen_lab,home_talk_lab,home_talk_listen_lab,home_talk_helpful_lab,home_talk_if_lab,accept_home_lab,home_happy_lab,young_carer_lab,care_experience_lab,local_safe_lab,local_support_lab,local_trust_lab,local_neighbours_lab,local_places_lab,discrim_race_lab,discrim_gender_lab,discrim_orientation_lab,discrim_disability_lab,discrim_faith_lab,belong_local_lab,accept_local_lab,wealth_lab,future_options_lab,future_interest_lab,future_support_lab,climate_lab,social_along_lab,social_time_lab,social_support_lab,social_hard_lab,bully_physical_lab,bully_other_lab,bully_cyber_lab,peer_talk_lab,peer_talk_listen_lab,peer_talk_helpful_lab,peer_talk_if_lab,accept_peer_lab,year_group_lab,fsm_lab,sen_lab,ethnicity_lab,english_additional_lab,school_lab
1.0,2.0,3.0,3.0,3.0,3.0,3.0,12.0,,4.0,3.0,3.0,5.0,1.0,10.0,4.0,5.0,1.0,4.0,2.0,4.0,5.0,1.0,3.0,3.0,1.0,,,3.0,2.0,4.0,2.0,2.0,2.0,3.0,0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,,0.0,4.0,90.0,5.0,3.0,4.0,7.0,,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,,,,,1.0,1.0,1.0,,2.0,1.0,3.0,3.0,,,5.0,0.0,2.0,1.0,,3.0,1.0,4.0,3.0,4.0,2.0,5.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0,1.0,,1.0,8.0,0.0,1.0,1.0,1.0,5,North Devon 001,,10.0,14.0,19.0,,9.0,0.0,13.0,3.0,,0.0,360.0,1.0,6.0,2.0,,3.5,1.0,,,3.0,15.0,,5.0,,1.0,4.0,1.0,10.0,1.0,10.0,6.0,Girl,No,Heterosexual/straight,Unsure,I don't know,I don't know,I don't know,11 years old,,4,3,3,5 - Completely true,1 - Completely not true,10 - completely,Very often,Very much like me,Not at all like me,Mostly like me,Rarely,Often,All of the time,None of the time,Some of the time,Some of the time,None of the time,,,Disagree,Agree,Strongly disagree,Almost Never,Almost Never,Almost Never,Sometimes,0 - Very unhappy,Strongly disagree,Sometimes,Always,Never,Never,Always,Sometimes,Never,Sometimes,Never,Never,Occasionally,Agree,,No,4 days,Around 1.5 hours,Almost never,1 to 2 hours,Limited,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Somewhat,4,3,4,4,,,,,Not at all,1 - Never,1 - Never,,2,Yes,Mostly,Very helpful,,,5 - Not happy or unhappy,No,Unsure,Very safe,,Neither agree nor disagree,Strongly agree,Disagree,Occasionally,Hardly ever,Some of the time,Never,Never,Strongly agree,Not at all,About the same,A lot,Quite interested,Mostly,Often,Quite a bit,Not at all,Not at all,Quite a bit,1-3 times in last 6 months,A few times a week,4+ times in last 6 months,Yes,Not at all,Not helpful,,Not at all,Year 8,Non-FSM,SEN,Ethnic minority,Yes,School E
2.0,1.0,4.0,1.0,3.0,3.0,2.0,14.0,5.0,3.0,4.0,5.0,4.0,1.0,8.0,3.0,2.0,5.0,5.0,3.0,2.0,3.0,5.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,,5.0,4.0,0,1.0,1.0,,1.0,1.0,3.0,3.0,2.0,,3.0,3.0,1.0,1.0,1.0,0.0,1.0,90.0,3.0,1.0,9.0,4.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,,4.0,3.0,3.0,5.0,,0.0,,,3.0,4.0,4.0,0.0,2.0,2.0,,1.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,,3.0,,4.0,2.0,1.0,5.0,,2.0,2.0,4.0,2.0,0.0,,,2.0,4.0,8.0,0.0,0.0,1.0,0.0,6,North Devon 008,14.0,8.0,15.0,22.0,17.0,,0.0,,1.0,8.0,0.0,90.0,3.0,8.0,3.0,1.75,3.0,2.0,6.75,15.0,3.0,9.0,,4.0,,1.0,2.0,,,2.0,,7.0,Boy,Yes,I describe myself in another way,Yes,I don't know,I don't know,No,13 years old,5 - Completely true,3,4,5 - Completely true,4,1 - Completely not true,8,Often,A little like me,Very much like me,Very much like me,Some of the time,Rarely,Some of the time,All of the time,Some of the time,None of the time,All of the time,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Never,,Very Often,Fairly Often,0 - Very unhappy,Strongly agree,Never,,Never,Never,Always,Always,Sometimes,,Always,Always,Often or always,Strongly agree,Strongly agree,No,1 day,Around 1.5 hours,Sometimes,None,Several,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Somewhat,1 - Never,2,3,3,Yes,Not at all,Somewhat helpful,,Fully,3,3,5 - Always,,No,,,Comfortable,Fully,4,No,Unsure,Fairly safe,,Strongly agree,Disagree,Disagree,Occasionally,Never,Never,Never,Never,Disagree,Mostly,,A lot,,Fully,Sometimes,Not at all,A lot,,A little,1-3 times in last 6 months,A few times a week,1-3 times in last 6 months,No,,,Uncomfortable,Fully,Year 8,Non-FSM,Non-SEN,Ethnic minority,No,School F
,3.0,6.0,3.0,3.0,1.0,2.0,7.0,4.0,1.0,1.0,2.0,5.0,5.0,10.0,4.0,3.0,2.0,1.0,,,1.0,3.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,5.0,5.0,11,3.0,3.0,,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,30.0,,6.0,7.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,3.0,2.0,1.0,3.0,,,,,2.0,5.0,5.0,3.0,2.0,0.0,,,3.0,3.0,10.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,5.0,1.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0,2.0,5.0,5.0,4.0,4.0,3.0,3.0,0.0,,,3.0,4.0,10.0,0.0,1.0,1.0,1.0,7,,18.0,10.0,10.0,,16.0,14.0,,,2.0,7.0,1.0,90.0,,3.0,1.0,,3.0,3.0,,13.0,,9.0,15.0,10.0,19.0,1.0,2.0,1.0,8.0,4.0,16.0,5.0,,Prefer not to say,Prefer not to say,Unsure,I don't know,Yes,No,6 years old,4,1 - Completely not true,1 - Completely not true,2,5 - Completely true,5 - Completely true,10 - completely,Very often,Somewhat like me,A little like me,Not at all like me,,,None of the time,Some of the time,None of the time,Often,Some of the time,Agree,Agree,Strongly agree,Disagree,Strongly agree,Never,Sometimes,Very Often,Very Often,Prefer not to say,Disagree,Always,,Sometimes,Always,Always,Sometimes,Always,Never,Never,Never,Some of the time,Agree,Strongly agree,Yes,3 days,Around 30 minutes,,4 to 5 hours,None ,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,,3,2,1 - Never,3,,,,,Slightly,5 - Always,5 - Always,3,2,No,,,Comfortable,Mostly,10 - Very happy,Yes,Yes,Very safe,Agree,Disagree,Strongly agree,Neither agree nor disagree,Never,Often or always,Some of the time,Never,Occasionally,Disagree,Fully,About the same,A lot,Quite interested,Not at all,Never,A little,A lot,A lot,Quite a bit,A few times a week,4+ times in last 6 months,4+ times in last 6 months,No,,,Comfortable,Fully,Year 10,Non-FSM,SEN,Ethnic minority,Yes,School G
2.0,3.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0,,4.0,5.0,3.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,5.0,2.0,4.0,2.0,1.0,,,2.0,1.0,3.0,3.0,2.0,5,,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,,1.0,1.0,2.0,3.0,1.0,0.0,60.0,5.0,9.0,7.0,9.0,7.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,5.0,0.0,,,4.0,4.0,1.0,4.0,,3.0,1.0,3.0,3.0,,3.0,1.0,1.0,1.0,,,3.0,1.0,,4.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,2.0,1.0,3.0,2.0,5.0,4.0,,,4.0,1.0,4.0,0.0,,,2.0,1.0,10.0,1.0,1.0,1.0,1.0,5,North Devon 005,,5.0,9.0,20.0,,9.0,5.0,,1.0,5.0,1.0,0.0,1.0,0.0,4.0,4.0,3.5,2.0,9.5,9.0,1.0,13.0,,1.0,,1.0,1.0,,6.5,2.0,,6.0,Boy,Prefer not to say,Heterosexual/straight,No,Yes,I don't know,I don't know,3 years old,4,1 - Completely not true,3,3,,4,5,Often,A little like me,Not at all like me,Somewhat like me,None of the time,Often,Rarely,Rarely,All of the time,Rarely,Often,Agree,Strongly agree,,,Agree,Never,Sometimes,Sometimes,Almost Never,5 - Not happy or unhappy,,Never,Sometimes,Sometimes,Sometimes,Always,Always,Never,Sometimes,,Never,Often or always,Agree,Disagree,Yes,0 days,Around 1 hour,Almost never,7 hours or more,Lots,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Not at all,4,2,2,5 - Always,No,,,Very comfortable,Fully,1 - Never,4,,3,Yes,Mostly,Very helpful,,Mostly,1,Yes,Yes,,,Neither agree nor disagree,Strongly agree,,Hardly ever,Occasionally,Occasionally,Some of the time,Occasionally,Strongly disagree,Not at all,Don't know,Quite a few,Not interested,Mostly,Sometimes,A lot,Quite a bit,,,A few times a week,Not at all,A few times a week,No,,,Uncomfortable,Not at all,Year 10,FSM,SEN,Ethnic minority,Yes,School E
,4.0,6.0,2.0,1.0,1.0,2.0,8.0,2.0,1.0,5.0,3.0,4.0,2.0,1.0,2.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,3.0,,5.0,,4.0,4.0,1.0,2.0,5.0,3.0,1.0,2.0,6,4.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,60.0,2.0,7.0,2.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,,,,,4.0,2.0,4.0,5.0,2.0,0.0,,,1.0,4.0,,0.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,5.0,5.0,4.0,1.0,3.0,1.0,2.0,3.0,,1.0,10.0,1.0,0.0,1.0,,4,,19.0,1.0,14.0,,,3.0,6.0,9.0,3.0,5.0,1.0,240.0,4.0,2.0,1.0,,1.0,3.0,,10.0,1.0,10.0,13.0,,15.333333333333334,1.0,4.0,1.0,7.5,1.0,14.0,7.0,,I describe myself in another way,Prefer not to say,No,Yes,Yes,No,7 years old,2,1 - Completely not true,5 - Completely true,3,4,2,1,Sometimes,Very much like me,Very much like me,A little like me,All of the time,Some of the time,All of the time,All of the time,Some of the time,,All of the time,,Strongly disagree,Strongly disagree,Strongly agree,Agree,Very Often,Sometimes,Never,Almost Never,6,Strongly disagree,Sometimes,Always,Always,Sometimes,Sometimes,Never,Always,Never,Sometimes,Sometimes,Occasionally,Agree,Disagree,Yes,4 days,Around 1 hour,Often,5 to 6 hours,None ,No,No,No,Yes,Yes,No,Yes,No,No,Not at all,4,4,1 - Never,1 - Never,,,,,Fully,2,4,5 - Always,2,No,,,Very uncomfortable,Fully,,No,Unsure,Fairly unsafe,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Often or always,Never,Never,Often or always,Often or always,Strongly agree,Not at all,About the same,Quite a few,Very interested,Not at all,Often,Not at all,Somewhat,A lot,A lot,A few times a week,Not at all,4+ times in last 6 months,Yes,Slightly,Very helpful,,Not at all,Year 10,FSM,Non-SEN,Ethnic minority,,School D
6.0,1.0,5.0,3.0,1.0,1.0,2.0,8.0,3.0,2.0,5.0,3.0,5.0,5.0,6.0,4.0,3.0,4.0,,1.0,3.0,,4.0,5.0,4.0,4.0,,1.0,2.0,2.0,4.0,5.0,2.0,,2.0,0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,0.0,7.0,120.0,4.0,8.0,,3.0,,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,4.0,,2.0,0.0,,,1.0,4.0,2.0,3.0,5.0,4.0,1.0,4.0,3.0,,1.0,2.0,0.0,0.0,1.0,5.0,4.0,3.0,5.0,3.0,3.0,1.0,5.0,2.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,,2.0,3.0,3.0,1.0,2.0,,,2.0,,1.0,0.0,2.0,1.0,7,Torridge 007,23.0,6.0,,,,,0.0,5.0,3.0,5.0,0.0,840.0,2.0,1.0,4.0,1.0,4.0,,,10.0,1.0,,14.0,2.0,12.0,1.0,2.0,1.0,7.5,3.0,,7.0,Prefer not to say,Yes,Currently unsure,Unsure,Yes,Yes,No,7 years old,3,2,5 - Completely true,3,5 - Completely true,5 - Completely true,6,Very often,Somewhat like me,Mostly like me,,None of the time,Some of the time,,Often,All of the time,Often,Often,,Strongly agree,Agree,Agree,Strongly disagree,Very Often,Almost Never,,Almost Never,0 - Very unhappy,Strongly disagree,Sometimes,Sometimes,Always,Never,Always,Always,Always,Sometimes,Always,Always,Occasionally,Strongly disagree,Strongly agree,No,7 days,Around 2 hours or more,Not often,6 to 7 hours,Lots,No,No,Yes,No,No,Yes,Yes,No,No,Not at all,5 - Always,4,,2,No,,,Very uncomfortable,Fully,2,3,5 - Always,4,Yes,Fully,Very helpful,,Not at all,2,No,No,Very safe,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Occasionally,Occasionally,Often or always,Never,Some of the time,Disagree,Mostly,About the same,Quite a few,Very interested,Not at all,Rarely,Quite a bit,Quite a bit,Somewhat,,1-3 times in last 6 months,4+ times in last 6 months,4+ times in last 6 months,Yes,Slightly,,,Slightly,,FSM,Non-SEN,White British,Yes,School G
2.0,1.0,5.0,2.0,1.0,1.0,2.0,15.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,5.0,3.0,5.0,4.0,2.0,5.0,3.0,4.0,4.0,3.0,1.0,3.0,,4.0,2.0,3,5.0,1.0,,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,,4.0,90.0,3.0,5.0,5.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,2.0,0.0,,,2.0,2.0,5.0,4.0,3.0,1.0,0.0,,,3.0,4.0,7.0,0.0,0.0,,2.0,5.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,4.0,5.0,3.0,,2.0,1.0,2.0,0.0,,,2.0,4.0,8.0,0.0,1.0,1.0,0.0,7,North Devon 008,17.0,3.0,8.0,26.0,10.0,,3.0,,1.0,3.0,,360.0,3.0,4.0,4.0,2.0,3.0,2.0,7.0,11.0,4.0,17.0,13.0,7.0,,1.0,4.0,,5.0,3.0,,10.0,Boy,Yes,Currently unsure,No,Yes,Yes,No,14 years old,4,3,5 - Completely true,4,3,2,3,Almost never,Somewhat like me,Somewhat like me,Not at all like me,Rarely,All of the time,Some of the time,All of the time,Often,Rarely,All of the time,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Sometimes,,Fairly Often,Almost Never,3,Prefer not to say,Never,,Never,Always,Sometimes,Sometimes,Never,Never,Never,Never,Often or always,Strongly disagree,Disagree,,4 days,Around 1.5 hours,Sometimes,3 to 4 hours,Lots,No,No,Yes,No,No,No,No,No,No,Quite a bit,5 - Always,5 - Always,5 - Always,2,No,,,Uncomfortable,Slightly,5 - Always,4,3,1 - Never,No,,,Comfortable,Fully,7,No,No,,Agree,Strongly disagree,Agree,Agree,Often or always,Occasionally,Often or always,Occasionally,Hardly ever,Strongly agree,Not at all,Don't know,Not many,A little interested,Slightly,Rarely,Quite a bit,A lot,Somewhat,,1-3 times in last 6 months,Not at all,1-3 times in last 6 months,No,,,Uncomfortable,Fully,Year 8,Non-FSM,SEN,Ethnic minority,No,School G
4.0,5.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,5.0,4.0,5.0,4.0,10.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,2.0,3.0,1.0,2.0,,2.0,1.0,4.0,1.0,5.0,3.0,3.0,3.0,4,,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,0.0,30.0,5.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,0.0,,,3.0,2.0,1.0,3.0,5.0,3.0,1.0,3.0,1.0,,2.0,4.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,3.0,,1.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,0.0,,,1.0,3.0,8.0,1.0,1.0,1.0,0.0,5,,22.0,10.0,7.0,17.0,,6.0,4.0,7.0,1.0,4.0,1.0,0.0,1.0,5.0,1.0,3.0,2.0,1.0,6.0,9.0,2.0,7.0,12.0,4.0,20.0,1.0,1.0,1.0,4.0,1.0,13.0,9.0,I describe myself in another way,Not sure,Heterosexual/straight,Yes,I don't know,I don't know,Yes,2 years old,2,2,5 - Completely true,4,5 - Completely true,4,10 - completely,Almost never,Not at all like me,Not at all like me,Mostly like me,None of the time,Often,Often,Rarely,Some of the time,None of the time,Rarely,,Agree,Strongly agree,Strongly disagree,Strongly agree,Very Often,Sometimes,Sometimes,Sometimes,4,,Always,Sometimes,Always,Never,Always,Always,Always,Sometimes,Sometimes,Never,Often or always,Strongly disagree,Agree,Yes,0 days,Around 30 minutes,Almost never,2 to 3 hours,None ,,,,,,,,,,A little,2,2,2,1 - Never,No,,,Comfortable,Slightly,1 - Never,3,5 - Always,3,Yes,Mostly,Not helpful,,Slightly,4,Yes,Yes,Very safe,Strongly agree,Strongly disagree,Agree,Strongly agree,Hardly ever,Often or always,Occasionally,,Often or always,Strongly disagree,Slightly,About the same,Not many,Not interested,Slightly,Often,Quite a bit,Quite a bit,Somewhat,A little,1-3 times in last 6 months,1-3 times in last 6 months,1-3 times in last 6 months,No,,,Very uncomfortable,Mostly,Year 8,FSM,SEN,Ethnic minority,No,School E
3.0,4.0,3.0,1.0,3.0,2.0,1.0,15.0,4.0,3.0,5.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,4.0,2.0,5.0,1.0,4.0,2.0,,4.0,,5.0,,3.0,4.0,5,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,0.0,,60.0,2.0,9.0,2.0,2.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,4.0,1.0,5.0,1.0,3.0,,,,,3.0,0.0,1.0,0.0,3.0,,5.0,3.0,1.0,4.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,,3.0,10.0,0.0,0.0,1.0,0.0,4,North Devon 010,16.0,1.0,14.0,24.0,,,5.0,11.0,3.0,4.0,0.0,,4.0,0.0,4.0,1.0,,3.0,,11.0,4.0,7.0,10.0,0.0,,1.0,3.0,0.0,5.5,2.0,15.0,12.0,Non-binary,I describe myself in another way,Heterosexual/straight,Yes,I don't know,No,Yes,14 years old,4,3,5 - Completely true,4,3,1 - Completely not true,1,Often,Somewhat like me,Somewhat like me,Very much like me,Often,Some of the time,All of the time,Often,Rarely,All of the time,None of the time,Strongly disagree,Agree,,Strongly disagree,,Very Often,,Sometimes,Fairly Often,5 - Not happy or unhappy,Strongly agree,Always,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Occasionally,Agree,Strongly disagree,No,,Around 1 hour,Often,7 hours or more,Lots,No,No,Yes,No,No,No,No,No,Yes,Quite a bit,1 - Never,1 - Never,3,2,Yes,Not at all,Not helpful,,Fully,1 - Never,5 - Always,1 - Never,3,,,,,Mostly,0 - Very unhappy,Yes,No,Fairly unsafe,,Strongly disagree,Neither agree nor disagree,Strongly agree,Hardly ever,Hardly ever,Often or always,Hardly ever,Some of the time,Agree,Not at all,Poorer,Quite a few,A little interested,Not at all,Sometimes,Quite a bit,Quite a bit,Quite a bit,Somewhat,Not at all,Not at all,Not at all,Yes,Slightly,Very helpful,,Mostly,Year 10,Non-FSM,Non-SEN,Ethnic minority,No,School D
6.0,2.0,4.0,,,1.0,2.0,8.0,,4.0,4.0,2.0,2.0,3.0,5.0,5.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,,3.0,4.0,4.0,3.0,6,3.0,3.0,3.0,,1.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,120.0,1.0,7.0,2.0,1.0,7.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,,1.0,1.0,2.0,1.0,3.0,0.0,,,3.0,,3.0,0.0,0.0,3.0,1.0,4.0,,1.0,3.0,3.0,,3.0,1.0,4.0,3.0,2.0,2.0,,3.0,2.0,2.0,3.0,4.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,8.0,1.0,0.0,1.0,1.0,2,Torridge 008,,5.0,11.0,22.0,,8.0,6.0,,4.0,6.0,1.0,240.0,5.0,2.0,3.0,2.0,3.0,1.0,6.0,,2.0,11.0,7.0,3.0,,1.0,1.0,0.0,,2.0,,11.0,Prefer not to say,No,I describe myself in another way,,,Yes,No,7 years old,,4,4,2,2,3,5,Always,Not at all like me,Not at all like me,Mostly like me,Often,None of the time,Often,All of the time,Often,Some of the time,None of the time,Strongly disagree,Strongly agree,Agree,Strongly agree,,Sometimes,Fairly Often,Fairly Often,Sometimes,6,Disagree,Always,Always,,Never,Always,Sometimes,Never,Sometimes,Never,Never,Hardly ever,Agree,Agree,Yes,2 days,Around 2 hours or more,Almost always,5 to 6 hours,Several,Yes,No,No,Yes,No,Yes,Yes,Yes,No,A little,3,2,3,3,Yes,Mostly,Not helpful,,Not at all,1 - Never,2,1 - Never,3,No,,,Comfortable,,3,No,No,Fairly unsafe,Strongly agree,Disagree,,Strongly agree,Occasionally,Occasionally,,Occasionally,Often or always,Strongly disagree,Mostly,Poorer,Quite a few,,Mostly,Sometimes,A little,Somewhat,Quite a bit,,1-3 times in last 6 months,Not at all,Not at all,Yes,Not at all,Not helpful,,Not at all,Year 8,FSM,Non-SEN,Ethnic minority,Yes,School B
