cat,cat_lab,count,percentage,measure,n_responses,school_lab,school_group,school_group_lab,plot_group,measure_lab
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[128, 125, 141, 137, 129, 12]","[19.047619047619047, 18.601190476190478, 20.982142857142858, 20.386904761904763, 19.196428571428573, 1.7857142857142856]",transgender,672.0,School A,0,Other schools,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[99, 113, 115, 123, 104, 115, 3]","[14.732142857142858, 16.815476190476193, 17.113095238095237, 18.303571428571427, 15.476190476190476, 17.113095238095237, 0.4464285714285714]",sexual_orientation,672.0,School A,0,Other schools,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[207, 165, 228, 72]","[30.80357142857143, 24.553571428571427, 33.92857142857143, 10.714285714285714]",neurodivergent,672.0,School A,0,Other schools,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[211, 223, 209, 29]","[31.398809523809522, 33.18452380952381, 31.101190476190478, 4.315476190476191]",birth_parent1,672.0,School A,0,Other schools,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[226, 221, 198, 27]","[33.63095238095239, 32.88690476190476, 29.464285714285715, 4.017857142857143]",birth_parent2,672.0,School A,0,Other schools,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[197, 239, 210, 26]","[29.315476190476193, 35.56547619047619, 31.25, 3.869047619047619]",birth_you,672.0,School A,0,Other schools,birth,Were you born outside the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[321, 319, 32]","[47.767857142857146, 47.470238095238095, 4.761904761904762]",young_carer,672.0,School A,0,Other schools,young_carer,"In the last year, have you regularly taken on caring
    responsibilities for a family member - e.g. due to illness, disability,
    mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[213, 178, 205, 76]","[31.69642857142857, 26.488095238095237, 30.505952380952383, 11.30952380952381]",care_experience,672.0,School A,0,Other schools,care_experience,"Are you or have you ever been in care (living in
    a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[354, 260, 58]","[52.67857142857143, 38.69047619047619, 8.630952380952381]",year_group,672.0,School A,0,Other schools,year_group,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[271, 325, 76]","[40.327380952380956, 48.36309523809524, 11.30952380952381]",fsm,672.0,School A,0,Other schools,fsm,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[389, 250, 33]","[57.886904761904766, 37.202380952380956, 4.910714285714286]",sen,672.0,School A,0,Other schools,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[326, 324, 22]","[48.51190476190476, 48.214285714285715, 3.273809523809524]",ethnicity,672.0,School A,0,Other schools,ethnicity,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[297, 309, 66]","[44.19642857142857, 45.982142857142854, 9.821428571428571]",english_additional,672.0,School A,0,Other schools,english_additional,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[19, 16, 21, 24, 20, 17, 15]","[14.393939393939394, 12.121212121212121, 15.909090909090908, 18.181818181818183, 15.151515151515152, 12.878787878787879, 11.363636363636363]",gender,132.0,School B,1,Your school,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[24, 24, 30, 24, 27, 3]","[18.181818181818183, 18.181818181818183, 22.727272727272727, 18.181818181818183, 20.454545454545457, 2.272727272727273]",transgender,132.0,School B,1,Your school,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[19, 21, 36, 15, 13, 27, 1]","[14.393939393939394, 15.909090909090908, 27.27272727272727, 11.363636363636363, 9.848484848484848, 20.454545454545457, 0.7575757575757576]",sexual_orientation,132.0,School B,1,Your school,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[37, 25, 52, 18]","[28.030303030303028, 18.939393939393938, 39.39393939393939, 13.636363636363635]",neurodivergent,132.0,School B,1,Your school,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[47, 48, 36, 1]","[35.60606060606061, 36.36363636363637, 27.27272727272727, 0.7575757575757576]",birth_parent1,132.0,School B,1,Your school,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[44, 50, 33, 5]","[33.33333333333333, 37.878787878787875, 25.0, 3.787878787878788]",birth_parent2,132.0,School B,1,Your school,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[38, 41, 47, 6]","[28.78787878787879, 31.060606060606062, 35.60606060606061, 4.545454545454546]",birth_you,132.0,School B,1,Your school,birth,Were you born outside the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[63, 63, 6]","[47.72727272727273, 47.72727272727273, 4.545454545454546]",young_carer,132.0,School B,1,Your school,young_carer,"In the last year, have you regularly taken on caring
    responsibilities for a family member - e.g. due to illness, disability,
    mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[47, 36, 36, 13]","[35.60606060606061, 27.27272727272727, 27.27272727272727, 9.848484848484848]",care_experience,132.0,School B,1,Your school,care_experience,"Are you or have you ever been in care (living in
    a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[70, 52, 10]","[53.03030303030303, 39.39393939393939, 7.575757575757576]",year_group,132.0,School B,1,Your school,year_group,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[61, 55, 16]","[46.21212121212121, 41.66666666666667, 12.121212121212121]",fsm,132.0,School B,1,Your school,fsm,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[127, nan, nan]","[96.21212121212122, nan, nan]",sen,127.0,School B,1,Your school,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[61, 66, 5]","[46.21212121212121, 50.0, 3.787878787878788]",ethnicity,132.0,School B,1,Your school,ethnicity,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[55, 68, 9]","[41.66666666666667, 51.515151515151516, 6.8181818181818175]",english_additional,132.0,School B,1,Your school,english_additional,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[92, 126, 80, 101, 102, 101, 66]","[13.77245508982036, 18.862275449101794, 11.976047904191617, 15.119760479041917, 15.269461077844312, 15.119760479041917, 9.880239520958083]",gender,668.0,School B,0,Other schools,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[128, 125, 116, 114, 102, 83]","[19.16167664670659, 18.7125748502994, 17.365269461077844, 17.065868263473057, 15.269461077844312, 12.425149700598801]",transgender,668.0,School B,0,Other schools,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[102, 118, 94, 128, 120, 104, 2]","[15.269461077844312, 17.664670658682635, 14.071856287425149, 19.16167664670659, 17.964071856287426, 15.568862275449103, 0.29940119760479045]",sexual_orientation,668.0,School B,0,Other schools,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[211, 172, 209, 76]","[31.58682634730539, 25.748502994011975, 31.2874251497006, 11.377245508982035]",neurodivergent,668.0,School B,0,Other schools,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[202, 219, 213, 34]","[30.239520958083833, 32.78443113772455, 31.886227544910177, 5.089820359281437]",birth_parent1,668.0,School B,0,Other schools,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[232, 209, 201, 26]","[34.73053892215569, 31.2874251497006, 30.08982035928144, 3.8922155688622757]",birth_parent2,668.0,School B,0,Other schools,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[196, 237, 213, 22]","[29.34131736526946, 35.47904191616767, 31.886227544910177, 3.293413173652695]",birth_you,668.0,School B,0,Other schools,birth,Were you born outside the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[314, 326, 28]","[47.00598802395209, 48.80239520958084, 4.191616766467066]",young_carer,668.0,School B,0,Other schools,young_carer,"In the last year, have you regularly taken on caring
    responsibilities for a family member - e.g. due to illness, disability,
    mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[202, 181, 209, 76]","[30.239520958083833, 27.095808383233532, 31.2874251497006, 11.377245508982035]",care_experience,668.0,School B,0,Other schools,care_experience,"Are you or have you ever been in care (living in
    a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[346, 260, 62]","[51.796407185628745, 38.92215568862276, 9.281437125748502]",year_group,668.0,School B,0,Other schools,year_group,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[269, 324, 75]","[40.26946107784431, 48.50299401197605, 11.22754491017964]",fsm,668.0,School B,0,Other schools,fsm,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[319, 314, 35]","[47.75449101796407, 47.00598802395209, 5.239520958083832]",sen,668.0,School B,0,Other schools,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[322, 324, 22]","[48.20359281437126, 48.50299401197605, 3.293413173652695]",ethnicity,668.0,School B,0,Other schools,ethnicity,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[293, 301, 74]","[43.862275449101794, 45.05988023952096, 11.077844311377245]",english_additional,668.0,School B,0,Other schools,english_additional,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[18, 16, 14, 18, 14, 15, 16]","[16.216216216216218, 14.414414414414415, 12.612612612612612, 16.216216216216218, 12.612612612612612, 13.513513513513514, 14.414414414414415]",gender,111.0,School C,1,Your school,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[23, 20, 26, 26, 15, 1]","[20.72072072072072, 18.01801801801802, 23.423423423423422, 23.423423423423422, 13.513513513513514, 0.9009009009009009]",transgender,111.0,School C,1,Your school,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[13, 23, 17, 29, 14, 14, 1]","[11.711711711711711, 20.72072072072072, 15.315315315315313, 26.126126126126124, 12.612612612612612, 12.612612612612612, 0.9009009009009009]",sexual_orientation,111.0,School C,1,Your school,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[41, 26, 36, 8]","[36.93693693693694, 23.423423423423422, 32.432432432432435, 7.207207207207207]",neurodivergent,111.0,School C,1,Your school,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[31, 40, 33, 7]","[27.927927927927925, 36.03603603603604, 29.72972972972973, 6.306306306306306]",birth_parent1,111.0,School C,1,Your school,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[35, 36, 34, 6]","[31.53153153153153, 32.432432432432435, 30.630630630630627, 5.405405405405405]",birth_parent2,111.0,School C,1,Your school,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[30, 45, 33, 3]","[27.027027027027028, 40.54054054054054, 29.72972972972973, 2.7027027027027026]",birth_you,111.0,School C,1,Your school,birth,Were you born outside the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[57, 50, 4]","[51.35135135135135, 45.04504504504504, 3.6036036036036037]",young_carer,111.0,School C,1,Your school,young_carer,"In the last year, have you regularly taken on caring
    responsibilities for a family member - e.g. due to illness, disability,
    mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[28, 35, 38, 10]","[25.225225225225223, 31.53153153153153, 34.234234234234236, 9.00900900900901]",care_experience,111.0,School C,1,Your school,care_experience,"Are you or have you ever been in care (living in
    a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[37, 62, 12]","[33.33333333333333, 55.85585585585585, 10.81081081081081]",year_group,111.0,School C,1,Your school,year_group,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[45, 55, 11]","[40.54054054054054, 49.549549549549546, 9.90990990990991]",fsm,111.0,School C,1,Your school,fsm,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[59, 46, 6]","[53.153153153153156, 41.44144144144144, 5.405405405405405]",sen,111.0,School C,1,Your school,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[60, 50, 1]","[54.054054054054056, 45.04504504504504, 0.9009009009009009]",ethnicity,111.0,School C,1,Your school,ethnicity,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[52, 50, 9]","[46.846846846846844, 45.04504504504504, 8.108108108108109]",english_additional,111.0,School C,1,Your school,english_additional,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[93, 126, 87, 107, 108, 103, 65]","[13.497822931785198, 18.287373004354137, 12.62699564586357, 15.529753265602322, 15.674891146589259, 14.949201741654573, 9.433962264150944]",gender,689.0,School C,0,Other schools,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[129, 129, 120, 112, 114, 85]","[18.722786647314948, 18.722786647314948, 17.41654571843251, 16.25544267053701, 16.545718432510885, 12.336719883889694]",transgender,689.0,School C,0,Other schools,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[108, 116, 113, 114, 119, 117, 2]","[15.674891146589259, 16.835994194484762, 16.400580551523948, 16.545718432510885, 17.271407837445572, 16.9811320754717, 0.29027576197387517]",sexual_orientation,689.0,School C,0,Other schools,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[207, 171, 225, 86]","[30.043541364296082, 24.818577648766325, 32.65602322206096, 12.481857764876633]",neurodivergent,689.0,School C,0,Other schools,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[218, 227, 216, 28]","[31.64005805515239, 32.94629898403483, 31.349782293178517, 4.063860667634253]",birth_parent1,689.0,School C,0,Other schools,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[241, 223, 200, 25]","[34.97822931785196, 32.365747460087086, 29.027576197387518, 3.6284470246734397]",birth_parent2,689.0,School C,0,Other schools,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[204, 233, 227, 25]","[29.60812772133527, 33.81712626995646, 32.94629898403483, 3.6284470246734397]",birth_you,689.0,School C,0,Other schools,birth,Were you born outside the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[320, 339, 30]","[46.44412191582003, 49.20174165457185, 4.354136429608127]",young_carer,689.0,School C,0,Other schools,young_carer,"In the last year, have you regularly taken on caring
    responsibilities for a family member - e.g. due to illness, disability,
    mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[221, 182, 207, 79]","[32.075471698113205, 26.41509433962264, 30.043541364296082, 11.46589259796807]",care_experience,689.0,School C,0,Other schools,care_experience,"Are you or have you ever been in care (living in
    a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[379, 250, 60]","[55.00725689404935, 36.284470246734394, 8.708272859216255]",year_group,689.0,School C,0,Other schools,year_group,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[285, 324, 80]","[41.36429608127721, 47.02467343976778, 11.611030478955007]",fsm,689.0,School C,0,Other schools,fsm,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[387, 268, 34]","[56.16835994194484, 38.89695210449927, 4.934687953555878]",sen,689.0,School C,0,Other schools,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[323, 340, 26]","[46.879535558780844, 49.34687953555878, 3.7735849056603774]",ethnicity,689.0,School C,0,Other schools,ethnicity,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[296, 319, 74]","[42.96081277213353, 46.29898403483309, 10.740203193033382]",english_additional,689.0,School C,0,Other schools,english_additional,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[15, 22, nan, 7, 17, 16, nan]","[14.018691588785046, 20.5607476635514, nan, 6.5420560747663545, 15.887850467289718, 14.953271028037381, nan]",gender,77.0,School D,1,Your school,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[22, 19, 20, 24, 22, 0]","[20.5607476635514, 17.75700934579439, 18.69158878504673, 22.429906542056074, 20.5607476635514, 0.0]",transgender,107.0,School D,1,Your school,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[23, 14, 12, 18, 20, 20, 0]","[21.49532710280374, 13.084112149532709, 11.214953271028037, 16.822429906542055, 18.69158878504673, 18.69158878504673, 0.0]",sexual_orientation,107.0,School D,1,Your school,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[34, 25, 37, 11]","[31.775700934579437, 23.364485981308412, 34.57943925233645, 10.2803738317757]",neurodivergent,107.0,School D,1,Your school,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[29, 31, 39, 8]","[27.102803738317753, 28.971962616822427, 36.44859813084112, 7.476635514018691]",birth_parent1,107.0,School D,1,Your school,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[41, 33, 28, 5]","[38.31775700934579, 30.8411214953271, 26.168224299065418, 4.672897196261682]",birth_parent2,107.0,School D,1,Your school,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[26, 45, 30, 6]","[24.299065420560748, 42.05607476635514, 28.037383177570092, 5.607476635514018]",birth_you,107.0,School D,1,Your school,birth,Were you born outside the UK?
"[0, 1, nan]","['No', 'Yes', 'No response']","[46, 55, 6]","[42.99065420560748, 51.4018691588785, 5.607476635514018]",young_carer,107.0,School D,1,Your school,young_carer,"In the last year, have you regularly taken on caring
    responsibilities for a family member - e.g. due to illness, disability,
    mental health condition or drug/alcohol dependency?"
"[1, 0, 2, nan]","['Yes', 'No', 'Unsure', 'No response']","[28, 35, 30, 14]","[26.168224299065418, 32.71028037383177, 28.037383177570092, 13.084112149532709]",care_experience,107.0,School D,1,Your school,care_experience,"Are you or have you ever been in care (living in
    a foster placement, residential placement, or private/kinship care)?"
"[8, 10, nan]","['Year 8', 'Year 10', 'No data']","[47, 53, 7]","[43.925233644859816, 49.532710280373834, 6.5420560747663545]",year_group,107.0,School D,1,Your school,year_group,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[41, 50, 16]","[38.31775700934579, 46.728971962616825, 14.953271028037381]",fsm,107.0,School D,1,Your school,fsm,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[51, 52, 4]","[47.66355140186916, 48.598130841121495, 3.7383177570093453]",sen,107.0,School D,1,Your school,neuro,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[55, 48, 4]","[51.4018691588785, 44.85981308411215, 3.7383177570093453]",ethnicity,107.0,School D,1,Your school,ethnicity,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[50, 45, 12]","[46.728971962616825, 42.05607476635514, 11.214953271028037]",english_additional,107.0,School D,1,Your school,english_additional,English as an additional language
"[1, 2, 3, 4, 5, 6, nan]","['Girl', 'Boy', 'Non-binary', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[96, 120, 94, 108, 106, 98, 71]","[13.852813852813853, 17.316017316017316, 13.564213564213565, 15.584415584415584, 15.295815295815295, 14.14141414141414, 10.245310245310245]",gender,693.0,School D,0,Other schools,gender,Gender
"[1, 2, 3, 4, 5, nan]","['Yes', 'No', 'Prefer not to say', 'I describe myself in another way', 'Not sure', 'No response']","[130, 130, 126, 114, 107, 86]","[18.75901875901876, 18.75901875901876, 18.181818181818183, 16.450216450216452, 15.44011544011544, 12.40981240981241]",transgender,693.0,School D,0,Other schools,gender,Do you consider yourself to be transgender?
"[1, 2, 3, 4, 5, 6, nan]","['Bi/pansexual', 'Gay/lesbian', 'Heterosexual/straight', 'I describe myself in another way', 'Currently unsure', 'Prefer not to say', 'No response']","[98, 125, 118, 125, 113, 111, 3]","[14.14141414141414, 18.037518037518037, 17.027417027417027, 18.037518037518037, 16.305916305916305, 16.017316017316016, 0.4329004329004329]",sexual_orientation,693.0,School D,0,Other schools,sexual_orientation,Sexual orientation
"[1, 2, 3, nan]","['Yes', 'No', 'Unsure', 'No response']","[214, 172, 224, 83]","[30.88023088023088, 24.81962481962482, 32.323232323232325, 11.976911976911978]",neurodivergent,693.0,School D,0,Other schools,neuro,Do you identify as neurodivergent?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[220, 236, 210, 27]","[31.746031746031743, 34.05483405483405, 30.303030303030305, 3.896103896103896]",birth_parent1,693.0,School D,0,Other schools,birth,Was birth parent 1 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[235, 226, 206, 26]","[33.910533910533914, 32.61183261183261, 29.725829725829726, 3.751803751803752]",birth_parent2,693.0,School D,0,Other schools,birth,Was birth parent 2 born outside the UK?
"[1, 2, 3, nan]","['Yes', 'No', ""I don't know"", 'No response']","[208, 233, 230, 22]","[30.014430014430015, 33.62193362193362, 33.18903318903319, 3.1746031746031744]",birth_you,693.0,School D,0,Other schools,birth,Were you born outside the UK?
