cat,cat_lab,count,percentage,measure,n_responses,school_lab,year_group_lab,gender_lab,fsm_lab,sen_lab,group,measure_lab
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'Missing']","[25, 25, 13, 32, 20, 3]","[21.2, 21.2, 11.0, 27.1, 16.9, 2.5]",autonomy_decide,115,School A,All,All,All,All,autonomy,I feel like I am free to decide for myself how to live my life
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'Missing']","[22, 23, 13, 25, 18, 17]","[18.6, 19.5, 11.0, 21.2, 15.3, 14.4]",autonomy_told,101,School A,All,All,All,All,autonomy,In my daily life I often have to do what I am told
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'Missing']","[28, 24, 15, 18, 19, 14]","[23.7, 20.3, 12.7, 15.3, 16.1, 11.9]",autonomy_myself,104,School A,All,All,All,All,autonomy,I feel I can pretty much be myself in daily situations
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['1 - Completely not true', '2', '3', '4', '5 - Completely true', 'Missing']","[25, 26, 21, 21, 14, 11]","[21.2, 22.0, 17.8, 17.8, 11.9, 9.3]",autonomy_choice,107,School A,All,All,All,All,autonomy,I have enough choice about how I spend my time
"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, nan]","['0 - not at all', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 - completely', 'Missing']","[6, 13, 9, 12, 10, 11, 11, 8, 13, 13, 8, 4]","[5.1, 11.0, 7.6, 10.2, 8.5, 9.3, 9.3, 6.8, 11.0, 11.0, 6.8, 3.4]",life_satisfaction,114,School A,All,All,All,All,life_satisfaction,"Overall, how satisfied are you with your life nowadays?"
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Almost never', 'Sometimes', 'Often', 'Very often', 'Always', 'Missing']","[19, 21, 20, 29, 22, 7]","[16.1, 17.8, 16.9, 24.6, 18.6, 5.9]",optimism_future,111,School A,All,All,All,All,optimism,I am optimistic about my future
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Not at all like me', 'A little like me', 'Somewhat like me', 'Mostly like me', 'Very much like me', 'Missing']","[25, 23, 18, 21, 26, 5]","[21.2, 19.5, 15.3, 17.8, 22.0, 4.2]",optimism_best,113,School A,All,All,All,All,optimism,"In uncertain times, I expect the best"
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Not at all like me', 'A little like me', 'Somewhat like me', 'Mostly like me', 'Very much like me', 'Missing']","[22, 29, 21, 12, 24, 10]","[18.6, 24.6, 17.8, 10.2, 20.3, 8.5]",optimism_good,108,School A,All,All,All,All,optimism,I think good things are going to happen to me
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Not at all like me', 'A little like me', 'Somewhat like me', 'Mostly like me', 'Very much like me', 'Missing']","[21, 17, 27, 25, 19, 9]","[17.8, 14.4, 22.9, 21.2, 16.1, 7.6]",optimism_work,109,School A,All,All,All,All,optimism,"I believe that things will work out, no matter how difficult they seem"
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'Missing']","[17, 13, 21, 25, 29, 13]","[14.4, 11.0, 17.8, 21.2, 24.6, 11.0]",wellbeing_optimistic,105,School A,All,All,All,All,wellbeing,I've been feeling optimistic about the future
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'Missing']","[20, 23, 26, 30, 16, 3]","[16.9, 19.5, 22.0, 25.4, 13.6, 2.5]",wellbeing_useful,115,School A,All,All,All,All,wellbeing,I've been feeling useful
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'Missing']","[28, 11, 22, 23, 25, 9]","[23.7, 9.3, 18.6, 19.5, 21.2, 7.6]",wellbeing_relaxed,109,School A,All,All,All,All,wellbeing,I've been feeling relaxed
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'Missing']","[30, 16, 20, 21, 28, 3]","[25.4, 13.6, 16.9, 17.8, 23.7, 2.5]",wellbeing_problems,115,School A,All,All,All,All,wellbeing,I've been dealing with problems well
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'Missing']","[16, 20, 33, 21, 22, 6]","[13.6, 16.9, 28.0, 17.8, 18.6, 5.1]",wellbeing_thinking,112,School A,All,All,All,All,wellbeing,I've been thinking clearly
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'Missing']","[23, 15, 23, 20, 26, 11]","[19.5, 12.7, 19.5, 16.9, 22.0, 9.3]",wellbeing_close,107,School A,All,All,All,All,wellbeing,I've been feeling close to other people
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['None of the time', 'Rarely', 'Some of the time', 'Often', 'All of the time', 'Missing']","[23, 26, 24, 15, 20, 10]","[19.5, 22.0, 20.3, 12.7, 16.9, 8.5]",wellbeing_mind,108,School A,All,All,All,All,wellbeing,I've been able to make up my own mind about things
"[1.0, 2.0, 3.0, 4.0, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'Missing']","[28, 25, 41, 23, 1]","[23.7, 21.2, 34.7, 19.5, 0.8]",esteem_satisfied,117,School A,All,All,All,All,esteem,"On the whole, I am satisfied with myself"
"[1.0, 2.0, 3.0, 4.0, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'Missing']","[21, 29, 35, 31, 2]","[17.8, 24.6, 29.7, 26.3, 1.7]",esteem_qualities,116,School A,All,All,All,All,esteem,I feel that I have a number of good qualities
"[1.0, 2.0, 3.0, 4.0, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'Missing']","[29, 28, 25, 27, 9]","[24.6, 23.7, 21.2, 22.9, 7.6]",esteem_well,109,School A,All,All,All,All,esteem,I am able to do things as well as most other people
"[1.0, 2.0, 3.0, 4.0, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'Missing']","[31, 33, 28, 25, 1]","[26.3, 28.0, 23.7, 21.2, 0.8]",esteem_value,117,School A,All,All,All,All,esteem,I am a person of value
"[1.0, 2.0, 3.0, 4.0, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'Missing']","[32, 28, 23, 32, 3]","[27.1, 23.7, 19.5, 27.1, 2.5]",esteem_good,115,School A,All,All,All,All,esteem,I feel good about myself
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Never', 'Almost Never', 'Sometimes', 'Fairly Often', 'Very Often', 'Missing']","[20, 26, 19, 21, 21, 11]","[16.9, 22.0, 16.1, 17.8, 17.8, 9.3]",stress_control,107,School A,All,All,All,All,stress,"In the last month, how often have you felt that you were unable to control the important things in your life?"
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Never', 'Almost Never', 'Sometimes', 'Fairly Often', 'Very Often', 'Missing']","[17, 27, 26, 24, 22, 2]","[14.4, 22.9, 22.0, 20.3, 18.6, 1.7]",stress_overcome,116,School A,All,All,All,All,stress,"In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?"
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Never', 'Almost Never', 'Sometimes', 'Fairly Often', 'Very Often', 'Missing']","[29, 15, 25, 20, 22, 7]","[24.6, 12.7, 21.2, 16.9, 18.6, 5.9]",stress_confident,111,School A,All,All,All,All,stress,"In the last month, how often have you felt confident about your ability to handle your personal problems?"
"[1.0, 2.0, 3.0, 4.0, 5.0]","['Never', 'Almost Never', 'Sometimes', 'Fairly Often', 'Very Often']","[25, 27, 20, 25, 21]","[21.2, 22.9, 16.9, 21.2, 17.8]",stress_way,118,School A,All,All,All,All,stress,"In the last month, how often have you felt that things were going your way?"
"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, nan]","['0 - Very unhappy', '1', '2', '3', '4', '5 - Not happy or unhappy', '6', '7', '8', '9', '10 - Very happy', 'Prefer not to say', 'Missing']","[7, 8, 12, 5, 8, 19, 11, 6, 8, 9, 10, 8, 7]","[5.9, 6.8, 10.2, 4.2, 6.8, 16.1, 9.3, 5.1, 6.8, 7.6, 8.5, 6.8, 5.9]",appearance_happy,111,School A,All,All,All,All,appearance,How happy are you with your appearance (the way that you look)?
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'Prefer not to say', 'Missing']","[17, 20, 26, 28, 16, 11]","[14.4, 16.9, 22.0, 23.7, 13.6, 9.3]",appearance_feel,107,School A,All,All,All,All,appearance,My appearance affects how I feel about myself
"[1.0, 2.0, 3.0, nan]","['Never', 'Sometimes', 'Always', 'Missing']","[48, 37, 32, 1]","[40.7, 31.4, 27.1, 0.8]",negative_lonely,117,School A,All,All,All,All,negative,I feel lonely
"[1.0, 2.0, 3.0, nan]","['Never', 'Sometimes', 'Always', 'Missing']","[31, 42, 38, 7]","[26.3, 35.6, 32.2, 5.9]",negative_unhappy,111,School A,All,All,All,All,negative,I am unhappy
"[1.0, 2.0, 3.0, nan]","['Never', 'Sometimes', 'Always', 'Missing']","[37, 36, 28, 17]","[31.4, 30.5, 23.7, 14.4]",negative_like,101,School A,All,All,All,All,negative,Nobody likes me
"[1.0, 2.0, 3.0, nan]","['Never', 'Sometimes', 'Always', 'Missing']","[31, 32, 48, 7]","[26.3, 27.1, 40.7, 5.9]",negative_cry,111,School A,All,All,All,All,negative,I cry a lot
"[1.0, 2.0, 3.0, nan]","['Never', 'Sometimes', 'Always', 'Missing']","[36, 45, 33, 4]","[30.5, 38.1, 28.0, 3.4]",negative_school,114,School A,All,All,All,All,negative,I worry when I am at school
"[1.0, 2.0, 3.0, nan]","['Never', 'Sometimes', 'Always', 'Missing']","[43, 31, 33, 11]","[36.4, 26.3, 28.0, 9.3]",negative_worry,107,School A,All,All,All,All,negative,I worry a lot
"[1.0, 2.0, 3.0, nan]","['Never', 'Sometimes', 'Always', 'Missing']","[35, 41, 35, 7]","[29.7, 34.7, 29.7, 5.9]",negative_sleep,111,School A,All,All,All,All,negative,I have problems sleeping
"[1.0, 2.0, 3.0]","['Never', 'Sometimes', 'Always']","[37, 35, 46]","[31.4, 29.7, 39.0]",negative_wake,118,School A,All,All,All,All,negative,I wake up in the night
"[1.0, 2.0, 3.0, nan]","['Never', 'Sometimes', 'Always', 'Missing']","[36, 40, 37, 5]","[30.5, 33.9, 31.4, 4.2]",negative_shy,113,School A,All,All,All,All,negative,I am shy
"[1.0, 2.0, 3.0, nan]","['Never', 'Sometimes', 'Always', 'Missing']","[29, 36, 38, 15]","[24.6, 30.5, 32.2, 12.7]",negative_scared,103,School A,All,All,All,All,negative,I feel scared
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'Missing']","[15, 21, 17, 20, 31, 14]","[12.7, 17.8, 14.4, 16.9, 26.3, 11.9]",lonely,104,School A,All,All,All,All,lonely,How often do you feel lonely?
"[1.0, 2.0, 3.0, 4.0, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'Missing']","[25, 21, 34, 24, 14]","[21.2, 17.8, 28.8, 20.3, 11.9]",support_ways,104,School A,All,All,All,All,support,"I have ways to support myself (e.g. to cope, or help myself feel better)"
"[1.0, 2.0, 3.0, 4.0, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'Missing']","[29, 30, 28, 30, 1]","[24.6, 25.4, 23.7, 25.4, 0.8]",support_look,117,School A,All,All,All,All,support,I know where to look for advice on how to support myself
"[0.0, 1.0, nan]","['No', 'Yes', 'Missing']","[57, 48, 13]","[48.3, 40.7, 11.0]",sleep,105,School A,All,All,All,All,sleep,Is the amount of sleep you normally get enough for you to feel awake and concentrate on your school work during the day?
"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, nan]","['0 days', '1 day', '2 days', '3 days', '4 days', '5 days', '6 days', '7 days', 'Missing']","[18, 10, 20, 15, 7, 13, 10, 12, 13]","[15.3, 8.5, 16.9, 12.7, 5.9, 11.0, 8.5, 10.2, 11.0]",physical_days,105,School A,All,All,All,All,physical,"How many days in a usual week are you physically active? Remember, we are interested in things that make you hot, sweaty, and/or breathe faster."
"[30.0, 60.0, 90.0, 120.0, nan]","['Around 30 minutes', 'Around 1 hour', 'Around 1.5 hours', 'Around 2 hours or more', 'Missing']","[33, 25, 30, 26, 4]","[28.0, 21.2, 25.4, 22.0, 3.4]",physical_hours,114,School A,All,All,All,All,physical,"On the days that you are physically active, think about all the different activities you typically do over the course of the day. How long on average do you spend being physically active?"
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Almost always', 'Often', 'Sometimes', 'Not often', 'Almost never', 'Missing']","[22, 18, 25, 28, 19, 6]","[18.6, 15.3, 21.2, 23.7, 16.1, 5.1]",free_like,112,School A,All,All,All,All,free_like,How often can you do things that you like in your free time?
"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, nan]","['Missing', 'Less than 1 hour', '1 hour to less than 2 hours', '2 hours to less than 3 hours', '3 hours to less than 4 hours', '4 hours to less than 5 hours', '5 hours to less than 6 hours', '6 hours to less than 7 hours', '7 hours or more', 'Missing']","[16, 10, 13, 9, 9, 10, 19, 14, 12, 6]","[13.6, 8.5, 11.0, 7.6, 7.6, 8.5, 16.1, 11.9, 10.2, 5.1]",media_hours,112,School A,All,All,All,All,media,"On a normal weekday during term time, how much time do you spend on social media? For example, sites or apps like TikTok, Instagram, and Snapchat"
"[1.0, 2.0, 3.0, 4.0, nan]","['Missing', 'Limited', 'Several', 'Lots', 'Missing']","[29, 34, 28, 19, 8]","[24.6, 28.8, 23.7, 16.1, 6.8]",places_freq,110,School A,All,All,All,All,places,"How many activities/places are there in your local area, that you choose to or would want to go to in your free time?"
"[0.0, 1.0]","['No', 'Yes']","[69, 49]","[58.5, 41.5]",places_barriers___1,118,School A,All,All,All,All,places,There's nothing to do
"[0.0, 1.0, nan]","['No', 'Yes', 'Missing']","[54, 55, 9]","[45.8, 46.6, 7.6]",places_barriers___2,109,School A,All,All,All,All,places,I'm unable to get there and back
"[0.0, 1.0, nan]","['No', 'Yes', 'Missing']","[41, 58, 19]","[34.7, 49.2, 16.1]",places_barriers___3,99,School A,All,All,All,All,places,It's too expensive (to get there or take part)
"[0.0, 1.0, nan]","['No', 'Yes', 'Missing']","[52, 58, 8]","[44.1, 49.2, 6.8]",places_barriers___4,110,School A,All,All,All,All,places,Poor weather
"[0.0, 1.0, nan]","['No', 'Yes', 'Missing']","[58, 45, 15]","[49.2, 38.1, 12.7]",places_barriers___5,103,School A,All,All,All,All,places,I have no-one to go with
"[0.0, 1.0, nan]","['No', 'Yes', 'Missing']","[56, 56, 6]","[47.5, 47.5, 5.1]",places_barriers___6,112,School A,All,All,All,All,places,It's too busy
"[0.0, 1.0, nan]","['No', 'Yes', 'Missing']","[43, 62, 13]","[36.4, 52.5, 11.0]",places_barriers___7,105,School A,All,All,All,All,places,I feel uncomfortable/anxious about other people who might be there
"[0.0, 1.0, nan]","['No', 'Yes', 'Missing']","[37, 65, 16]","[31.4, 55.1, 13.6]",places_barriers___8,102,School A,All,All,All,All,places,My parents/carers don't allow me to go
"[0.0, 1.0, nan]","['No', 'Yes', 'Missing']","[55, 59, 4]","[46.6, 50.0, 3.4]",places_barriers___9,114,School A,All,All,All,All,places,Other
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Not at all', 'A little', 'Somewhat', 'Quite a bit', 'A lot', 'Missing']","[20, 26, 21, 25, 25, 1]","[16.9, 22.0, 17.8, 21.2, 21.2, 0.8]",school_belong,117,School A,All,All,All,All,school_belong,I feel that I belong/belonged at my school
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'Missing']","[21, 21, 27, 16, 30, 3]","[17.8, 17.8, 22.9, 13.6, 25.4, 2.5]",staff_interest,115,School A,All,All,All,All,staff_relationship,Is interested in my schoolwork
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'Missing']","[21, 20, 20, 29, 19, 9]","[17.8, 16.9, 16.9, 24.6, 16.1, 7.6]",staff_believe,109,School A,All,All,All,All,staff_relationship,Believes that I will be a success
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'Missing']","[25, 21, 21, 15, 27, 9]","[21.2, 17.8, 17.8, 12.7, 22.9, 7.6]",staff_best,109,School A,All,All,All,All,staff_relationship,Wants me to do my best
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'Missing']","[24, 20, 21, 18, 25, 10]","[20.3, 16.9, 17.8, 15.3, 21.2, 8.5]",staff_listen,108,School A,All,All,All,All,staff_relationship,Listens to me when I have something to say
"[0.0, 1.0, nan]","['No', 'Yes', 'Missing']","[37, 64, 17]","[31.4, 54.2, 14.4]",staff_talk,101,School A,All,All,All,All,talk,An adult at school
"[1.0, 2.0, 3.0, 4.0, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'Missing']","[24, 27, 26, 30, 11]","[20.3, 22.9, 22.0, 25.4, 9.3]",staff_talk_listen,107,School A,All,All,All,All,talk,An adult at school
"[1.0, 2.0, 3.0, nan]","['Not helpful', 'Somewhat helpful', 'Very helpful', 'Missing']","[35, 34, 41, 8]","[29.7, 28.8, 34.7, 6.8]",staff_talk_helpful,110,School A,All,All,All,All,talk,An adult at school
"[1.0, 2.0, 3.0, 4.0, nan]","['Very uncomfortable', 'Uncomfortable', 'Comfortable', 'Very comfortable', 'Missing']","[25, 30, 30, 17, 16]","[21.2, 25.4, 25.4, 14.4, 13.6]",staff_talk_if,102,School A,All,All,All,All,talk,An adult at school
"[1.0, 2.0, 3.0, 4.0, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'Missing']","[29, 28, 26, 18, 17]","[24.6, 23.7, 22.0, 15.3, 14.4]",accept_staff,101,School A,All,All,All,All,accept,Adults at your school
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'Missing']","[27, 13, 23, 19, 26, 10]","[22.9, 11.0, 19.5, 16.1, 22.0, 8.5]",home_interest,108,School A,All,All,All,All,home_relationship,Is interested in my schoolwork
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'Missing']","[21, 27, 14, 19, 21, 16]","[17.8, 22.9, 11.9, 16.1, 17.8, 13.6]",home_believe,102,School A,All,All,All,All,home_relationship,Believes that I will be a success
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'Missing']","[22, 18, 28, 17, 21, 12]","[18.6, 15.3, 23.7, 14.4, 17.8, 10.2]",home_best,106,School A,All,All,All,All,home_relationship,Wants me to do my best
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'Missing']","[15, 22, 25, 22, 19, 15]","[12.7, 18.6, 21.2, 18.6, 16.1, 12.7]",home_listen,103,School A,All,All,All,All,home_relationship,Listens to me when I have something to say
"[0.0, 1.0, nan]","['No', 'Yes', 'Missing']","[58, 54, 6]","[49.2, 45.8, 5.1]",home_talk,112,School A,All,All,All,All,talk,One of your parents/carers
"[1.0, 2.0, 3.0, 4.0, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'Missing']","[25, 33, 33, 24, 3]","[21.2, 28.0, 28.0, 20.3, 2.5]",home_talk_listen,115,School A,All,All,All,All,talk,One of your parents/carers
"[1.0, 2.0, 3.0, nan]","['Not helpful', 'Somewhat helpful', 'Very helpful', 'Missing']","[49, 36, 31, 2]","[41.5, 30.5, 26.3, 1.7]",home_talk_helpful,116,School A,All,All,All,All,talk,One of your parents/carers
"[1.0, 2.0, 3.0, 4.0, nan]","['Very uncomfortable', 'Uncomfortable', 'Comfortable', 'Very comfortable', 'Missing']","[27, 26, 26, 33, 6]","[22.9, 22.0, 22.0, 28.0, 5.1]",home_talk_if,112,School A,All,All,All,All,talk,One of your parents/carers
"[1.0, 2.0, 3.0, 4.0, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'Missing']","[26, 31, 27, 30, 4]","[22.0, 26.3, 22.9, 25.4, 3.4]",accept_home,114,School A,All,All,All,All,accept,Your parents/carers
"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, nan]","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 'Missing']","[13, 10, 9, 12, 6, 17, 7, 4, 9, 13, 9, 9]","[11.0, 8.5, 7.6, 10.2, 5.1, 14.4, 5.9, 3.4, 7.6, 11.0, 7.6, 7.6]",home_happy,109,School A,All,All,All,All,home_happy,How happy are you with the home that you live in?
"[0.0, 1.0, nan]","['No', 'Yes', 'Missing']","[50, 62, 6]","[42.4, 52.5, 5.1]",young_carer,112,School A,All,All,All,All,demographic,"In the last year, have you regularly taken on caring responsibilities for a family member - e.g. due to illness, disability, mental health condition or drug/alcohol dependency?"
"[0.0, 1.0, 2.0, nan]","['No', 'Yes', 'Unsure', 'Missing']","[37, 37, 37, 7]","[31.4, 31.4, 31.4, 5.9]",care_experience,111,School A,All,All,All,All,demographic,"Are you or have you ever been in care (living in a foster placement, residential placement, or private/kinship care)?"
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Very safe', 'Fairly safe', 'Fairly unsafe', 'Very unsafe', ""Don't know"", 'Missing']","[23, 22, 22, 19, 30, 2]","[19.5, 18.6, 18.6, 16.1, 25.4, 1.7]",local_safe,116,School A,All,All,All,All,local_env,How safe do you feel when in your local area?
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'Missing']","[19, 22, 19, 26, 26, 6]","[16.1, 18.6, 16.1, 22.0, 22.0, 5.1]",local_support,112,School A,All,All,All,All,local_env,People around here support each other with their wellbeing
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'Missing']","[22, 16, 15, 25, 23, 17]","[18.6, 13.6, 12.7, 21.2, 19.5, 14.4]",local_trust,101,School A,All,All,All,All,local_env,You can trust people around here
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'Missing']","[25, 17, 20, 24, 21, 11]","[21.2, 14.4, 16.9, 20.3, 17.8, 9.3]",local_neighbours,107,School A,All,All,All,All,local_env,I could ask for help or a favour from neighbours
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'Missing']","[21, 26, 17, 26, 20, 8]","[17.8, 22.0, 14.4, 22.0, 16.9, 6.8]",local_places,110,School A,All,All,All,All,local_env,"There are good places to spend your free time (e.g., leisure centres, parks, shops)"
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'Missing']","[18, 19, 21, 20, 30, 10]","[15.3, 16.1, 17.8, 16.9, 25.4, 8.5]",discrim_race,108,School A,All,All,All,All,discrim,"Your race, skin colour or where you were born"
"[1.0, 2.0, 3.0, 4.0, 5.0, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'Missing']","[25, 22, 27, 16, 20, 8]","[21.2, 18.6, 22.9, 13.6, 16.9, 6.8]",discrim_gender,110,School A,All,All,All,All,discrim,Your gender
