cat,cat_lab,count,percentage,measure,n_responses,school_lab,year_group_lab,gender_lab,fsm_lab,sen_lab,group,measure_lab
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[27, 26, 37, 33, 5]","[21.09375, 20.3125, 28.90625, 25.78125, 3.90625]",support_ways,128.0,School A,All,All,All,All,support,"
I have ways to support myself (e.g. to cope, or help myself feel better)"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[29, 33, 32, 33, 1]","[22.65625, 25.78125, 25.0, 25.78125, 0.78125]",support_look,128.0,School A,All,All,All,All,support,"
I know where to look for advice on how to support myself"
"[0, 1, nan]","['No', 'Yes', 'No response']","[62, 55, 11]","[48.4375, 42.96875, 8.59375]",sleep,128.0,School A,All,All,All,All,sleep,"
Is the amount of sleep you normally get enough for you to feel awake and
concentrate on your school work during the day?"
"[0, 1, 2, 3, 4, 5, 6, 7, nan]","['0 days', '1 day', '2 days', '3 days', '4 days', '5 days', '6 days', '7 days', 'No response']","[20, 12, 22, 18, 9, 16, 11, 15, 5]","[15.625, 9.375, 17.1875, 14.0625, 7.03125, 12.5, 8.59375, 11.71875, 3.90625]",physical_days,128.0,School A,All,All,All,All,physical,"
How many days in a usual week are you physically active?"
"[30, 60, 90, 120, nan]","['Around 30 minutes', 'Around 1 hour', 'Around 1.5 hours', 'Around 2 hours or more', 'No response']","[33, 27, 29, 26, 13]","[25.78125, 21.09375, 22.65625, 20.3125, 10.15625]",physical_hours,128.0,School A,All,All,All,All,physical,"
How long on average do you spend being physically active?"
"[1, 2, 3, 4, 5, nan]","['Almost always', 'Often', 'Sometimes', 'Not often', 'Almost never', 'No response']","[26, 19, 27, 27, 20, 9]","[20.3125, 14.84375, 21.09375, 21.09375, 15.625, 7.03125]",free_like,128.0,School A,All,All,All,All,free_like,"
How often can you do things that you like in your free time?"
"[1, 2, 3, 4, 5, 6, 7, 8, 9, nan]","['None', 'Less than 1 hour', '1 to 2 hours', '2 to 3 hours', '3 to 4 hours', '4 to 5 hours', '5 to 6 hours', '6 to 7 hours', '7 hours or more', 'No response']","[17, 14, 15, 9, 10, 11, 21, 14, 16, 1]","[13.28125, 10.9375, 11.71875, 7.03125, 7.8125, 8.59375, 16.40625, 10.9375, 12.5, 0.78125]",media_hours,128.0,School A,All,All,All,All,media,"
On a normal weekday during term time, how much time do you spend on social
media?"
"[1, 2, 3, 4, nan]","['None ', 'Limited', 'Several', 'Lots', 'No response']","[32, 39, 29, 26, 2]","[25.0, 30.46875, 22.65625, 20.3125, 1.5625]",places_freq,128.0,School A,All,All,All,All,places,"
How many activities/places are there in your local area, that you choose to or
would want to go to in your free time?"
"[0, 1, nan]","['No', 'Yes', 'No response']","[66, 51, 11]","[51.5625, 39.84375, 8.59375]",places_barriers___1,128.0,School A,All,All,All,All,places,"
There's nothing to do"
"[0, 1, nan]","['No', 'Yes', 'No response']","[63, 54, 11]","[49.21875, 42.1875, 8.59375]",places_barriers___2,128.0,School A,All,All,All,All,places,"
I'm unable to get there and back"
"[0, 1, nan]","['No', 'Yes', 'No response']","[59, 58, 11]","[46.09375, 45.3125, 8.59375]",places_barriers___3,128.0,School A,All,All,All,All,places,"
It's too expensive (to get there or take part)"
"[0, 1, nan]","['No', 'Yes', 'No response']","[53, 64, 11]","[41.40625, 50.0, 8.59375]",places_barriers___4,128.0,School A,All,All,All,All,places,"
Poor weather"
"[0, 1, nan]","['No', 'Yes', 'No response']","[72, 45, 11]","[56.25, 35.15625, 8.59375]",places_barriers___5,128.0,School A,All,All,All,All,places,"
I have no-one to go with"
"[0, 1, nan]","['No', 'Yes', 'No response']","[68, 49, 11]","[53.125, 38.28125, 8.59375]",places_barriers___6,128.0,School A,All,All,All,All,places,"
It's too busy"
"[0, 1, nan]","['No', 'Yes', 'No response']","[57, 60, 11]","[44.53125, 46.875, 8.59375]",places_barriers___7,128.0,School A,All,All,All,All,places,"
I feel uncomfortable/anxious about other people who might be there"
"[0, 1, nan]","['No', 'Yes', 'No response']","[50, 67, 11]","[39.0625, 52.34375, 8.59375]",places_barriers___8,128.0,School A,All,All,All,All,places,"
My parents/carers don't allow me to go"
"[0, 1, nan]","['No', 'Yes', 'No response']","[60, 57, 11]","[46.875, 44.53125, 8.59375]",places_barriers___9,128.0,School A,All,All,All,All,places,"
Other"
"[1, 2, 3, 4, 5, nan]","['Not at all', 'A little', 'Somewhat', 'Quite a bit', 'A lot', 'No response']","[18, 28, 21, 22, 26, 13]","[14.0625, 21.875, 16.40625, 17.1875, 20.3125, 10.15625]",school_belong,128.0,School A,All,All,All,All,school_belong,"
I feel that I belong/belonged at my school"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[23, 24, 30, 20, 30, 1]","[17.96875, 18.75, 23.4375, 15.625, 23.4375, 0.78125]",staff_interest,128.0,School A,All,All,All,All,staff_relationship,"
At school there is an adult who... is interested in my schoolwork"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[28, 23, 22, 32, 23, 0]","[21.875, 17.96875, 17.1875, 25.0, 17.96875, 0.0]",staff_believe,128.0,School A,All,All,All,All,staff_relationship,"
At school there is an adult who... believes that I will be a success"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[29, 24, 23, 15, 30, 7]","[22.65625, 18.75, 17.96875, 11.71875, 23.4375, 5.46875]",staff_best,128.0,School A,All,All,All,All,staff_relationship,"
At school there is an adult who... wants me to do my best"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[30, 23, 22, 20, 28, 5]","[23.4375, 17.96875, 17.1875, 15.625, 21.875, 3.90625]",staff_listen,128.0,School A,All,All,All,All,staff_relationship,"
At school there is an adult who... listens to me when I have something to
say"
"[0, 1, nan]","['No', 'Yes', 'No response']","[45, 73, 10]","[35.15625, 57.03125, 7.8125]",staff_talk,128.0,School A,All,All,All,All,talk,"
Talked about feeling down with... an adult at school"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[20, 19, 14, 16, 4]","[27.397260273972602, 26.027397260273972, 19.17808219178082, 21.91780821917808, 5.47945205479452]",staff_talk_listen,73.0,School A,All,All,All,All,talk,"
Did you feel listened to when you spoke with... an adult at school"
"[1, 2, 3, nan]","['Not helpful', 'Somewhat helpful', 'Very helpful', 'No response']","[23, 21, 28, 1]","[31.506849315068493, 28.767123287671232, 38.35616438356164, 1.36986301369863]",staff_talk_helpful,73.0,School A,All,All,All,All,talk,"
Did you receive advice that you found helpful from... an adult at school"
"[1, 2, 3, 4, nan]","['Very uncomfortable', 'Uncomfortable', 'Comfortable', 'Very comfortable', 'No response']","[8, 17, 10, 9, 1]","[17.77777777777778, 37.77777777777778, 22.22222222222222, 20.0, 2.2222222222222223]",staff_talk_if,45.0,School A,All,All,All,All,talk,"
How would you feel about speaking with... an adult at school"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[37, 31, 30, 26, 4]","[28.90625, 24.21875, 23.4375, 20.3125, 3.125]",accept_staff,128.0,School A,All,All,All,All,accept,"
Adults at your school"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[26, 21, 22, 21, 31, 7]","[20.3125, 16.40625, 17.1875, 16.40625, 24.21875, 5.46875]",home_interest,128.0,School A,All,All,All,All,home_relationship,"
At home there is an adult who... is interested in my schoolwork"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[28, 30, 15, 23, 25, 7]","[21.875, 23.4375, 11.71875, 17.96875, 19.53125, 5.46875]",home_believe,128.0,School A,All,All,All,All,home_relationship,"
At home there is an adult who... believes that I will be a success"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[23, 18, 33, 21, 23, 10]","[17.96875, 14.0625, 25.78125, 16.40625, 17.96875, 7.8125]",home_best,128.0,School A,All,All,All,All,home_relationship,"
At home there is an adult who... wants me to do my best"
"[1, 2, 3, 4, 5, nan]","['1 - Never', '2', '3', '4', '5 - Always', 'No response']","[20, 25, 28, 22, 21, 12]","[15.625, 19.53125, 21.875, 17.1875, 16.40625, 9.375]",home_listen,128.0,School A,All,All,All,All,home_relationship,"
At home there is an adult who... listens to me when I have something to say"
"[0, 1, nan]","['No', 'Yes', 'No response']","[64, 58, 6]","[50.0, 45.3125, 4.6875]",home_talk,128.0,School A,All,All,All,All,talk,"
Talked about feeling down with... one of your parents/carers"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[9, 15, 19, 13, 2]","[15.517241379310345, 25.862068965517242, 32.758620689655174, 22.413793103448278, 3.4482758620689653]",home_talk_listen,58.0,School A,All,All,All,All,talk,"
Did you feel listened to when you spoke with... one of your parents/carers"
"[1, 2, 3, nan]","['Not helpful', 'Somewhat helpful', 'Very helpful', 'No response']","[25, 14, 16, 3]","[43.103448275862064, 24.137931034482758, 27.586206896551722, 5.172413793103448]",home_talk_helpful,58.0,School A,All,All,All,All,talk,"
Did you receive advice that you found helpful from... one of your
parents/carers"
"[1, 2, 3, 4, nan]","['Very uncomfortable', 'Uncomfortable', 'Comfortable', 'Very comfortable', 'No response']","[14, 16, 11, 17, 6]","[21.875, 25.0, 17.1875, 26.5625, 9.375]",home_talk_if,64.0,School A,All,All,All,All,talk,"
How would you feel about speaking with... one of your parents/carers"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[33, 34, 29, 28, 4]","[25.78125, 26.5625, 22.65625, 21.875, 3.125]",accept_home,128.0,School A,All,All,All,All,accept,"
Your parents/carers"
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, nan]","['0 - Very unhappy', '1', '2', '3', '4', '5 - Not happy or unhappy', '6', '7', '8', '9', '10 - Very happy', 'No response']","[10, 11, 8, 13, 6, 15, 8, 4, 12, 15, 10, 16]","[7.8125, 8.59375, 6.25, 10.15625, 4.6875, 11.71875, 6.25, 3.125, 9.375, 11.71875, 7.8125, 12.5]",home_happy,128.0,School A,All,All,All,All,home_happy,"
How happy are you with the home that you live in?"
"[1, 2, 3, 4, 5, nan]","['Very safe', 'Fairly safe', 'Fairly unsafe', 'Very unsafe', ""Don't know"", 'No response']","[22, 17, 20, 20, 32, 17]","[17.1875, 13.28125, 15.625, 15.625, 25.0, 13.28125]",local_safe,128.0,School A,All,All,All,All,local_env,"
How safe do you feel when in your local area?"
"[1, 2, 3, 4, 5, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'No response']","[19, 22, 20, 26, 26, 15]","[14.84375, 17.1875, 15.625, 20.3125, 20.3125, 11.71875]",local_support,128.0,School A,All,All,All,All,local_env,"
People around here support each other with their wellbeing"
"[1, 2, 3, 4, 5, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'No response']","[27, 20, 21, 29, 31, 0]","[21.09375, 15.625, 16.40625, 22.65625, 24.21875, 0.0]",local_trust,128.0,School A,All,All,All,All,local_env,"
You can trust people around here"
"[1, 2, 3, 4, 5, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'No response']","[24, 21, 23, 27, 25, 8]","[18.75, 16.40625, 17.96875, 21.09375, 19.53125, 6.25]",local_neighbours,128.0,School A,All,All,All,All,local_env,"
I could ask for help or a favour from neighbours"
"[1, 2, 3, 4, 5, nan]","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', 'No response']","[24, 27, 21, 27, 19, 10]","[18.75, 21.09375, 16.40625, 21.09375, 14.84375, 7.8125]",local_places,128.0,School A,All,All,All,All,local_env,"
There are good places to spend your free time (e.g., leisure centres, parks,
shops)"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[20, 23, 24, 26, 33, 2]","[15.625, 17.96875, 18.75, 20.3125, 25.78125, 1.5625]",discrim_race,128.0,School A,All,All,All,All,discrim,"
How often do people make you feel bad because of... your race, skin colour or
where you were born?"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[29, 20, 32, 13, 22, 12]","[22.65625, 15.625, 25.0, 10.15625, 17.1875, 9.375]",discrim_gender,128.0,School A,All,All,All,All,discrim,"
How often do people make you feel bad because of... your gender?"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[21, 26, 16, 22, 28, 15]","[16.40625, 20.3125, 12.5, 17.1875, 21.875, 11.71875]",discrim_orientation,128.0,School A,All,All,All,All,discrim,"
How often do people make you feel bad because of... your sexual
orientation?"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[28, 17, 26, 33, 19, 5]","[21.875, 13.28125, 20.3125, 25.78125, 14.84375, 3.90625]",discrim_disability,128.0,School A,All,All,All,All,discrim,"
How often do people make you feel bad because of... disability?"
"[1, 2, 3, 4, 5, nan]","['Often or always', 'Some of the time', 'Occasionally', 'Hardly ever', 'Never', 'No response']","[24, 21, 21, 28, 31, 3]","[18.75, 16.40625, 16.40625, 21.875, 24.21875, 2.34375]",discrim_faith,128.0,School A,All,All,All,All,discrim,"
How often do people make you feel bad because of... your religion/faith?"
"[1, 2, 3, 4, nan]","['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree', 'No response']","[23, 28, 29, 39, 9]","[17.96875, 21.875, 22.65625, 30.46875, 7.03125]",belong_local,128.0,School A,All,All,All,All,belong_local,"
I feel like I belong in my local area"
"[1, 2, 3, 4, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'No response']","[26, 25, 28, 36, 13]","[20.3125, 19.53125, 21.875, 28.125, 10.15625]",accept_local,128.0,School A,All,All,All,All,accept,"
People in your local area"
"[1, 2, 3, 4, nan]","['Richer', 'Poorer', 'About the same', ""Don't know"", 'No response']","[31, 23, 36, 31, 7]","[24.21875, 17.96875, 28.125, 24.21875, 5.46875]",wealth,128.0,School A,All,All,All,All,wealth,"
Compared to your friends, is your family richer, poorer or about the same?"
"[1, 2, 3, 4, nan]","['Not many', 'Quite a few', 'A lot', 'Unsure', 'No response']","[41, 24, 22, 29, 12]","[32.03125, 18.75, 17.1875, 22.65625, 9.375]",future_options,128.0,School A,All,All,All,All,future,"
How many options are available?"
"[1, 2, 3, 4, 5, nan]","['Not interested', 'A little interested', 'Quite interested', 'Very interested', 'Unsure', 'No response']","[20, 33, 18, 22, 19, 16]","[15.625, 25.78125, 14.0625, 17.1875, 14.84375, 12.5]",future_interest,128.0,School A,All,All,All,All,future,"
How do you feel about the options available?"
"[1, 2, 3, 4, 5, nan]","['Not at all', 'Slightly', 'Mostly', 'Fully', 'Unsure', 'No response']","[18, 31, 27, 21, 23, 8]","[14.0625, 24.21875, 21.09375, 16.40625, 17.96875, 6.25]",future_support,128.0,School A,All,All,All,All,future,"
Do you feel (or think you would feel) supported to explore options that
interest you, even if no-one else around you has done them before?"
"[1, 2, 3, 4, nan]","['Often', 'Sometimes', 'Rarely', 'Never', 'No response']","[30, 31, 36, 28, 3]","[23.4375, 24.21875, 28.125, 21.875, 2.34375]",climate,128.0,School A,All,All,All,All,climate,"
How often do you worry about the impact of climate change on your future?"
