variable,mean,count,school_lab,year_group_lab,gender_lab,fsm_lab,sen_lab,total_pupils,group_n,group_wt_mean,group_wt_std,lower,upper,rag,variable_lab,description
belong_local_score,0.4406779661016949,118.0,School A,All,All,All,All,741.0,7.0,0.4493927125506073,0.03613575270053494,0.4132569598500724,0.48552846525114224,average,Local connection,Young people's feelings of belonging in their local area
wealth_score,0.2608695652173913,92.0,School A,All,All,All,All,568.0,7.0,0.33274647887323944,0.04614101686548794,0.2866054620077515,0.3788874957387274,below,Relative wealth,"Whether young people feel their family is richer, poorer or the same as their friends"
future_score,7.362745098039215,51.0,School A,All,All,All,All,297.0,7.0,7.412457912457913,0.2623444312293828,7.15011348122853,7.674802343687295,average,Future opportunities,"How young people feel regarding the future options for work, education or training in their local area"
climate_score,0.4758064516129032,124.0,School A,All,All,All,All,772.0,7.0,0.5090673575129534,0.049534702194626835,0.45953265531832654,0.5586020597075803,average,Climate change,Worries regarding climate change
social_score,11.688311688311687,77.0,School A,All,All,All,All,515.0,7.0,11.959223300970875,0.16446825822900962,11.794755042741865,12.123691559199884,below,Support from friends,The support young people receive from their peers
bully_score,7.389830508474576,118.0,School A,All,All,All,All,760.0,7.0,7.453947368421052,0.09033229069250945,7.363615077728543,7.5442796591135615,average,Bullying,The frequency with which young people experience different types of bullying
autonomy_score,18.28205128205128,39.0,School A,Year 8,All,All,All,262.0,7.0,18.137404580152673,0.5099678480494618,17.62743673210321,18.647372428202136,average,Autonomy,How 'in control' young people feel of their life
life_satisfaction_score,5.225806451612903,62.0,School A,Year 8,All,All,All,379.0,7.0,5.113456464379947,0.4629451455984447,4.650511318781502,5.576401609978392,average,Life satisfaction,How satisfied young people feel with their life
optimism_score,11.933333333333334,60.0,School A,Year 8,All,All,All,383.0,7.0,12.075718015665796,0.3455905446441799,11.730127471021616,12.421308560309976,average,Optimism,Young people's hopefulness and confidence for the future
wellbeing_score,21.19148936170213,47.0,School A,Year 8,All,All,All,277.0,7.0,20.859205776173287,0.4117259547951691,20.447479821378117,21.270931730968456,average,Psychological wellbeing,How positive and generally happy young people feel regarding their life
esteem_score,12.942857142857145,35.0,School A,Year 8,All,All,All,242.0,7.0,12.991735537190083,0.4072659262227845,12.584469610967298,13.399001463412867,average,Self-esteem,How much young people value themselves
stress_score,8.34,50.0,School A,Year 8,All,All,All,320.0,7.0,8.16875,0.47993280488346535,7.688817195116534,8.648682804883464,average,Stress and coping,Managing stress levels and coping with difficulties
appearance_score,4.733333333333333,60.0,School A,Year 8,All,All,All,388.0,7.0,5.175257731958763,0.48677799548798456,4.688479736470779,5.662035727446748,average,Feelings around appearance,Young people's feelings around the way that they look
negative_score,9.075,40.0,School A,Year 8,All,All,All,233.0,7.0,9.802575107296137,0.5676365099311337,9.234938597365003,10.370211617227271,below,Negative affect,The frequency with which young people experience emotional difficulties
lonely_score,2.75,64.0,School A,Year 8,All,All,All,410.0,7.0,3.0609756097560976,0.27695810736672466,2.784017502389373,3.337933717122822,below,Loneliness,How often young people feel lonely
support_score,5.114754098360656,61.0,School A,Year 8,All,All,All,381.0,7.0,5.123359580052494,0.166403620743815,4.9569559593086785,5.289763200796309,average,Supporting own wellbeing,Young people's knowledge on supporting themselves and looking for advice
sleep_score,0.4126984126984127,63.0,School A,Year 8,All,All,All,388.0,7.0,0.49742268041237114,0.053490044176372806,0.4439326362359983,0.550912724588744,below,Sleep,How much sleep young people get
physical_score,236.25,56.0,School A,Year 8,All,All,All,358.0,7.0,250.81005586592178,20.61566858937903,230.19438727654276,271.42572445530084,average,Physical activity,How physically active young people are
free_like_score,0.40625,64.0,School A,Year 8,All,All,All,403.0,7.0,0.4218362282878412,0.08603188306768673,0.33580434522015445,0.5078681113555279,average,Free time,How often young people can do things that they like in their free time
media_score,4.121212121212121,66.0,School A,Year 8,All,All,All,419.0,7.0,3.8902147971360383,0.22525851968253177,3.6649562774535065,4.11547331681857,above,Social media use,How much time young people spend on social media
places_score,0.3492063492063492,63.0,School A,Year 8,All,All,All,410.0,7.0,0.4853658536585366,0.08736649614729185,0.3979993575112447,0.5727323498058284,below,Places to go and things to do,Whether young people feel there are places to go and things to do in their free time
staff_talk_score,2.55859375,64.0,School A,Year 8,All,All,All,399.0,7.0,2.504385964912281,0.17638723276801682,2.327998732144264,2.6807731976802978,average,,
home_talk_score,2.44672131147541,61.0,School A,Year 8,All,All,All,391.0,7.0,2.528132992327366,0.10805963778424173,2.420073354543124,2.6361926301116076,average,,
peer_talk_score,2.6475409836065573,61.0,School A,Year 8,All,All,All,399.0,7.0,2.5908521303258145,0.13044748634624723,2.4604046439795675,2.7212996166720615,average,,
talk_score,7.578703703703703,54.0,School A,Year 8,All,All,All,355.0,7.0,7.602816901408451,0.2941443868095873,7.308672514598864,7.896961288218038,average,Talking about feelings,How positively/negatively young people feel about talking with others about feeling down
accept_score,9.836065573770492,61.0,School A,Year 8,All,All,All,364.0,7.0,10.054945054945055,0.326045860994055,9.728899193951,10.38099091593911,average,Acceptance,Whether young people feel accepted by different groups of people in their life
school_belong_score,3.016949152542373,59.0,School A,Year 8,All,All,All,368.0,7.0,2.9918478260869565,0.2888829914723424,2.702964834614614,3.280730817559299,average,School connection,Feelings of belonging at school
staff_relationship_score,11.87037037037037,54.0,School A,Year 8,All,All,All,354.0,7.0,11.98870056497175,0.1559508191615751,11.832749745810176,12.144651384133326,average,Support from staff,The support received from adults at school
home_relationship_score,12.16,50.0,School A,Year 8,All,All,All,312.0,7.0,11.913461538461538,0.42115312722677484,11.492308411234763,12.334614665688314,average,Support from parents/carers,The support received from adults at home
home_happy_score,4.775862068965517,58.0,School A,Year 8,All,All,All,375.0,7.0,4.949333333333334,0.253267548959003,4.696065784374331,5.202600882292336,average,Home environment,Young people's feelings regarding the home that they live in
local_env_score,15.247311827956988,31.0,School A,Year 8,All,All,All,207.0,7.0,15.048309178743962,0.4789598019681227,14.56934937677584,15.527268980712083,average,Local environment,How young people feel regarding the area where they live
discrim_score,0.9848484848484848,66.0,School A,Year 8,All,All,All,419.0,7.0,0.9832935560859188,0.008009019121518813,0.9752845369644,0.9913025752074377,average,Discrimination,Whether young people feel discriminated against
belong_local_score,0.4285714285714285,63.0,School A,Year 8,All,All,All,396.0,7.0,0.45202020202020204,0.06565662736667278,0.3863635746535293,0.5176768293868749,average,Local connection,Young people's feelings of belonging in their local area
wealth_score,0.2448979591836734,49.0,School A,Year 8,All,All,All,297.0,7.0,0.3265993265993266,0.0765841363313431,0.2500151902679835,0.4031834629306697,below,Relative wealth,"Whether young people feel their family is richer, poorer or the same as their friends"
future_score,7.25,26.0,School A,Year 8,All,All,All,148.0,7.0,7.472972972972973,0.3065152329355594,7.166457740037414,7.779488205908532,average,Future opportunities,"How young people feel regarding the future options for work, education or training in their local area"
climate_score,0.4307692307692308,65.0,School A,Year 8,All,All,All,406.0,7.0,0.49014778325123154,0.08753413465767568,0.40261364859355586,0.5776819179089072,average,Climate change,Worries regarding climate change
social_score,11.692307692307692,39.0,School A,Year 8,All,All,All,261.0,7.0,12.03448275862069,0.32482100639730044,11.70966175222339,12.35930376501799,below,Support from friends,The support young people receive from their peers
bully_score,7.60655737704918,61.0,School A,Year 8,All,All,All,397.0,7.0,7.415617128463476,0.14786892320707382,7.267748205256402,7.563486051670551,above,Bullying,The frequency with which young people experience different types of bullying
autonomy_score,16.24,25.0,School A,Year 10,All,All,All,188.0,6.0,18.00531914893617,0.8516298480203394,17.15368930091583,18.85694899695651,below,Autonomy,How 'in control' young people feel of their life
life_satisfaction_score,5.346153846153846,52.0,School A,Year 10,All,All,All,282.0,6.0,5.24468085106383,0.29528928386564146,4.949391567198188,5.539970134929471,average,Life satisfaction,How satisfied young people feel with their life
optimism_score,12.185185185185183,54.0,School A,Year 10,All,All,All,277.0,6.0,12.101083032490974,0.4191606845071955,11.681922347983779,12.52024371699817,average,Optimism,Young people's hopefulness and confidence for the future
wellbeing_score,20.94871794871795,39.0,School A,Year 10,All,All,All,222.0,6.0,20.963963963963963,0.7437033373551377,20.220260626608823,21.707667301319102,average,Psychological wellbeing,How positive and generally happy young people feel regarding their life
esteem_score,12.5625,32.0,School A,Year 10,All,All,All,190.0,6.0,12.58421052631579,0.23870381474484859,12.345506711570941,12.822914341060638,average,Self-esteem,How much young people value themselves
stress_score,7.953488372093023,43.0,School A,Year 10,All,All,All,236.0,6.0,8.063559322033898,0.41508180910411596,7.648477512929782,8.478641131138014,average,Stress and coping,Managing stress levels and coping with difficulties
appearance_score,5.46,50.0,School A,Year 10,All,All,All,281.0,6.0,4.772241992882562,0.5593250537171028,4.212916939165459,5.331567046599665,above,Feelings around appearance,Young people's feelings around the way that they look
negative_score,10.392857142857142,28.0,School A,Year 10,All,All,All,175.0,6.0,10.12,0.3410523179928692,9.77894768200713,10.461052317992868,average,Negative affect,The frequency with which young people experience emotional difficulties
lonely_score,2.7222222222222223,54.0,School A,Year 10,All,All,All,308.0,6.0,2.844155844155844,0.13718338675923067,2.7069724573966134,2.981339230915075,average,Loneliness,How often young people feel lonely
support_score,5.0,52.0,School A,Year 10,All,All,All,291.0,6.0,5.130584192439863,0.18860774806494937,4.941976444374913,5.319191940504813,average,Supporting own wellbeing,Young people's knowledge on supporting themselves and looking for advice
sleep_score,0.4615384615384615,52.0,School A,Year 10,All,All,All,295.0,6.0,0.4745762711864407,0.035655011569540825,0.4389212596168999,0.5102312827559815,average,Sleep,How much sleep young people get
physical_score,235.8139534883721,43.0,School A,Year 10,All,All,All,261.0,6.0,249.77011494252875,34.32872330335443,215.44139163917433,284.0988382458832,average,Physical activity,How physically active young people are
free_like_score,0.28,50.0,School A,Year 10,All,All,All,294.0,6.0,0.36054421768707484,0.04808489600549977,0.3124593216815751,0.4086291136925746,below,Free time,How often young people can do things that they like in their free time
media_score,4.0,53.0,School A,Year 10,All,All,All,304.0,6.0,3.838815789473684,0.26645400831060934,3.5723617811630746,4.105269797784294,average,Social media use,How much time young people spend on social media
places_score,0.5283018867924528,53.0,School A,Year 10,All,All,All,303.0,6.0,0.5148514851485149,0.05426101398378299,0.4605904711647319,0.5691124991322979,average,Places to go and things to do,Whether young people feel there are places to go and things to do in their free time
staff_talk_score,2.3726415094339623,53.0,School A,Year 10,All,All,All,296.0,6.0,2.483108108108108,0.21751733005918797,2.26559077804892,2.700625438167296,average,,
home_talk_score,2.377551020408163,49.0,School A,Year 10,All,All,All,283.0,6.0,2.4761484098939928,0.0777457514720457,2.398402658421947,2.5538941613660384,below,,
peer_talk_score,2.534313725490196,51.0,School A,Year 10,All,All,All,289.0,6.0,2.487024221453287,0.06693982823455613,2.420084393218731,2.5539640496878433,average,,
talk_score,7.308510638297872,47.0,School A,Year 10,All,All,All,255.0,6.0,7.438235294117647,0.22216029718877126,7.216074996928876,7.660395591306418,average,Talking about feelings,How positively/negatively young people feel about talking with others about feeling down
accept_score,9.91304347826087,46.0,School A,Year 10,All,All,All,263.0,6.0,10.038022813688213,0.2551256229983401,9.782897190689873,10.293148436686554,average,Acceptance,Whether young people feel accepted by different groups of people in their life
school_belong_score,2.9375,48.0,School A,Year 10,All,All,All,276.0,6.0,2.9239130434782608,0.11589831685395562,2.808014726624305,3.0398113603322163,average,School connection,Feelings of belonging at school
staff_relationship_score,12.577777777777778,45.0,School A,Year 10,All,All,All,262.0,6.0,12.076335877862595,0.3910364358750881,11.685299441987507,12.467372313737684,above,Support from staff,The support received from adults at school
home_relationship_score,12.275,40.0,School A,Year 10,All,All,All,229.0,6.0,12.091703056768559,0.25118772532990763,11.84051533143865,12.342890782098467,average,Support from parents/carers,The support received from adults at home
home_happy_score,4.8478260869565215,46.0,School A,Year 10,All,All,All,273.0,6.0,5.062271062271062,0.22318548894979687,4.839085573321265,5.285456551220859,average,Home environment,Young people's feelings regarding the home that they live in
local_env_score,14.563218390804598,29.0,School A,Year 10,All,All,All,157.0,6.0,15.301486199575372,0.7482110474902934,14.553275152085078,16.049697247065666,average,Local environment,How young people feel regarding the area where they live
discrim_score,0.9629629629629628,54.0,School A,Year 10,All,All,All,309.0,6.0,0.9773462783171522,0.02891915285444455,0.9484271254627076,1.0062654311715966,average,Discrimination,Whether young people feel discriminated against
belong_local_score,0.4583333333333333,48.0,School A,Year 10,All,All,All,280.0,6.0,0.4607142857142857,0.05000885080084877,0.4107054349134369,0.5107231365151345,average,Local connection,Young people's feelings of belonging in their local area
wealth_score,0.282051282051282,39.0,School A,Year 10,All,All,All,219.0,6.0,0.3287671232876712,0.0778405032501112,0.25092662003756,0.40660762653778243,average,Relative wealth,"Whether young people feel their family is richer, poorer or the same as their friends"
future_score,7.5625,24.0,School A,Year 10,All,All,All,120.0,6.0,7.5125,0.4303814214992722,7.082118578500728,7.942881421499273,average,Future opportunities,"How young people feel regarding the future options for work, education or training in their local area"
climate_score,0.5192307692307693,52.0,School A,Year 10,All,All,All,300.0,6.0,0.52,0.054162843739015414,0.4658371562609846,0.5741628437390154,average,Climate change,Worries regarding climate change
social_score,11.90625,32.0,School A,Year 10,All,All,All,204.0,6.0,12.034313725490197,0.3642389908074976,11.6700747346827,12.398552716297694,average,Support from friends,The support young people receive from their peers
bully_score,7.22,50.0,School A,Year 10,All,All,All,294.0,6.0,7.595238095238095,0.23940977038699812,7.355828324851097,7.834647865625093,below,Bullying,The frequency with which young people experience different types of bullying
autonomy_score,16.6,10.0,School A,All,Girl,All,All,58.0,5.0,17.482758620689655,0.6052414021712103,16.877517218518445,18.088000022860864,below,Autonomy,How 'in control' young people feel of their life
life_satisfaction_score,5.642857142857143,14.0,School A,All,Girl,All,All,94.0,7.0,5.797872340425532,0.40883642453308233,5.38903591589245,6.206708764958615,average,Life satisfaction,How satisfied young people feel with their life
optimism_score,11.857142857142858,14.0,School A,All,Girl,All,All,95.0,7.0,11.705263157894738,0.364991122778951,11.340272035115786,12.070254280673689,average,Optimism,Young people's hopefulness and confidence for the future
wellbeing_score,21.63636363636364,11.0,School A,All,Girl,All,All,49.0,4.0,20.816326530612244,0.816363635520365,19.99996289509188,21.63269016613261,above,Psychological wellbeing,How positive and generally happy young people feel regarding their life
esteem_score,,,School A,All,Girl,All,All,23.0,2.0,12.73913043478261,0.6673267538205668,12.071803680962043,13.406457188603175,nan,Self-esteem,How much young people value themselves
stress_score,6.833333333333333,12.0,School A,All,Girl,All,All,51.0,4.0,7.607843137254902,0.9497971211362581,6.658046016118643,8.55764025839116,average,Stress and coping,Managing stress levels and coping with difficulties
appearance_score,3.1538461538461537,13.0,School A,All,Girl,All,All,95.0,7.0,4.810526315789474,1.4714496981059801,3.339076617683494,6.281976013895454,below,Feelings around appearance,Young people's feelings around the way that they look
negative_score,10.333333333333334,12.0,School A,All,Girl,All,All,22.0,2.0,9.772727272727273,0.6141131705360958,9.158614102191178,10.386840443263369,average,Negative affect,The frequency with which young people experience emotional difficulties
lonely_score,2.6,15.0,School A,All,Girl,All,All,103.0,7.0,2.9029126213592233,0.31680004810360335,2.58611257325562,3.219712669462827,average,Loneliness,How often young people feel lonely
support_score,5.333333333333333,15.0,School A,All,Girl,All,All,101.0,7.0,5.118811881188119,0.48451338158707585,4.6342984996010435,5.603325262775194,average,Supporting own wellbeing,Young people's knowledge on supporting themselves and looking for advice
sleep_score,0.5333333333333333,15.0,School A,All,Girl,All,All,102.0,7.0,0.4411764705882353,0.09624107610304841,0.34493539448518684,0.5374175466912837,average,Sleep,How much sleep young people get
physical_score,242.30769230769232,13.0,School A,All,Girl,All,All,88.0,7.0,243.4090909090909,53.044077049006404,190.3650138600845,296.4531679580973,average,Physical activity,How physically active young people are
free_like_score,0.4666666666666667,15.0,School A,All,Girl,All,All,101.0,7.0,0.44554455445544555,0.11725558422159807,0.3282889702338475,0.5628001386770436,average,Free time,How often young people can do things that they like in their free time
media_score,4.8,15.0,School A,All,Girl,All,All,105.0,7.0,4.295238095238095,0.48393826321092237,3.8112998320271725,4.779176358449018,above,Social media use,How much time young people spend on social media
places_score,0.1428571428571428,14.0,School A,All,Girl,All,All,104.0,7.0,0.5192307692307693,0.1616640399007352,0.3575667293300341,0.6808948091315045,below,Places to go and things to do,Whether young people feel there are places to go and things to do in their free time
staff_talk_score,2.55,15.0,School A,All,Girl,All,All,100.0,7.0,2.445,0.3479107670770651,2.0970892329229347,2.792910767077065,average,,
home_talk_score,2.6153846153846154,13.0,School A,All,Girl,All,All,99.0,7.0,2.4722222222222223,0.2363917112167601,2.2358305110054624,2.7086139334389823,average,,
peer_talk_score,2.821428571428572,14.0,School A,All,Girl,All,All,101.0,7.0,2.522277227722772,0.3955431627241483,2.1267340649986237,2.9178203904469204,average,,
talk_score,7.916666666666667,12.0,School A,All,Girl,All,All,82.0,6.0,7.365853658536586,0.3670435196604793,6.998810138876106,7.7328971781970655,above,Talking about feelings,How positively/negatively young people feel about talking with others about feeling down
accept_score,10.857142857142858,14.0,School A,All,Girl,All,All,93.0,7.0,10.483870967741936,0.4505742585128844,10.033296709229052,10.93444522625482,average,Acceptance,Whether young people feel accepted by different groups of people in their life
school_belong_score,3.071428571428572,14.0,School A,All,Girl,All,All,94.0,7.0,2.925531914893617,0.41812548011549105,2.507406434778126,3.3436573950091084,average,School connection,Feelings of belonging at school
staff_relationship_score,12.333333333333334,12.0,School A,All,Girl,All,All,90.0,7.0,11.844444444444445,0.7300582713412043,11.114386173103242,12.574502715785648,average,Support from staff,The support received from adults at school
home_relationship_score,11.666666666666666,12.0,School A,All,Girl,All,All,54.0,5.0,12.166666666666666,0.30781989282655725,11.858846773840108,12.474486559493224,below,Support from parents/carers,The support received from adults at home
home_happy_score,6.4,15.0,School A,All,Girl,All,All,90.0,7.0,5.311111111111111,0.7810644841465151,4.530046626964596,6.0921755952576255,above,Home environment,Young people's feelings regarding the home that they live in
local_env_score,16.466666666666665,10.0,School A,All,Girl,All,All,52.0,5.0,15.42948717948718,0.9790942016684816,14.4503929778187,16.408581381155663,above,Local environment,How young people feel regarding the area where they live
discrim_score,0.9333333333333332,15.0,School A,All,Girl,All,All,105.0,7.0,0.9809523809523809,0.027355060221609696,0.9535973207307712,1.0083074411739905,below,Discrimination,Whether young people feel discriminated against
belong_local_score,0.6153846153846154,13.0,School A,All,Girl,All,All,99.0,7.0,0.494949494949495,0.07262210981231415,0.4223273851371808,0.5675716047618091,above,Local connection,Young people's feelings of belonging in their local area
wealth_score,0.4,10.0,School A,All,Girl,All,All,36.0,3.0,0.4166666666666667,0.06139903313441729,0.3552676335322494,0.478065699801084,average,Relative wealth,"Whether young people feel their family is richer, poorer or the same as their friends"
future_score,,,School A,All,Girl,All,All,10.0,1.0,6.75,0.0,6.75,6.75,nan,Future opportunities,"How young people feel regarding the future options for work, education or training in their local area"
climate_score,0.4666666666666667,15.0,School A,All,Girl,All,All,99.0,7.0,0.47474747474747475,0.09899505243233629,0.37575242231513845,0.573742527179811,average,Climate change,Worries regarding climate change
social_score,11.363636363636363,11.0,School A,All,Girl,All,All,56.0,5.0,11.785714285714286,0.7994117556870077,10.98630253002728,12.585126041401294,average,Support from friends,The support young people receive from their peers
bully_score,7.076923076923077,13.0,School A,All,Girl,All,All,101.0,7.0,7.435643564356436,0.4935926456231305,6.9420509187333055,7.929236209979567,average,Bullying,The frequency with which young people experience different types of bullying
autonomy_score,18.6,15.0,School A,All,Boy,All,All,86.0,7.0,18.232558139534884,0.7988301056356281,17.433728033899257,19.03138824517051,average,Autonomy,How 'in control' young people feel of their life
life_satisfaction_score,4.391304347826087,23.0,School A,All,Boy,All,All,126.0,7.0,4.912698412698413,0.3688699959785857,4.543828416719827,5.281568408676999,below,Life satisfaction,How satisfied young people feel with their life
optimism_score,11.375,24.0,School A,All,Boy,All,All,123.0,7.0,12.113821138211382,0.6125312870999012,11.50128985111148,12.726352425311283,below,Optimism,Young people's hopefulness and confidence for the future
wellbeing_score,21.0,19.0,School A,All,Boy,All,All,69.0,5.0,21.057971014492754,0.36587821508174717,20.692092799411007,21.4238492295745,average,Psychological wellbeing,How positive and generally happy young people feel regarding their life
esteem_score,13.61111111111111,18.0,School A,All,Boy,All,All,76.0,6.0,12.618421052631579,0.6912378513793735,11.927183201252205,13.309658904010952,above,Self-esteem,How much young people value themselves
stress_score,8.722222222222221,18.0,School A,All,Boy,All,All,106.0,7.0,8.358490566037736,0.4978692389630312,7.860621327074704,8.856359805000766,average,Stress and coping,Managing stress levels and coping with difficulties
appearance_score,5.6,20.0,School A,All,Boy,All,All,124.0,7.0,4.548387096774194,0.8295929634927736,3.7187941332814205,5.377980060266967,above,Feelings around appearance,Young people's feelings around the way that they look
negative_score,9.75,12.0,School A,All,Boy,All,All,75.0,6.0,9.6,0.6620075288499128,8.937992471150087,10.262007528849912,average,Negative affect,The frequency with which young people experience emotional difficulties
lonely_score,2.4545454545454546,22.0,School A,All,Boy,All,All,133.0,7.0,2.8496240601503757,0.29819512798755904,2.5514289321628167,3.1478191881379347,below,Loneliness,How often young people feel lonely
support_score,5.652173913043479,23.0,School A,All,Boy,All,All,125.0,7.0,5.16,0.3954637638513369,4.764536236148663,5.555463763851337,above,Supporting own wellbeing,Young people's knowledge on supporting themselves and looking for advice
sleep_score,0.3636363636363636,22.0,School A,All,Boy,All,All,129.0,7.0,0.4728682170542636,0.09324093753613986,0.3796272795181237,0.5661091545904035,below,Sleep,How much sleep young people get
physical_score,203.1818181818182,22.0,School A,All,Boy,All,All,121.0,7.0,226.36363636363637,64.27044238327326,162.0931939803631,290.6340787469096,average,Physical activity,How physically active young people are
free_like_score,0.4761904761904761,21.0,School A,All,Boy,All,All,130.0,7.0,0.37692307692307686,0.06956910947904353,0.3073539674440333,0.4464921864021204,above,Free time,How often young people can do things that they like in their free time
media_score,4.333333333333333,24.0,School A,All,Boy,All,All,134.0,7.0,3.6940298507462686,0.5560196610474591,3.1380101896988095,4.250049511793728,above,Social media use,How much time young people spend on social media
places_score,0.375,24.0,School A,All,Boy,All,All,132.0,7.0,0.4772727272727273,0.11709446761543044,0.3601782596572969,0.5943671948881577,average,Places to go and things to do,Whether young people feel there are places to go and things to do in their free time
staff_talk_score,2.427083333333333,24.0,School A,All,Boy,All,All,131.0,7.0,2.5477099236641223,0.20557391164714714,2.342136012016975,2.7532838353112696,average,,
home_talk_score,2.4782608695652173,23.0,School A,All,Boy,All,All,126.0,7.0,2.617063492063492,0.12101411252394106,2.496049379539551,2.738077604587433,below,,
peer_talk_score,2.7282608695652173,23.0,School A,All,Boy,All,All,128.0,7.0,2.599609375,0.22601357577059678,2.3735957992294034,2.8256229507705966,average,,
talk_score,7.613636363636363,22.0,School A,All,Boy,All,All,113.0,7.0,7.780973451327434,0.4126516779385687,7.368321773388865,8.193625129266003,average,Talking about feelings,How positively/negatively young people feel about talking with others about feeling down
accept_score,10.15,20.0,School A,All,Boy,All,All,119.0,7.0,10.07563025210084,0.6011618345455068,9.474468417555332,10.676792086646348,average,Acceptance,Whether young people feel accepted by different groups of people in their life
