variable,mean,count,school_lab,year_group_lab,gender_lab,fsm_lab,sen_lab
home_happy_score,4.840909090909091,44.0,School A,Year 10,All,All,All
local_env_score,16.076923076923077,26.0,School A,Year 10,All,All,All
discrim_score,0.9375,48.0,School A,Year 10,All,All,All
belong_local_score,0.4358974358974359,39.0,School A,Year 10,All,All,All
wealth_score,0.3333333333333333,36.0,School A,Year 10,All,All,All
future_score,7.194444444444445,18.0,School A,Year 10,All,All,All
climate_score,0.5777777777777777,45.0,School A,Year 10,All,All,All
social_score,11.535714285714286,28.0,School A,Year 10,All,All,All
bully_score,7.228571428571429,35.0,School A,Year 10,All,All,All
birth_you_age_score,8.875,16.0,School A,All,Girl,All,All
autonomy_score,18.0,10.0,School A,All,Girl,All,All
life_satisfaction_score,5.5,16.0,School A,All,Girl,All,All
optimism_score,11.6,10.0,School A,All,Girl,All,All
wellbeing_score,21.166666666666668,12.0,School A,All,Girl,All,All
esteem_score,12.538461538461538,13.0,School A,All,Girl,All,All
stress_score,6.615384615384615,13.0,School A,All,Girl,All,All
appearance_score,3.3846153846153846,13.0,School A,All,Girl,All,All
negative_score,,,School A,All,Girl,All,All
lonely_score,3.0,15.0,School A,All,Girl,All,All
support_score,5.333333333333333,15.0,School A,All,Girl,All,All
sleep_score,0.4,15.0,School A,All,Girl,All,All
physical_score,279.2307692307692,13.0,School A,All,Girl,All,All
free_like_score,0.5333333333333333,15.0,School A,All,Girl,All,All
media_score,4.75,16.0,School A,All,Girl,All,All
places_score,0.26666666666666666,15.0,School A,All,Girl,All,All
staff_talk_score,2.625,14.0,School A,All,Girl,All,All
home_talk_score,2.7857142857142856,14.0,School A,All,Girl,All,All
peer_talk_score,2.953125,16.0,School A,All,Girl,All,All
talk_score,8.392857142857142,14.0,School A,All,Girl,All,All
accept_score,10.5,10.0,School A,All,Girl,All,All
school_belong_score,3.2666666666666666,15.0,School A,All,Girl,All,All
staff_relationship_score,13.153846153846153,13.0,School A,All,Girl,All,All
home_relationship_score,11.4,10.0,School A,All,Girl,All,All
home_happy_score,5.533333333333333,15.0,School A,All,Girl,All,All
local_env_score,,,School A,All,Girl,All,All
discrim_score,0.875,16.0,School A,All,Girl,All,All
belong_local_score,0.5333333333333333,15.0,School A,All,Girl,All,All
wealth_score,,,School A,All,Girl,All,All
future_score,,,School A,All,Girl,All,All
climate_score,0.3333333333333333,12.0,School A,All,Girl,All,All
social_score,12.8,10.0,School A,All,Girl,All,All
bully_score,7.5,14.0,School A,All,Girl,All,All
birth_you_age_score,7.166666666666667,18.0,School A,All,Boy,All,All
autonomy_score,,,School A,All,Boy,All,All
life_satisfaction_score,4.842105263157895,19.0,School A,All,Boy,All,All
optimism_score,12.727272727272727,11.0,School A,All,Boy,All,All
wellbeing_score,20.384615384615383,13.0,School A,All,Boy,All,All
esteem_score,13.647058823529411,17.0,School A,All,Boy,All,All
stress_score,8.647058823529411,17.0,School A,All,Boy,All,All
appearance_score,6.066666666666666,15.0,School A,All,Boy,All,All
negative_score,,,School A,All,Boy,All,All
lonely_score,2.888888888888889,18.0,School A,All,Boy,All,All
support_score,5.642857142857143,14.0,School A,All,Boy,All,All
sleep_score,0.25,16.0,School A,All,Boy,All,All
physical_score,221.25,16.0,School A,All,Boy,All,All
free_like_score,0.3684210526315789,19.0,School A,All,Boy,All,All
media_score,4.722222222222222,18.0,School A,All,Boy,All,All
places_score,0.25,16.0,School A,All,Boy,All,All
staff_talk_score,2.3823529411764706,17.0,School A,All,Boy,All,All
home_talk_score,2.486111111111111,18.0,School A,All,Boy,All,All
peer_talk_score,2.875,16.0,School A,All,Boy,All,All
talk_score,7.607142857142857,14.0,School A,All,Boy,All,All
accept_score,10.0,16.0,School A,All,Boy,All,All
school_belong_score,2.6470588235294117,17.0,School A,All,Boy,All,All
staff_relationship_score,12.222222222222221,18.0,School A,All,Boy,All,All
home_relationship_score,11.9,10.0,School A,All,Boy,All,All
home_happy_score,4.421052631578948,19.0,School A,All,Boy,All,All
local_env_score,14.818181818181815,11.0,School A,All,Boy,All,All
discrim_score,1.0,19.0,School A,All,Boy,All,All
belong_local_score,0.35294117647058826,17.0,School A,All,Boy,All,All
wealth_score,0.2,15.0,School A,All,Boy,All,All
future_score,,,School A,All,Boy,All,All
climate_score,0.3684210526315789,19.0,School A,All,Boy,All,All
social_score,10.916666666666666,12.0,School A,All,Boy,All,All
bully_score,7.428571428571429,14.0,School A,All,Boy,All,All
birth_you_age_score,7.968085106382978,47.0,School A,All,All,FSM,All
autonomy_score,17.59375,32.0,School A,All,All,FSM,All
life_satisfaction_score,4.7254901960784315,51.0,School A,All,All,FSM,All
optimism_score,11.564102564102564,39.0,School A,All,All,FSM,All
wellbeing_score,21.0,35.0,School A,All,All,FSM,All
esteem_score,12.355555555555556,45.0,School A,All,All,FSM,All
stress_score,8.826086956521738,46.0,School A,All,All,FSM,All
appearance_score,5.085106382978723,47.0,School A,All,All,FSM,All
negative_score,10.958333333333334,24.0,School A,All,All,FSM,All
lonely_score,2.764705882352941,51.0,School A,All,All,FSM,All
support_score,5.25531914893617,47.0,School A,All,All,FSM,All
sleep_score,0.43478260869565216,46.0,School A,All,All,FSM,All
physical_score,274.6666666666667,45.0,School A,All,All,FSM,All
free_like_score,0.43137254901960786,51.0,School A,All,All,FSM,All
media_score,3.8333333333333335,48.0,School A,All,All,FSM,All
places_score,0.35294117647058826,51.0,School A,All,All,FSM,All
staff_talk_score,2.4555555555555557,45.0,School A,All,All,FSM,All
home_talk_score,2.473404255319149,47.0,School A,All,All,FSM,All
peer_talk_score,2.565,50.0,School A,All,All,FSM,All
talk_score,7.634146341463414,41.0,School A,All,All,FSM,All
accept_score,9.390243902439025,41.0,School A,All,All,FSM,All
school_belong_score,2.94,50.0,School A,All,All,FSM,All
staff_relationship_score,12.022222222222222,45.0,School A,All,All,FSM,All
home_relationship_score,11.90625,32.0,School A,All,All,FSM,All
home_happy_score,4.958333333333333,48.0,School A,All,All,FSM,All
local_env_score,15.38095238095238,28.0,School A,All,All,FSM,All
discrim_score,0.9423076923076923,52.0,School A,All,All,FSM,All
belong_local_score,0.4666666666666667,45.0,School A,All,All,FSM,All
wealth_score,0.21951219512195122,41.0,School A,All,All,FSM,All
future_score,7.636363636363637,22.0,School A,All,All,FSM,All
climate_score,0.4897959183673469,49.0,School A,All,All,FSM,All
social_score,11.914285714285715,35.0,School A,All,All,FSM,All
bully_score,7.488888888888889,45.0,School A,All,All,FSM,All
birth_you_age_score,7.454545454545454,44.0,School A,All,All,Non-FSM,All
autonomy_score,18.178571428571427,28.0,School A,All,All,Non-FSM,All
life_satisfaction_score,5.543478260869565,46.0,School A,All,All,Non-FSM,All
optimism_score,13.1,30.0,School A,All,All,Non-FSM,All
wellbeing_score,21.129032258064516,31.0,School A,All,All,Non-FSM,All
esteem_score,12.710526315789474,38.0,School A,All,All,Non-FSM,All
stress_score,7.594594594594595,37.0,School A,All,All,Non-FSM,All
appearance_score,4.9743589743589745,39.0,School A,All,All,Non-FSM,All
negative_score,9.909090909090908,22.0,School A,All,All,Non-FSM,All
lonely_score,2.883720930232558,43.0,School A,All,All,Non-FSM,All
support_score,5.166666666666667,42.0,School A,All,All,Non-FSM,All
sleep_score,0.4186046511627907,43.0,School A,All,All,Non-FSM,All
physical_score,228.64864864864865,37.0,School A,All,All,Non-FSM,All
free_like_score,0.3488372093023256,43.0,School A,All,All,Non-FSM,All
media_score,4.545454545454546,44.0,School A,All,All,Non-FSM,All
places_score,0.4634146341463415,41.0,School A,All,All,Non-FSM,All
staff_talk_score,2.33974358974359,39.0,School A,All,All,Non-FSM,All
home_talk_score,2.41875,40.0,School A,All,All,Non-FSM,All
peer_talk_score,2.645348837209302,43.0,School A,All,All,Non-FSM,All
talk_score,7.401515151515151,33.0,School A,All,All,Non-FSM,All
accept_score,10.342857142857143,35.0,School A,All,All,Non-FSM,All
school_belong_score,3.3636363636363638,44.0,School A,All,All,Non-FSM,All
staff_relationship_score,12.324324324324325,37.0,School A,All,All,Non-FSM,All
home_relationship_score,11.310344827586206,29.0,School A,All,All,Non-FSM,All
home_happy_score,4.666666666666667,42.0,School A,All,All,Non-FSM,All
local_env_score,15.347222222222221,24.0,School A,All,All,Non-FSM,All
discrim_score,1.0,46.0,School A,All,All,Non-FSM,All
belong_local_score,0.4,40.0,School A,All,All,Non-FSM,All
wealth_score,0.3125,32.0,School A,All,All,Non-FSM,All
future_score,7.157894736842105,19.0,School A,All,All,Non-FSM,All
climate_score,0.575,40.0,School A,All,All,Non-FSM,All
social_score,11.464285714285714,28.0,School A,All,All,Non-FSM,All
bully_score,7.257142857142857,35.0,School A,All,All,Non-FSM,All
birth_you_age_score,8.22340425531915,47.0,School A,All,All,All,SEN
autonomy_score,17.257142857142856,35.0,School A,All,All,All,SEN
life_satisfaction_score,5.06,50.0,School A,All,All,All,SEN
optimism_score,12.529411764705882,34.0,School A,All,All,All,SEN
wellbeing_score,21.058823529411764,34.0,School A,All,All,All,SEN
esteem_score,12.386363636363637,44.0,School A,All,All,All,SEN
stress_score,8.195121951219512,41.0,School A,All,All,All,SEN
appearance_score,4.955555555555556,45.0,School A,All,All,All,SEN
negative_score,10.607142857142858,28.0,School A,All,All,All,SEN
lonely_score,2.7708333333333335,48.0,School A,All,All,All,SEN
support_score,4.956521739130435,46.0,School A,All,All,All,SEN
sleep_score,0.5555555555555556,45.0,School A,All,All,All,SEN
physical_score,242.7906976744186,43.0,School A,All,All,All,SEN
free_like_score,0.3469387755102041,49.0,School A,All,All,All,SEN
media_score,3.8297872340425534,47.0,School A,All,All,All,SEN
places_score,0.3617021276595745,47.0,School A,All,All,All,SEN
staff_talk_score,2.5654761904761907,42.0,School A,All,All,All,SEN
home_talk_score,2.5217391304347827,46.0,School A,All,All,All,SEN
peer_talk_score,2.859375,48.0,School A,All,All,All,SEN
talk_score,8.006756756756756,37.0,School A,All,All,All,SEN
accept_score,10.076923076923077,39.0,School A,All,All,All,SEN
school_belong_score,3.125,48.0,School A,All,All,All,SEN
staff_relationship_score,12.090909090909092,44.0,School A,All,All,All,SEN
home_relationship_score,10.75,28.0,School A,All,All,All,SEN
home_happy_score,4.895833333333333,48.0,School A,All,All,All,SEN
local_env_score,15.218390804597702,29.0,School A,All,All,All,SEN
discrim_score,0.9803921568627451,51.0,School A,All,All,All,SEN
belong_local_score,0.4222222222222222,45.0,School A,All,All,All,SEN
wealth_score,0.2558139534883721,43.0,School A,All,All,All,SEN
future_score,7.526315789473684,19.0,School A,All,All,All,SEN
climate_score,0.425531914893617,47.0,School A,All,All,All,SEN
social_score,11.727272727272727,33.0,School A,All,All,All,SEN
bully_score,7.357142857142857,42.0,School A,All,All,All,SEN
birth_you_age_score,8.267441860465116,43.0,School A,All,All,All,Non-SEN
autonomy_score,19.130434782608695,23.0,School A,All,All,All,Non-SEN
life_satisfaction_score,5.0,46.0,School A,All,All,All,Non-SEN
optimism_score,11.676470588235293,34.0,School A,All,All,All,Non-SEN
wellbeing_score,20.966666666666665,30.0,School A,All,All,All,Non-SEN
esteem_score,12.552631578947368,38.0,School A,All,All,All,Non-SEN
stress_score,8.073170731707316,41.0,School A,All,All,All,Non-SEN
appearance_score,4.875,40.0,School A,All,All,All,Non-SEN
negative_score,10.705882352941176,17.0,School A,All,All,All,Non-SEN
lonely_score,2.8444444444444446,45.0,School A,All,All,All,Non-SEN
support_score,5.609756097560975,41.0,School A,All,All,All,Non-SEN
sleep_score,0.38095238095238093,42.0,School A,All,All,All,Non-SEN
physical_score,283.0769230769231,39.0,School A,All,All,All,Non-SEN
free_like_score,0.4,45.0,School A,All,All,All,Non-SEN
media_score,4.619047619047619,42.0,School A,All,All,All,Non-SEN
places_score,0.4090909090909091,44.0,School A,All,All,All,Non-SEN
staff_talk_score,2.2051282051282053,39.0,School A,All,All,All,Non-SEN
home_talk_score,2.4702380952380953,42.0,School A,All,All,All,Non-SEN
peer_talk_score,2.278409090909091,44.0,School A,All,All,All,Non-SEN
talk_score,7.05,35.0,School A,All,All,All,Non-SEN
accept_score,9.114285714285714,35.0,School A,All,All,All,Non-SEN
school_belong_score,3.0217391304347827,46.0,School A,All,All,All,Non-SEN
staff_relationship_score,12.242424242424242,33.0,School A,All,All,All,Non-SEN
home_relationship_score,12.3125,32.0,School A,All,All,All,Non-SEN
home_happy_score,4.560975609756097,41.0,School A,All,All,All,Non-SEN
local_env_score,15.571428571428575,21.0,School A,All,All,All,Non-SEN
discrim_score,0.9130434782608695,46.0,School A,All,All,All,Non-SEN
belong_local_score,0.4634146341463415,41.0,School A,All,All,All,Non-SEN
wealth_score,0.35714285714285715,28.0,School A,All,All,All,Non-SEN
future_score,7.159090909090909,22.0,School A,All,All,All,Non-SEN
climate_score,0.6190476190476191,42.0,School A,All,All,All,Non-SEN
social_score,12.1,30.0,School A,All,All,All,Non-SEN
bully_score,7.388888888888889,36.0,School A,All,All,All,Non-SEN
birth_you_age_score,7.602564102564102,117.0,School B,All,All,All,All
autonomy_score,18.080459770114942,87.0,School B,All,All,All,All
life_satisfaction_score,5.672,125.0,School B,All,All,All,All
optimism_score,11.952380952380953,84.0,School B,All,All,All,All
wellbeing_score,20.797101449275363,69.0,School B,All,All,All,All
esteem_score,13.01923076923077,104.0,School B,All,All,All,All
stress_score,8.396396396396396,111.0,School B,All,All,All,All
appearance_score,5.381818181818182,110.0,School B,All,All,All,All
negative_score,10.129032258064516,62.0,School B,All,All,All,All
lonely_score,2.7355371900826446,121.0,School B,All,All,All,All
support_score,5.0508474576271185,118.0,School B,All,All,All,All
sleep_score,0.4956521739130435,115.0,School B,All,All,All,All
physical_score,208.57142857142858,105.0,School B,All,All,All,All
free_like_score,0.39344262295081966,122.0,School B,All,All,All,All
media_score,3.769911504424779,113.0,School B,All,All,All,All
places_score,0.49572649572649574,117.0,School B,All,All,All,All
staff_talk_score,2.1714285714285713,105.0,School B,All,All,All,All
home_talk_score,2.439583333333333,120.0,School B,All,All,All,All
peer_talk_score,2.5395833333333333,120.0,School B,All,All,All,All
talk_score,7.026881720430108,93.0,School B,All,All,All,All
accept_score,9.804347826086957,92.0,School B,All,All,All,All
school_belong_score,3.1693548387096775,124.0,School B,All,All,All,All
staff_relationship_score,11.9,90.0,School B,All,All,All,All
home_relationship_score,11.617977528089888,89.0,School B,All,All,All,All
home_happy_score,5.25,116.0,School B,All,All,All,All
local_env_score,15.463963963963966,74.0,School B,All,All,All,All
discrim_score,0.9763779527559056,127.0,School B,All,All,All,All
belong_local_score,0.4672131147540984,122.0,School B,All,All,All,All
wealth_score,0.34831460674157305,89.0,School B,All,All,All,All
future_score,7.208333333333333,48.0,School B,All,All,All,All
climate_score,0.5384615384615384,117.0,School B,All,All,All,All
social_score,11.588888888888889,90.0,School B,All,All,All,All
bully_score,7.427272727272728,110.0,School B,All,All,All,All
birth_you_age_score,7.455223880597015,67.0,School B,Year 8,All,All,All
autonomy_score,18.416666666666668,48.0,School B,Year 8,All,All,All
life_satisfaction_score,6.0285714285714285,70.0,School B,Year 8,All,All,All
optimism_score,11.416666666666666,48.0,School B,Year 8,All,All,All
wellbeing_score,21.307692307692307,39.0,School B,Year 8,All,All,All
esteem_score,13.148148148148149,54.0,School B,Year 8,All,All,All
stress_score,8.359375,64.0,School B,Year 8,All,All,All
appearance_score,5.453125,64.0,School B,Year 8,All,All,All
negative_score,10.23076923076923,39.0,School B,Year 8,All,All,All
lonely_score,2.6323529411764706,68.0,School B,Year 8,All,All,All
support_score,5.153846153846154,65.0,School B,Year 8,All,All,All
sleep_score,0.5076923076923077,65.0,School B,Year 8,All,All,All
physical_score,211.9047619047619,63.0,School B,Year 8,All,All,All
free_like_score,0.38571428571428573,70.0,School B,Year 8,All,All,All
media_score,3.9344262295081966,61.0,School B,Year 8,All,All,All
places_score,0.49230769230769234,65.0,School B,Year 8,All,All,All
staff_talk_score,2.1721311475409837,61.0,School B,Year 8,All,All,All
home_talk_score,2.4696969696969697,66.0,School B,Year 8,All,All,All
peer_talk_score,2.448529411764706,68.0,School B,Year 8,All,All,All
talk_score,6.929245283018868,53.0,School B,Year 8,All,All,All
accept_score,9.711538461538462,52.0,School B,Year 8,All,All,All
school_belong_score,3.2285714285714286,70.0,School B,Year 8,All,All,All
staff_relationship_score,12.0,52.0,School B,Year 8,All,All,All
home_relationship_score,11.176470588235293,51.0,School B,Year 8,All,All,All
home_happy_score,5.323076923076923,65.0,School B,Year 8,All,All,All
local_env_score,15.434108527131785,43.0,School B,Year 8,All,All,All
discrim_score,0.9722222222222222,72.0,School B,Year 8,All,All,All
belong_local_score,0.4857142857142857,70.0,School B,Year 8,All,All,All
wealth_score,0.38461538461538464,52.0,School B,Year 8,All,All,All
future_score,7.071428571428571,28.0,School B,Year 8,All,All,All
climate_score,0.5373134328358209,67.0,School B,Year 8,All,All,All
social_score,11.549019607843137,51.0,School B,Year 8,All,All,All
bully_score,7.377049180327869,61.0,School B,Year 8,All,All,All
birth_you_age_score,7.585106382978723,47.0,School B,Year 10,All,All,All
autonomy_score,17.694444444444443,36.0,School B,Year 10,All,All,All
life_satisfaction_score,5.288461538461538,52.0,School B,Year 10,All,All,All
optimism_score,12.5,34.0,School B,Year 10,All,All,All
wellbeing_score,20.14814814814815,27.0,School B,Year 10,All,All,All
esteem_score,12.914893617021276,47.0,School B,Year 10,All,All,All
stress_score,8.477272727272727,44.0,School B,Year 10,All,All,All
appearance_score,5.209302325581396,43.0,School B,Year 10,All,All,All
negative_score,9.666666666666666,21.0,School B,Year 10,All,All,All
lonely_score,2.88,50.0,School B,Year 10,All,All,All
support_score,4.84,50.0,School B,Year 10,All,All,All
sleep_score,0.46808510638297873,47.0,School B,Year 10,All,All,All
physical_score,207.69230769230768,39.0,School B,Year 10,All,All,All
free_like_score,0.4,50.0,School B,Year 10,All,All,All
media_score,3.6122448979591835,49.0,School B,Year 10,All,All,All
places_score,0.5306122448979592,49.0,School B,Year 10,All,All,All
staff_talk_score,2.142857142857143,42.0,School B,Year 10,All,All,All
home_talk_score,2.426470588235294,51.0,School B,Year 10,All,All,All
peer_talk_score,2.663265306122449,49.0,School B,Year 10,All,All,All
talk_score,7.184210526315789,38.0,School B,Year 10,All,All,All
accept_score,9.945945945945946,37.0,School B,Year 10,All,All,All
school_belong_score,3.196078431372549,51.0,School B,Year 10,All,All,All
staff_relationship_score,11.837837837837839,37.0,School B,Year 10,All,All,All
home_relationship_score,12.333333333333334,36.0,School B,Year 10,All,All,All
home_happy_score,5.041666666666667,48.0,School B,Year 10,All,All,All
local_env_score,15.597701149425289,29.0,School B,Year 10,All,All,All
discrim_score,0.9807692307692307,52.0,School B,Year 10,All,All,All
belong_local_score,0.4489795918367347,49.0,School B,Year 10,All,All,All
wealth_score,0.2777777777777778,36.0,School B,Year 10,All,All,All
future_score,7.421052631578948,19.0,School B,Year 10,All,All,All
climate_score,0.5319148936170213,47.0,School B,Year 10,All,All,All
social_score,11.63888888888889,36.0,School B,Year 10,All,All,All
bully_score,7.521739130434782,46.0,School B,Year 10,All,All,All
birth_you_age_score,8.666666666666666,18.0,School B,All,Girl,All,All
autonomy_score,17.833333333333332,18.0,School B,All,Girl,All,All
life_satisfaction_score,4.45,20.0,School B,All,Girl,All,All
optimism_score,11.714285714285714,14.0,School B,All,Girl,All,All
wellbeing_score,18.615384615384617,13.0,School B,All,Girl,All,All
esteem_score,12.052631578947368,19.0,School B,All,Girl,All,All
stress_score,8.944444444444445,18.0,School B,All,Girl,All,All
appearance_score,6.894736842105263,19.0,School B,All,Girl,All,All
negative_score,10.636363636363637,11.0,School B,All,Girl,All,All
lonely_score,2.6,20.0,School B,All,Girl,All,All
support_score,4.6875,16.0,School B,All,Girl,All,All
sleep_score,0.3157894736842105,19.0,School B,All,Girl,All,All
physical_score,274.0,15.0,School B,All,Girl,All,All
free_like_score,0.35,20.0,School B,All,Girl,All,All
media_score,4.222222222222222,18.0,School B,All,Girl,All,All
places_score,0.6,20.0,School B,All,Girl,All,All
staff_talk_score,2.0,16.0,School B,All,Girl,All,All
home_talk_score,2.75,19.0,School B,All,Girl,All,All
peer_talk_score,2.625,20.0,School B,All,Girl,All,All
talk_score,7.116666666666666,15.0,School B,All,Girl,All,All
accept_score,9.705882352941176,17.0,School B,All,Girl,All,All
school_belong_score,2.95,20.0,School B,All,Girl,All,All
staff_relationship_score,11.133333333333333,15.0,School B,All,Girl,All,All
home_relationship_score,12.0,16.0,School B,All,Girl,All,All
home_happy_score,5.2105263157894735,19.0,School B,All,Girl,All,All
local_env_score,15.727272727272727,11.0,School B,All,Girl,All,All
discrim_score,0.9,20.0,School B,All,Girl,All,All
belong_local_score,0.45,20.0,School B,All,Girl,All,All
wealth_score,0.3333333333333333,15.0,School B,All,Girl,All,All
future_score,,,School B,All,Girl,All,All
climate_score,0.4,20.0,School B,All,Girl,All,All
social_score,11.461538461538462,13.0,School B,All,Girl,All,All
bully_score,8.11111111111111,18.0,School B,All,Girl,All,All
birth_you_age_score,9.766666666666667,15.0,School B,All,Boy,All,All
autonomy_score,19.0,10.0,School B,All,Boy,All,All
life_satisfaction_score,5.25,16.0,School B,All,Boy,All,All
optimism_score,,,School B,All,Boy,All,All
wellbeing_score,,,School B,All,Boy,All,All
esteem_score,12.272727272727273,11.0,School B,All,Boy,All,All
stress_score,8.785714285714286,14.0,School B,All,Boy,All,All
appearance_score,5.133333333333334,15.0,School B,All,Boy,All,All
negative_score,10.0,10.0,School B,All,Boy,All,All
lonely_score,2.375,16.0,School B,All,Boy,All,All
support_score,5.0,15.0,School B,All,Boy,All,All
sleep_score,0.6666666666666666,15.0,School B,All,Boy,All,All
physical_score,191.53846153846155,13.0,School B,All,Boy,All,All
free_like_score,0.42857142857142855,14.0,School B,All,Boy,All,All
media_score,4.4,15.0,School B,All,Boy,All,All
places_score,0.3333333333333333,12.0,School B,All,Boy,All,All
staff_talk_score,2.3846153846153846,13.0,School B,All,Boy,All,All
home_talk_score,2.515625,16.0,School B,All,Boy,All,All
peer_talk_score,2.578125,16.0,School B,All,Boy,All,All
talk_score,7.519230769230769,13.0,School B,All,Boy,All,All
accept_score,10.636363636363637,11.0,School B,All,Boy,All,All
